panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	11.004195454545455	12.837564090909087	-1.8333686363636361	-8.14021838018604	21	0.00000006226040483170436	0.000017814361509271848	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.022743181818181	5.845993636363636	-0.8232504545454546	-7.6618026183753205	21	0.00000016343450925937475	0.000017814361509271848	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6581686363636363	4.389229545454544	-0.7310609090909093	-7.8537726267386745	21	0.00000011055144444327425	0.000017814361509271848	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	4.994555454545455	4.432373636363637	0.562181818181818	7.696529459609502	21	0.00000015222011118254386	0.000017814361509271848	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.760035909090909	6.375215	-0.6151790909090912	-7.309173168285023	21	0.00000033947798216971137	0.000029602480045198832	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.462976363636365	10.99635181818182	-1.5333754545454548	-7.053193722452023	21	0.0000005831797837974051	0.0000363237693908098	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.360995	3.9615186363636368	0.39947636363636363	7.124800326449645	21	0.0000005008229344571902	0.0000363237693908098	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.624458181818182	4.035141363636364	1.5893168181818182	6.749899113526244	21	0.0000011197515235039646	0.00006102645803096607	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.3064850000000003	5.041113636363637	-1.7346286363636365	-6.551521695035022	21	0.0000017268726255625921	0.0000836573849716989	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.1825609090909093	4.267685	-1.0851240909090907	-6.4388661505513	21	0.0000022134939308138257	0.0000965083353834828	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.490987272727272	5.12396409090909	-0.6329768181818181	-6.389155838996946	21	0.000002471018170746575	0.00009794217476777334	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5950386363636366	4.258625454545455	-0.663586818181818	-6.26591422610302	21	0.00000325052750271837	0.0001181024992654341	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.1921031818181813	2.8372059090909096	-0.6451027272727271	-5.775279653397886	21	0.000009859680421886452	0.000330678512610961	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.334788181818182	6.0860745454545455	1.2487136363636364	5.680359879485298	21	0.000012259292467842187	0.00038178939399851383	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6106113636363637	2.450735909090909	-0.8401245454545454	-5.567529101524096	21	0.000015902214486773758	0.00046222436774889054	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	6.9763363636363644	7.8814486363636345	-0.9051122727272727	-5.307214535322643	21	0.000029123181620738237	0.0007469239521554041	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.881647727272727	4.506548181818181	0.3750995454545454	5.319640305263482	21	0.000028289977374029718	0.0007469239521554041	
