panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.932555454545454	12.818330909090907	-1.8857754545454546	-8.182232095308596	21	0.00000005728460283904724	0.00001758367558535312	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.0161263636363635	5.841984545454546	-0.825858181818182	-7.668164166148489	21	0.00000016131812463626716	0.00001758367558535312	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6705859090909088	4.374713636363636	-0.7041277272727272	-7.683203193351319	21	0.0000001564265990072755	0.00001758367558535312	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.021162727272728	4.468288181818182	0.5528745454545453	7.739586738902576	21	0.00000013940947551915883	0.00001758367558535312	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.367779545454547	3.9568631818181825	0.41091636363636375	7.299657505627779	21	0.0000003463210715981546	0.000030199197443359083	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.753716818181818	6.357505454545454	-0.6037886363636364	-7.167656965796573	21	0.0000004573560301590618	0.00003323453819155849	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.481062727272727	10.918478636363638	-1.437415909090909	-6.975144921663403	21	0.0000006889797976583623	0.00004291359882557799	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.740908181818183	4.1838654545454546	1.5570427272727274	6.711867640531038	21	0.0000012162381073377304	0.00006628497684990631	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.2102595454545453	4.916039545454546	-1.7057799999999999	-6.4147943684461515	21	0.000002334570753381726	0.00010178728484744326	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5384159090909093	4.229750454545454	-0.6913345454545454	-6.449629918732662	21	0.0000021614567093930503	0.00010178728484744326	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.465516818181818	5.070697272727273	-0.6051804545454545	-6.194146810192552	21	0.0000038165543929657986	0.00015127433775755347	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.260342272727271	6.10964590909091	1.1506963636363636	6.154986072737839	21	0.000004167047788827816	0.00015140273632741064	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.1328618181818184	4.14458409090909	-1.0117222727272726	-5.728320060462309	21	0.00001098026369716898	0.00036826115168966733	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.5760127272727273	2.428484090909091	-0.8524713636363637	-5.652434124758539	21	0.000013073066101210173	0.0004071326300091168	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.906008181818181	4.544358636363636	0.3616495454545454	5.331199663885096	21	0.000027536629697788584	0.0007587983824212663	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.345474545454547	7.094447272727273	0.2510272727272726	5.326417138189785	21	0.000027845812198945552	0.0007587983824212663	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.45104590909091	9.893540909090907	0.5575049999999999	5.2113400035433175	21	0.00003645049514311438	0.0009348479930822276	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.1830931818181822	2.730120454545455	-0.5470272727272729	-5.143194870264774	21	0.00004277438272426437	0.0010360906037655147	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	6.972314545454545	7.812943181818183	-0.8406286363636363	-5.080319442772953	21	0.000049594594420776517	0.0011276837617677949	
