comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	5	0.05711623030165864	2.906655555555556
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.07557069693487482	1.0647444444444443
PT1-PR1	Inflammation	367	0	3	9	0.00752873450341666	1.3237714285714284
PT1-PR1	Inflammation_II	369	0	0	1	0.07557069693487482	1.1891857142857145
PT1-PR1	Neurology	367	0	6	11	0.004611936911162129	1.9251111111111112
PT1-PR1	Neurology_II	367	0	3	6	0.004611936911162129	1.4686
PT1-PR1	Oncology	366	0	0	5	0.06312013523902202	1.3623333333333332
PT1-PR1	Oncology_II	368	0	0	2	0.08791637029898913	1.6936555555555557
PR2-PR1	Cardiometabolic	367	0	0	0	0.1723602641421368	2.0890125
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.1288468037418438	0.9130499999999999
PR2-PR1	Inflammation	367	0	0	0	0.1288468037418438	1.1062750000000001
PR2-PR1	Inflammation_II	369	0	0	0	0.6452733878109054	1.7022375000000003
PR2-PR1	Neurology	367	0	0	0	0.1078048222041521	0.8300571428571429
PR2-PR1	Neurology_II	367	0	0	0	0.25957422372681954	1.7813857142857146
PR2-PR1	Oncology	366	0	0	2	0.057867774363695945	1.7461222222222221
PR2-PR1	Oncology_II	368	0	1	2	0.017968676563697716	1.3740285714285714
PT2-PT1	Cardiometabolic	367	0	0	2	0.07233353047575164	1.6954875000000003
PT2-PT1	Cardiometabolic_II	367	0	0	2	0.07233353047575164	0.9004125
PT2-PT1	Inflammation	367	0	0	1	0.06177027881361408	0.791188888888889
PT2-PT1	Inflammation_II	369	0	0	0	0.7306875347137167	2.644175
PT2-PT1	Neurology	367	0	0	2	0.07233353047575164	0.8866444444444446
PT2-PT1	Neurology_II	367	0	0	0	0.38594654663919864	1.881475
PT2-PT1	Oncology	366	0	0	1	0.07233353047575164	0.6942875000000001
PT2-PT1	Oncology_II	368	0	0	0	0.2264908069620674	1.954411111111111
PT2-PR2	Cardiometabolic	367	0	1	11	0.040314520086755234	4.2463
PT2-PR2	Cardiometabolic_II	367	0	1	3	0.017745281627482345	1.5030999999999999
PT2-PR2	Inflammation	367	0	1	7	0.040314520086755234	1.881085714285714
PT2-PR2	Inflammation_II	369	0	0	1	0.0607589728610887	1.8067000000000002
PT2-PR2	Neurology	367	0	2	12	0.040314520086755234	2.259544444444445
PT2-PR2	Neurology_II	367	0	1	4	0.040314520086755234	1.8358999999999999
PT2-PR2	Oncology	366	0	3	4	0.040314520086755234	2.4699124999999995
PT2-PR2	Oncology_II	368	0	0	1	0.07418558303300982	1.9641750000000002
