comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
late-early	CM	90	0	19	24	0.000017608146566594485	0.825653181818182
late-early	CVD2	87	0	20	24	0.000024701120330661298	0.8857631818181818
late-early	CVD3	87	0	25	31	0.000009792337433959611	1.5909272727272727
late-early	IR	87	0	29	35	0.000009792337433959611	1.6723204545454549
late-early	In	85	0	20	25	0.000009792337433959611	2.472174090909091
