panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Neurology	OID20961	NPM1	P06748	PT2-PR2	8	0.2936625	-0.19254999999999997	0.4862125	1.7027280793504493	7	0.13240272139535025	0.3792304964902769	
Oncology_II	OID31381	FNTA	P49354	PT2-PR2	9	-0.0025111111111111137	0.3702555555555555	-0.37276666666666675	-1.6766706100034396	8	0.13213120139722645	0.3792304964902769	
Neurology	OID20805	SCARB1	Q8WTV0	PT2-PR2	8	-0.1332125	0.07307500000000003	-0.2062875	-1.7018966532487925	7	0.1325628726669552	0.3792304964902769	
Cardiometabolic	OID20318	GAS6	Q14393	PT2-PR2	9	0.6903888888888887	0.6280555555555556	0.06233333333333332	1.6760476653232625	8	0.1322555123356537	0.3792304964902769	
Oncology_II	OID31330	TNPO1	Q92973	PT2-PR2	8	0.0031624999999999848	0.39633749999999995	-0.39317500000000005	-1.6994496686235825	7	0.13303528087275485	0.3800194541729133	
Neurology	OID21093	INHBC	P55103	PT2-PR2	9	-0.5217666666666667	-0.6179444444444445	0.09617777777777776	1.6718432439751902	8	0.13309735137642198	0.3800194541729133	
Neurology	OID21054	CPM	P14384	PT2-PR2	9	-0.12271111111111112	-0.22655555555555557	0.10384444444444443	1.6708446546624938	8	0.13329802229052756	0.38022290241705825	
Inflammation	OID20705	ERBB3	P21860	PT2-PR2	9	-0.15392222222222218	-0.23998888888888892	0.08606666666666667	1.6690186260900672	8	0.1336656936277405	0.3809018505124167	
Neurology	OID20969	PSME1	Q06323	PT2-PR2	8	0.442175	0.2393875	0.2027875	1.6938306318397498	7	0.13412610954670923	0.38184351729479815	
Oncology_II	OID31246	TMOD4	Q9NZQ9	PT2-PR2	8	-2.2755250000000005	-0.21297499999999994	-2.06255	-1.6903419104109096	7	0.1348076258890487	0.3834122021897629	
Cardiometabolic	OID20207	CXCL5	P42830	PT2-PR2	8	1.5208250000000003	0.8963625	0.6244624999999999	1.681339172229949	7	0.13658143292516378	0.38524185349300616	
Oncology_II	OID31276	CASP4	P49662	PT2-PR2	8	-1.9426500000000002	-1.3664999999999998	-0.5761499999999999	-1.681323209750689	7	0.13658459747497242	0.38524185349300616	
Neurology_II	OID31028	REEP4	Q9H6H4	PT2-PR2	8	0.8405875	0.46177500000000005	0.3788125	1.6795497549356064	7	0.13693661444450123	0.38524185349300616	
Neurology_II	OID30851	CBLN1	P23435	PT2-PR2	8	-0.26585000000000003	0.109375	-0.37522500000000003	-1.685571276266365	7	0.13574485681117565	0.38524185349300616	
Cardiometabolic	OID20143	PLIN3	O60664	PT2-PR2	8	0.41527499999999995	0.113625	0.30165000000000003	1.678448974732945	7	0.1371555407602738	0.38524185349300616	
Neurology	OID20803	ARID4B	Q4LE39	PT2-PR2	8	0.07508749999999999	-0.17889999999999998	0.2539874999999999	1.6788430220477628	7	0.13707713361798657	0.38524185349300616	
Inflammation	OID20456	IL17F	Q96PD4	PT2-PR2	8	0.0831375	-0.1560625	0.23920000000000002	1.6811496853623067	7	0.1366190030192007	0.38524185349300616	
Cardiometabolic_II	OID30384	TNFSF8	P32971	PT2-PR2	9	-0.1020888888888889	-0.28327777777777774	0.18118888888888887	1.6560085133145042	8	0.13631249268928114	0.38524185349300616	
Oncology	OID21208	NTF4	P34130	PT2-PR2	7	0.32425714285714285	0.16737142857142856	0.15688571428571427	1.7183508711138074	6	0.13653515669318494	0.38524185349300616	
Neurology_II	OID31078	MTHFD2	P13995	PT2-PR2	9	0.2498555555555556	0.09910000000000001	0.1507555555555556	1.655165277086114	8	0.1364856982735705	0.38524185349300616	
Inflammation_II	OID30741	AFM	P43652	PT2-PR2	9	-0.1183	-0.029011111111111113	-0.0892888888888889	-1.6578070531664364	8	0.13594373862406783	0.38524185349300616	
Cardiometabolic	OID20333	AMY2A	P04746	PT2-PR2	9	-0.10719999999999999	-0.19644444444444442	0.08924444444444443	1.6538357662059666	8	0.1367591992994659	0.38524185349300616	
Inflammation_II	OID30599	SEMA3G	Q9NS98	PT2-PR2	9	-0.09941111111111116	-0.018888888888888886	-0.08052222222222222	-1.651981896922261	8	0.13714141157324455	0.38524185349300616	
