comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	2	0.05496682323345625	3.6150222222222226
PT1-PR1	Cardiometabolic_II	367	0	1	1	0.043181500131153516	0.9680444444444443
PT1-PR1	Inflammation	367	0	4	6	0.022163864570759362	1.181488888888889
PT1-PR1	Inflammation_II	369	0	1	1	0.04664982779862787	1.0589250000000001
PT1-PR1	Neurology	367	0	6	6	0.007512745565906087	2.0756333333333337
PT1-PR1	Neurology_II	367	0	2	3	0.0075632579854458815	1.2615888888888889
PT1-PR1	Oncology	366	0	1	3	0.03585224113727239	1.2415777777777777
PT1-PR1	Oncology_II	368	0	0	0	0.10267075496276958	1.5567222222222226
PR2-PR1	Cardiometabolic	367	0	0	0	0.16793859654797183	1.4282124999999999
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.21198776304627728	0.962725
PR2-PR1	Inflammation	367	0	0	0	0.16793859654797183	1.146175
PR2-PR1	Inflammation_II	369	0	0	0	0.5698044960566864	1.1611
PR2-PR1	Neurology	367	0	0	0	0.16793859654797183	1.2339
PR2-PR1	Neurology_II	367	0	0	0	0.22363767692174852	2.2239285714285715
PR2-PR1	Oncology	366	0	0	1	0.08517438339544992	1.0494
PR2-PR1	Oncology_II	368	0	0	0	0.17861095945345024	1.3193000000000001
PT2-PT1	Cardiometabolic	367	0	0	1	0.07809855183491843	1.2952374999999998
PT2-PT1	Cardiometabolic_II	367	0	0	2	0.0855503564899423	0.9536875
PT2-PT1	Inflammation	367	0	1	1	0.007644497895694435	1.1716555555555557
PT2-PT1	Inflammation_II	369	0	0	0	0.6175845380197067	3.4331
PT2-PT1	Neurology	367	0	0	2	0.07809855183491843	0.9416555555555557
PT2-PT1	Neurology_II	367	0	0	0	0.2349367532421642	2.1411375
PT2-PT1	Oncology	366	0	0	1	0.0855503564899423	1.3488374999999997
PT2-PT1	Oncology_II	368	0	0	1	0.0855503564899423	1.8119000000000003
PT2-PR2	Cardiometabolic	367	0	1	11	0.049239996208235985	4.454562500000001
PT2-PR2	Cardiometabolic_II	367	0	1	4	0.019488673180378502	1.9941857142857145
PT2-PR2	Inflammation	367	0	2	8	0.04753560494075426	2.045375
PT2-PR2	Inflammation_II	369	0	0	3	0.058739706171553815	3.1526555555555555
PT2-PR2	Neurology	367	0	2	12	0.04753560494075426	2.4956444444444443
PT2-PR2	Neurology_II	367	0	1	4	0.04753560494075426	2.1001999999999996
PT2-PR2	Oncology	366	0	2	5	0.04753560494075426	2.4033874999999996
PT2-PR2	Oncology_II	368	0	0	1	0.0814584106488433	2.2593666666666667
