Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
ACADM,0.2048519185055129,0.5752434200705318,-0.14926364208655618,0.2211278594784628
ACOT13,0.6944600298301365,-0.1301820496801,1.3453371884766168,0.5206951089663804
ACRBP,-0.012199965741571044,0.08805152466394794,-0.09014714366731369,0.010104346738205048
ADAM9,-0.04211987697382866,0.30556011559942087,0.021726061876528403,0.3694060544497781
ADGRE1,-0.09343581651749545,0.12053429802181406,-0.21667950604198863,-0.0027093915026791906
AHSA1,-0.2842954178628777,0.012957640047973389,-0.14672261944166437,0.1505304384691867
ALDH2,0.18313090498878418,-0.0393280962305642,0.0700492252850307,-0.15240977593431762
ALMS1,-0.20114374486827163,0.025425678394959038,-0.08282529836219218,0.14374412490103844
AMOTL2,0.0814644280484852,0.03170042822327291,0.29167976029619985,0.24191576047098767
ANKRA2,0.1537699357980936,-0.16760791740230505,-0.06157748357017904,-0.3829553367705776
AP1G2,0.3014515305038852,0.12266492365999015,0.8722472811086337,0.6934606742647386
AP3B1,-0.31209504404407135,-0.10586149899637537,1.1049719009834917,1.3112054460311877
ARAF,-0.42126499371816695,0.16489288406291724,-0.06120192668513735,0.5249559510959468
ARF6,0.4593980660274091,0.2053751723933728,1.291847245193877,1.0378243515598407
ARG2,-0.11694801876104671,0.21617039992974402,-0.3024430913642882,0.03067532732650263
ARHGAP30,0.0880978893923681,-0.05993840745186441,-0.11107278957218616,-0.2591090864164186
ARHGAP5,0.2996003746728738,0.051487599747793156,0.11608630554331702,-0.13202646938176332
ATF4,0.1060859301134181,0.2411568786152799,-0.14351417684405982,-0.008443228342198178
ATG16L1,0.3378576822472301,-0.17536714974311082,1.0190709384141385,0.5058461064237975
ATP1B4,-0.1283333172186122,0.3509284213915134,-0.5127762554245137,-0.033514516814388114
ATRAID,0.054345762263308506,0.16317550423106683,-0.004396690229270036,0.10443305173848819
BCL2,-0.06624319284590723,0.16331020935771517,-0.13368330489985006,0.09587009730377255
BCL7A,-0.24391853155912782,0.005366000973745521,0.013747239879698083,0.26303177241257136
BCL7B,-0.41879751540308546,0.5102679036440138,-0.5722508640519056,0.35681455499519393
BEX3,-0.011863240692504608,0.06837641615805022,-0.027233401547862305,0.053006255302692484
BRAP,0.4474880561269083,-0.19835162795013397,1.1007399332753791,0.4549002491983368
BRD1,0.0022340202505175665,0.27869652557219454,-0.048582406664087266,0.22788009865758968
BSND,0.15536914535099708,0.23856649058727336,0.011400300598020682,0.09459764583429683
BTLA,0.48287002395706,0.044281909743331946,-0.09786217760326232,-0.5364502918169904
BTN1A1,-0.14643439819392598,0.07189066153448681,-0.07413271348687124,0.14419234624154145
BTNL10,0.17944842722572074,0.01414992758340547,0.13768128268014498,-0.02761721696217042
C9orf40,0.1522286976217121,-1.0233212813605084,-0.6670546759762489,-1.8426046549584694
CA7,0.2814094734885892,0.11761604792070408,0.006858499724253615,-0.1569349258436316
CAPN3,-0.6349086661990612,-0.5843197196661484,0.06876095972310507,0.11934990625601773
CASP4,0.7765752167677993,-0.21206017082748252,-0.21632268187784856,-1.2049580694731306
CCDC134,0.2302118516875157,0.3573433468636049,0.08688640579968498,0.21401790097577436
CCND2,0.30748467747965474,0.13151080927760833,0.4980654977992844,0.3220916295972379
CD101,-0.08312891841864331,0.032356160601116755,-0.02530467643640299,0.09018040258335698
CD3E,-0.07726326231185641,0.026364133206653106,-0.13599544362399954,-0.03236804810549012
CD82,0.08317628590302589,-0.26140303779085095,0.07870515584972174,-0.2658741678441551
CD86,-0.049086468348374886,0.12807571660065645,-0.07241793894819905,0.10474424600083229
CDC123,-0.3799618175236402,0.35405432193202746,-0.4369309758226866,0.29708516363298104
CDC25A,-0.14687061703125365,-0.38984924217906997,0.11161556586511467,-0.13136305928270153
CDC26,0.16138249370792437,-0.25738254404278266,0.5658199190789176,0.14705488132821012
CDC42BPB,0.4025614087510179,-0.07013797460426749,1.2510614601818733,0.7783620768265876
CDH22,-0.13163201905428942,0.029475855328063603,-0.08306907291876095,0.0780388014635921
CDK1,0.06041158077023214,0.2650512265253774,-0.30428169851710607,-0.09964205276196099
CEACAM16,0.1400613432791651,0.2008541988716427,0.055019709727129155,0.11581256531960667
CEACAM18,-0.2809321715183351,0.40701111461337736,-0.33675568709957543,0.35118759903213687
CEACAM19,0.037965255955103326,0.25167439665050023,0.1902398277782623,0.40394896847365896
CEACAM20,0.22421420167873915,0.2831162053740174,-0.24823065165819563,-0.18932864796291735
CENPF,0.06526468585476707,-0.5127960451756678,0.36677391880197946,-0.2112868122284554
CENPJ,0.18549364947450797,0.0002195499568205979,0.7748598562225474,0.58958575670486
CEP152,-0.06286072916573367,0.23141536051690995,-0.01157525222207006,0.28270083746057345
CEP290,0.06015211114429739,-0.053174134781374456,0.47165315876824065,0.358326912842569
CEP350,-0.2038544617699487,-0.2918786150382034,-0.3764405679043679,-0.4644647211726226
CETN3,0.30716086750288263,0.12415113594332314,0.7332178337470183,0.5502081021874589
CHCHD6,-0.22025092842454996,0.04828788672954166,-0.06341092213411245,0.2051278930199791
CINP,0.16631647705566202,0.4052899356947099,-0.18795655761449476,0.05101690102455303
CIRBP,0.39180288764004306,-0.05861056353587876,1.3985704850434932,0.9481570338675714
CLASP1,-0.0067815077372227126,0.42758503368929773,-0.012522980146881607,0.42184356127963885
CLINT1,-0.23384648674711292,-0.06728692151768864,-0.27502551183094137,-0.10846594660151697
CMIP,0.3647443562636188,-0.17208809067238914,0.9951155503430937,0.4582831034070858
COL24A1,-0.17226246416324428,0.11369338665898503,-0.13275192346657286,0.1532039273556565
COL4A4,-0.5488112406580473,0.44028493342005903,-0.759059080722953,0.23003709335515352
COL9A2,0.34266651690146877,0.22264913914125226,-0.23144351937415952,-0.351460897134376
