Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
AARSD1,0.06940725486124172,-0.5556344231387058,0.5477674435992376,-0.07727423440071006
ABL1,0.32371221542328293,-0.0811145129036942,0.9507374562974485,0.5459107279704712
ACAA1,0.365192835741907,-0.11573256854715355,0.4811361791708394,0.00021077488177894096
ACP6,0.054133560873569214,-0.06096087594428814,0.2045880510128506,0.08949361419499322
ADAMTS15,0.05997569601049803,-0.10271942304909065,0.2864373612547891,0.12374224219520057
ADAMTS8,-0.16877475213529497,-0.013043116178125235,-0.09196096584035414,0.06377067011681549
ADCYAP1R1,0.014641008399008636,0.044733506769515166,-0.07346362119654308,-0.043371122826036765
ADGRG1,-0.026252718329672426,0.05914244484389865,0.26727959848028726,0.35267476165385847
ADM,0.06460215089935072,0.04832720999222594,0.07051663046444344,0.054241689557318666
AGR3,-0.19845004752596654,-0.3313173682849333,0.07214705639052069,-0.06072026436844597
AIF1,-0.20430858561796583,-0.16122613168644223,0.27907631088070345,0.3221587648122271
AIFM1,0.6341746771087333,-0.11755153613493437,1.4337894528606412,0.6820632396169736
AKR1B1,0.15035439813403348,-0.13861326503562507,0.6731326914239201,0.3841650282542614
AKT3,0.10262583661336981,0.005846376481124004,0.20648445110271316,0.10970499097046715
ALPP,-0.06260618686453658,-0.1891478035755932,0.1586032894209874,0.0320616727099308
AMBP,-0.01758434428221719,0.038886482605592305,-0.05257709784653685,0.003893729041272376
AMIGO2,0.07412707641878923,0.11146831132959542,-0.055448332840658594,-0.01810709792985245
ANGPT2,-0.016599294463767292,-0.0823873177525746,0.2780177515128609,0.21222972822405364
ANGPTL7,-5.417182274072742e-06,0.03135653012442546,-0.18754658471224092,-0.15618463740554128
ANKRD54,0.07204232334276162,-0.3929572885188611,0.3784745317143612,-0.08652508014726154
APBB1IP,0.05441537302052655,-0.051568819463940076,-0.08448418328606104,-0.19046837577052766
APEX1,0.30491847724975957,0.8905641362205864,-0.25683224172081964,0.3288134172500071
AREG,0.03455961879071132,0.097690540045478,0.1301510301769416,0.19328195143170837
ARG1,0.08856552693880256,-0.39100796116405784,-0.4774329384935535,-0.9570064265964139
ARHGAP1,0.20697601593473,-0.18851964349566386,0.5692450582092405,0.1737493987788469
ARHGAP25,0.0785806316786215,-0.3794219300342642,0.26818688072650765,-0.18981568098637788
ARSB,0.23693000068313652,0.9660437753492531,-0.6014374967081614,0.12767627795795508
ATG4A,0.22454843304475713,-0.5599208918945732,0.48462534775309224,-0.2998439771862384
ATOX1,0.3036897454598515,-0.20552659739236487,0.7600264800745291,0.25081013722231266
ATP6AP2,0.2940129925625648,0.21751607604324572,0.05173274797684604,-0.02476416854247336
ATP6V1D,-0.04208567596302438,-0.13581377469053518,-0.02948904718037263,-0.12321714590788328
BAIAP2,-0.004307735711356986,-0.03348402168413882,0.24715488821743775,0.21797860224465626
BAMBI,0.015054124853718934,-0.041125382500394464,0.22021548538295485,0.16403597802884154
BGN,-0.16667457603627342,-0.04898061790353865,-0.5337018254042505,-0.41600786727151584
BIRC2,0.2839230914587792,-0.03649505369158008,0.3875797383287585,0.06716159317839926
BTC,0.08665853130705717,-0.029671402917735706,0.09019191814245507,-0.02613801608233786
C4BPB,0.04283023785575612,0.08907306641000035,0.0667675004164836,0.11301032897072787
CA11,0.010089137928653711,0.14100539283445782,-0.059797952116192286,0.0711183027896119
CA12,0.29165740028164616,0.13059241721924586,-0.0041612606222724375,-0.16522624368467248
CA14,-0.07732510768039895,0.03872947363502009,-0.07820850891775928,0.037846072397659636
CA9,0.09300418679064516,-0.025494947166063146,0.08468079554770107,-0.033818338409007366
CALB1,-0.04609068010515264,-0.039506813797861626,-0.13814186351010152,-0.1315579972028104
CALCOCO1,0.2748684788465627,-0.48458214819287726,1.3435691170106006,0.5841184899711607
CAMKK1,-0.2198241548515461,-0.10677437240268607,-0.1614357913440282,-0.04838600889516816
