Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
ADGRV1,-0.1282175403096214,0.19756485859351183,-0.34587544508009216,-0.02009304617695894
AGBL2,0.7618962118866768,0.8036576004674031,0.22774909447876715,0.2695104830594934
AIDA,-0.003663395184660842,-0.2942032830733957,0.18573647221817408,-0.10480341567056081
AK2,0.31637120463962976,0.16998193959713795,1.0746529755878895,0.9282637105453979
AKR1B10,0.2884284510628067,-0.13792646857272234,0.18486440959063036,-0.24149051004489872
AKT2,0.22893776228916532,-0.02161949772086441,0.6885412750783827,0.43798401506835294
ALDH5A1,0.11785811511624238,-0.29145812299518226,0.399927799996017,-0.009388438115407656
AMIGO1,-0.28139055981310984,-0.30230687180629817,-0.2985512448823299,-0.3194675568755182
AMPD3,0.025662724004034815,-0.3153813397885932,-0.6484215307174812,-0.9894655945101091
AP2B1,-0.13906657779102038,-0.3188465627001471,0.26016644079136286,0.08038645588223639
AP3S2,0.1916809975080966,0.010255543265799322,0.47435035478713905,0.2929249005448418
ARFIP1,0.14822803053042435,0.09241548637732355,0.1930427644869034,0.13723022033380278
ARHGEF1,0.3817129409572804,-0.0702742043514146,0.8457770618945055,0.3937899165858106
ARHGEF10,0.3860963760149312,-0.3856855304306015,1.0568141926479762,0.28503228620244336
ARHGEF5,-0.38601619400042725,-0.2738109187397495,0.0227795225856721,0.13498479784634956
ARID3A,-0.1428093419693691,-0.07581134602651836,0.12261172890822375,0.1896097248510743
ARMCX2,-0.11159218519392801,0.010193799678945868,-0.01746687075906953,0.10431911411380443
ART5,-0.3764280140443393,0.04374906965170984,-0.1502558046912612,0.26992127900478785
ASPSCR1,0.38015352704525707,-0.14709424794473494,0.38612111051096365,-0.1411266644790284
ATXN2,-0.25720229260803174,-0.011207647556061871,-0.015573041115988513,0.23042160393598135
ATXN2L,0.03308650796401948,0.039540360493128195,-0.004918505010465589,0.0015353475186430266
ATXN3,0.1667396940311521,-0.34152709066904813,0.6741007548594802,0.16583397015927964
AZI2,0.40427938211869285,0.09043858317134121,0.9592924941321406,0.6454516951847892
BAP18,0.22622384935624218,0.5200120296113642,-0.17522933357155326,0.11855884668356884
BATF,0.08836938827745387,0.13888726878483923,0.08271329222545253,0.13323117273283772
BCAT2,-0.253639986903786,0.3018399459126621,-0.33271305985232236,0.22276687296412562
BCL2L1,0.44321005540328146,-0.24792357755855512,1.013416825125639,0.32228319216380247
BHLHE40,-0.29456014357799876,0.11588647566329735,-0.721257559080047,-0.3108109398387511
