rule	precision_at_K	recall_at_K	f1_at_K	rep	n	frac_tp	effect	hetero	fragile
S	0.6	0.6	0.6	15	8	0.3	mixed	False	0.0
q	0.6866666666666666	0.6866666666666666	0.6866666666666666	16	8	0.3	mixed	False	0.0
abs_d	0.7133333333333334	0.7133333333333334	0.7133333333333335	16	8	0.3	mixed	False	0.0
S	0.72	0.72	0.72	16	8	0.3	mixed	False	0.0
q	0.6466666666666666	0.6466666666666666	0.6466666666666666	17	8	0.3	mixed	False	0.0
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	17	8	0.3	mixed	False	0.0
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	17	8	0.3	mixed	False	0.0
q	0.6666666666666666	0.6666666666666666	0.6666666666666666	18	8	0.3	mixed	False	0.0
abs_d	0.68	0.68	0.68	18	8	0.3	mixed	False	0.0
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	18	8	0.3	mixed	False	0.0
q	0.62	0.62	0.62	19	8	0.3	mixed	False	0.0
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	19	8	0.3	mixed	False	0.0
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	19	8	0.3	mixed	False	0.0
q	0.6533333333333333	0.6533333333333333	0.6533333333333333	20	8	0.3	mixed	False	0.0
abs_d	0.6333333333333333	0.6333333333333333	0.6333333333333333	20	8	0.3	mixed	False	0.0
S	0.66	0.66	0.66	20	8	0.3	mixed	False	0.0
q	0.64	0.64	0.64	21	8	0.3	mixed	False	0.0
abs_d	0.6266666666666667	0.6266666666666667	0.6266666666666667	21	8	0.3	mixed	False	0.0
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	21	8	0.3	mixed	False	0.0
q	0.68	0.68	0.68	22	8	0.3	mixed	False	0.0
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	22	8	0.3	mixed	False	0.0
S	0.7066666666666667	0.7066666666666667	0.7066666666666667	22	8	0.3	mixed	False	0.0
q	0.6533333333333333	0.6533333333333333	0.6533333333333333	23	8	0.3	mixed	False	0.0
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	23	8	0.3	mixed	False	0.0
S	0.68	0.68	0.68	23	8	0.3	mixed	False	0.0
q	0.66	0.66	0.66	24	8	0.3	mixed	False	0.0
abs_d	0.66	0.66	0.66	24	8	0.3	mixed	False	0.0
S	0.66	0.66	0.66	24	8	0.3	mixed	False	0.0
q	0.5933333333333334	0.5933333333333334	0.5933333333333334	25	8	0.3	mixed	False	0.0
abs_d	0.66	0.66	0.66	25	8	0.3	mixed	False	0.0
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	25	8	0.3	mixed	False	0.0
q	0.6466666666666666	0.6466666666666666	0.6466666666666666	26	8	0.3	mixed	False	0.0
abs_d	0.6466666666666666	0.6466666666666666	0.6466666666666666	26	8	0.3	mixed	False	0.0
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	26	8	0.3	mixed	False	0.0
q	0.6266666666666667	0.6266666666666667	0.6266666666666667	27	8	0.3	mixed	False	0.0
abs_d	0.64	0.64	0.64	27	8	0.3	mixed	False	0.0
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	27	8	0.3	mixed	False	0.0
q	0.6333333333333333	0.6333333333333333	0.6333333333333333	28	8	0.3	mixed	False	0.0
abs_d	0.6333333333333333	0.6333333333333333	0.6333333333333333	28	8	0.3	mixed	False	0.0
S	0.64	0.64	0.64	28	8	0.3	mixed	False	0.0
q	0.66	0.66	0.66	29	8	0.3	mixed	False	0.0
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	29	8	0.3	mixed	False	0.0
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	29	8	0.3	mixed	False	0.0
q	0.6066666666666667	0.6066666666666667	0.6066666666666667	30	8	0.3	mixed	False	0.0
abs_d	0.64	0.64	0.64	30	8	0.3	mixed	False	0.0
S	0.64	0.64	0.64	30	8	0.3	mixed	False	0.0
q	0.64	0.64	0.64	31	8	0.3	mixed	False	0.0
abs_d	0.68	0.68	0.68	31	8	0.3	mixed	False	0.0
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	31	8	0.3	mixed	False	0.0
q	0.6066666666666667	0.6066666666666667	0.6066666666666667	32	8	0.3	mixed	False	0.0
abs_d	0.64	0.64	0.64	32	8	0.3	mixed	False	0.0
S	0.6066666666666667	0.6066666666666667	0.6066666666666667	32	8	0.3	mixed	False	0.0
q	0.64	0.64	0.64	33	8	0.3	mixed	False	0.0
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	33	8	0.3	mixed	False	0.0
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	33	8	0.3	mixed	False	0.0
q	0.66	0.66	0.66	34	8	0.3	mixed	False	0.0
abs_d	0.6866666666666666	0.6866666666666666	0.6866666666666666	34	8	0.3	mixed	False	0.0
S	0.6933333333333334	0.6933333333333334	0.6933333333333334	34	8	0.3	mixed	False	0.0
q	0.6533333333333333	0.6533333333333333	0.6533333333333333	35	8	0.3	mixed	False	0.0
abs_d	0.7	0.7	0.7	35	8	0.3	mixed	False	0.0
S	0.7	0.7	0.7	35	8	0.3	mixed	False	0.0
q	0.68	0.68	0.68	36	8	0.3	mixed	False	0.0
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	36	8	0.3	mixed	False	0.0
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	36	8	0.3	mixed	False	0.0
q	0.6266666666666667	0.6266666666666667	0.6266666666666667	37	8	0.3	mixed	False	0.0
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	37	8	0.3	mixed	False	0.0
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	37	8	0.3	mixed	False	0.0
q	0.64	0.64	0.64	38	8	0.3	mixed	False	0.0
abs_d	0.68	0.68	0.68	38	8	0.3	mixed	False	0.0
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	38	8	0.3	mixed	False	0.0
q	0.5866666666666667	0.5866666666666667	0.5866666666666667	39	8	0.3	mixed	False	0.0
abs_d	0.6066666666666667	0.6066666666666667	0.6066666666666667	39	8	0.3	mixed	False	0.0
S	0.5933333333333334	0.5933333333333334	0.5933333333333334	39	8	0.3	mixed	False	0.0
q	0.5866666666666667	0.5866666666666667	0.5866666666666667	40	8	0.3	mixed	False	0.0
abs_d	0.6533333333333333	0.6533333333333333	0.6533333333333333	40	8	0.3	mixed	False	0.0
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	40	8	0.3	mixed	False	0.0
q	0.5733333333333334	0.5733333333333334	0.5733333333333334	41	8	0.3	mixed	False	0.0
abs_d	0.6133333333333333	0.6133333333333333	0.6133333333333333	41	8	0.3	mixed	False	0.0
S	0.5866666666666667	0.5866666666666667	0.5866666666666667	41	8	0.3	mixed	False	0.0
q	0.6533333333333333	0.6533333333333333	0.6533333333333333	42	8	0.3	mixed	False	0.0
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	42	8	0.3	mixed	False	0.0
S	0.66	0.66	0.66	42	8	0.3	mixed	False	0.0
q	0.6466666666666666	0.6466666666666666	0.6466666666666666	43	8	0.3	mixed	False	0.0
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	43	8	0.3	mixed	False	0.0
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	43	8	0.3	mixed	False	0.0
q	0.6733333333333333	0.6733333333333333	0.6733333333333333	44	8	0.3	mixed	False	0.0
abs_d	0.7066666666666667	0.7066666666666667	0.7066666666666667	44	8	0.3	mixed	False	0.0
S	0.7066666666666667	0.7066666666666667	0.7066666666666667	44	8	0.3	mixed	False	0.0
q	0.62	0.62	0.62	45	8	0.3	mixed	False	0.0
abs_d	0.64	0.64	0.64	45	8	0.3	mixed	False	0.0
S	0.64	0.64	0.64	45	8	0.3	mixed	False	0.0
q	0.7266666666666667	0.7266666666666667	0.7266666666666666	46	8	0.3	mixed	False	0.0
abs_d	0.74	0.74	0.74	46	8	0.3	mixed	False	0.0
S	0.74	0.74	0.74	46	8	0.3	mixed	False	0.0
q	0.6533333333333333	0.6533333333333333	0.6533333333333333	47	8	0.3	mixed	False	0.0
abs_d	0.6466666666666666	0.6466666666666666	0.6466666666666666	47	8	0.3	mixed	False	0.0
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	47	8	0.3	mixed	False	0.0
q	0.7	0.7	0.7	48	8	0.3	mixed	False	0.0
abs_d	0.7	0.7	0.7	48	8	0.3	mixed	False	0.0
S	0.72	0.72	0.72	48	8	0.3	mixed	False	0.0
q	0.6133333333333333	0.6133333333333333	0.6133333333333333	49	8	0.3	mixed	False	0.0
abs_d	0.6333333333333333	0.6333333333333333	0.6333333333333333	49	8	0.3	mixed	False	0.0
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	49	8	0.3	mixed	False	0.0
q	0.5733333333333334	0.5733333333333334	0.5733333333333334	0	8	0.3	mixed	False	0.25
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	0	8	0.3	mixed	False	0.25
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	0	8	0.3	mixed	False	0.25
q	0.5	0.5	0.5	1	8	0.3	mixed	False	0.25
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	1	8	0.3	mixed	False	0.25
S	0.6	0.6	0.6	1	8	0.3	mixed	False	0.25
q	0.49333333333333335	0.49333333333333335	0.4933333333333334	2	8	0.3	mixed	False	0.25
abs_d	0.68	0.68	0.68	2	8	0.3	mixed	False	0.25
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	2	8	0.3	mixed	False	0.25
q	0.5733333333333334	0.5733333333333334	0.5733333333333334	3	8	0.3	mixed	False	0.25
abs_d	0.7666666666666667	0.7666666666666667	0.7666666666666667	3	8	0.3	mixed	False	0.25
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	3	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	4	8	0.3	mixed	False	0.25
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	4	8	0.3	mixed	False	0.25
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	4	8	0.3	mixed	False	0.25
q	0.56	0.56	0.56	5	8	0.3	mixed	False	0.25
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	5	8	0.3	mixed	False	0.25
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	5	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	6	8	0.3	mixed	False	0.25
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	6	8	0.3	mixed	False	0.25
S	0.6	0.6	0.6	6	8	0.3	mixed	False	0.25
q	0.5733333333333334	0.5733333333333334	0.5733333333333334	7	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	7	8	0.3	mixed	False	0.25
S	0.66	0.66	0.66	7	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	8	8	0.3	mixed	False	0.25
abs_d	0.66	0.66	0.66	8	8	0.3	mixed	False	0.25
S	0.6066666666666667	0.6066666666666667	0.6066666666666667	8	8	0.3	mixed	False	0.25
q	0.5666666666666667	0.5666666666666667	0.5666666666666667	9	8	0.3	mixed	False	0.25
abs_d	0.7333333333333333	0.7333333333333333	0.7333333333333333	9	8	0.3	mixed	False	0.25
S	0.64	0.64	0.64	9	8	0.3	mixed	False	0.25
q	0.5666666666666667	0.5666666666666667	0.5666666666666667	10	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	10	8	0.3	mixed	False	0.25
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	10	8	0.3	mixed	False	0.25
q	0.49333333333333335	0.49333333333333335	0.4933333333333334	11	8	0.3	mixed	False	0.25
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	11	8	0.3	mixed	False	0.25
S	0.5733333333333334	0.5733333333333334	0.5733333333333334	11	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	12	8	0.3	mixed	False	0.25
abs_d	0.68	0.68	0.68	12	8	0.3	mixed	False	0.25
S	0.6	0.6	0.6	12	8	0.3	mixed	False	0.25
q	0.5666666666666667	0.5666666666666667	0.5666666666666667	13	8	0.3	mixed	False	0.25
abs_d	0.7466666666666667	0.7466666666666667	0.7466666666666667	13	8	0.3	mixed	False	0.25
S	0.6933333333333334	0.6933333333333334	0.6933333333333334	13	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	14	8	0.3	mixed	False	0.25
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	14	8	0.3	mixed	False	0.25
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	14	8	0.3	mixed	False	0.25
q	0.5	0.5	0.5	15	8	0.3	mixed	False	0.25
abs_d	0.6466666666666666	0.6466666666666666	0.6466666666666666	15	8	0.3	mixed	False	0.25
S	0.5533333333333333	0.5533333333333333	0.5533333333333333	15	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	16	8	0.3	mixed	False	0.25
abs_d	0.6933333333333334	0.6933333333333334	0.6933333333333334	16	8	0.3	mixed	False	0.25
S	0.5733333333333334	0.5733333333333334	0.5733333333333334	16	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	17	8	0.3	mixed	False	0.25
abs_d	0.6733333333333333	0.6733333333333333	0.6733333333333333	17	8	0.3	mixed	False	0.25
S	0.62	0.62	0.62	17	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	18	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	18	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	18	8	0.3	mixed	False	0.25
q	0.5133333333333333	0.5133333333333333	0.5133333333333333	19	8	0.3	mixed	False	0.25
abs_d	0.68	0.68	0.68	19	8	0.3	mixed	False	0.25
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	19	8	0.3	mixed	False	0.25
q	0.5066666666666667	0.5066666666666667	0.5066666666666667	20	8	0.3	mixed	False	0.25
abs_d	0.6933333333333334	0.6933333333333334	0.6933333333333334	20	8	0.3	mixed	False	0.25
S	0.64	0.64	0.64	20	8	0.3	mixed	False	0.25
q	0.54	0.54	0.54	21	8	0.3	mixed	False	0.25
abs_d	0.6866666666666666	0.6866666666666666	0.6866666666666666	21	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	21	8	0.3	mixed	False	0.25
q	0.5466666666666666	0.5466666666666666	0.5466666666666666	22	8	0.3	mixed	False	0.25
abs_d	0.7333333333333333	0.7333333333333333	0.7333333333333333	22	8	0.3	mixed	False	0.25
S	0.64	0.64	0.64	22	8	0.3	mixed	False	0.25
q	0.56	0.56	0.56	23	8	0.3	mixed	False	0.25
abs_d	0.7066666666666667	0.7066666666666667	0.7066666666666667	23	8	0.3	mixed	False	0.25
S	0.64	0.64	0.64	23	8	0.3	mixed	False	0.25
q	0.49333333333333335	0.49333333333333335	0.4933333333333334	24	8	0.3	mixed	False	0.25
abs_d	0.68	0.68	0.68	24	8	0.3	mixed	False	0.25
S	0.62	0.62	0.62	24	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	25	8	0.3	mixed	False	0.25
abs_d	0.7333333333333333	0.7333333333333333	0.7333333333333333	25	8	0.3	mixed	False	0.25
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	25	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	26	8	0.3	mixed	False	0.25
abs_d	0.7066666666666667	0.7066666666666667	0.7066666666666667	26	8	0.3	mixed	False	0.25
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	26	8	0.3	mixed	False	0.25
q	0.5533333333333333	0.5533333333333333	0.5533333333333333	27	8	0.3	mixed	False	0.25
abs_d	0.7066666666666667	0.7066666666666667	0.7066666666666667	27	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	27	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	28	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	28	8	0.3	mixed	False	0.25
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	28	8	0.3	mixed	False	0.25
q	0.56	0.56	0.56	29	8	0.3	mixed	False	0.25
abs_d	0.6933333333333334	0.6933333333333334	0.6933333333333334	29	8	0.3	mixed	False	0.25
S	0.64	0.64	0.64	29	8	0.3	mixed	False	0.25
q	0.5666666666666667	0.5666666666666667	0.5666666666666667	30	8	0.3	mixed	False	0.25
abs_d	0.7133333333333334	0.7133333333333334	0.7133333333333335	30	8	0.3	mixed	False	0.25
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	30	8	0.3	mixed	False	0.25
q	0.52	0.52	0.52	31	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	31	8	0.3	mixed	False	0.25
S	0.5933333333333334	0.5933333333333334	0.5933333333333334	31	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	32	8	0.3	mixed	False	0.25
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	32	8	0.3	mixed	False	0.25
S	0.6066666666666667	0.6066666666666667	0.6066666666666667	32	8	0.3	mixed	False	0.25
q	0.5466666666666666	0.5466666666666666	0.5466666666666666	33	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	33	8	0.3	mixed	False	0.25
S	0.6066666666666667	0.6066666666666667	0.6066666666666667	33	8	0.3	mixed	False	0.25
q	0.56	0.56	0.56	34	8	0.3	mixed	False	0.25
abs_d	0.7466666666666667	0.7466666666666667	0.7466666666666667	34	8	0.3	mixed	False	0.25
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	34	8	0.3	mixed	False	0.25
q	0.5533333333333333	0.5533333333333333	0.5533333333333333	35	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	35	8	0.3	mixed	False	0.25
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	35	8	0.3	mixed	False	0.25
q	0.62	0.62	0.62	36	8	0.3	mixed	False	0.25
abs_d	0.7466666666666667	0.7466666666666667	0.7466666666666667	36	8	0.3	mixed	False	0.25
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	36	8	0.3	mixed	False	0.25
q	0.5533333333333333	0.5533333333333333	0.5533333333333333	37	8	0.3	mixed	False	0.25
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	37	8	0.3	mixed	False	0.25
S	0.6733333333333333	0.6733333333333333	0.6733333333333333	37	8	0.3	mixed	False	0.25
q	0.5133333333333333	0.5133333333333333	0.5133333333333333	38	8	0.3	mixed	False	0.25
abs_d	0.68	0.68	0.68	38	8	0.3	mixed	False	0.25
S	0.5933333333333334	0.5933333333333334	0.5933333333333334	38	8	0.3	mixed	False	0.25
q	0.5666666666666667	0.5666666666666667	0.5666666666666667	39	8	0.3	mixed	False	0.25
abs_d	0.72	0.72	0.72	39	8	0.3	mixed	False	0.25
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	39	8	0.3	mixed	False	0.25
q	0.5866666666666667	0.5866666666666667	0.5866666666666667	40	8	0.3	mixed	False	0.25
abs_d	0.7133333333333334	0.7133333333333334	0.7133333333333335	40	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	40	8	0.3	mixed	False	0.25
q	0.5133333333333333	0.5133333333333333	0.5133333333333333	41	8	0.3	mixed	False	0.25
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	41	8	0.3	mixed	False	0.25
S	0.62	0.62	0.62	41	8	0.3	mixed	False	0.25
q	0.5	0.5	0.5	42	8	0.3	mixed	False	0.25
abs_d	0.6533333333333333	0.6533333333333333	0.6533333333333333	42	8	0.3	mixed	False	0.25
S	0.5666666666666667	0.5666666666666667	0.5666666666666667	42	8	0.3	mixed	False	0.25
q	0.58	0.58	0.58	43	8	0.3	mixed	False	0.25
abs_d	0.74	0.74	0.74	43	8	0.3	mixed	False	0.25
S	0.68	0.68	0.68	43	8	0.3	mixed	False	0.25
q	0.5133333333333333	0.5133333333333333	0.5133333333333333	44	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	44	8	0.3	mixed	False	0.25
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	44	8	0.3	mixed	False	0.25
q	0.5133333333333333	0.5133333333333333	0.5133333333333333	45	8	0.3	mixed	False	0.25
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	45	8	0.3	mixed	False	0.25
S	0.6	0.6	0.6	45	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	46	8	0.3	mixed	False	0.25
abs_d	0.6666666666666666	0.6666666666666666	0.6666666666666666	46	8	0.3	mixed	False	0.25
S	0.6	0.6	0.6	46	8	0.3	mixed	False	0.25
q	0.5266666666666666	0.5266666666666666	0.5266666666666666	47	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	47	8	0.3	mixed	False	0.25
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	47	8	0.3	mixed	False	0.25
q	0.56	0.56	0.56	48	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	48	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	48	8	0.3	mixed	False	0.25
q	0.5466666666666666	0.5466666666666666	0.5466666666666666	49	8	0.3	mixed	False	0.25
abs_d	0.7	0.7	0.7	49	8	0.3	mixed	False	0.25
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	49	8	0.3	mixed	False	0.25
q	0.4266666666666667	0.4266666666666667	0.42666666666666675	0	8	0.3	mixed	False	0.5
abs_d	0.6933333333333334	0.6933333333333334	0.6933333333333334	0	8	0.3	mixed	False	0.5
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	0	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	1	8	0.3	mixed	False	0.5
abs_d	0.7466666666666667	0.7466666666666667	0.7466666666666667	1	8	0.3	mixed	False	0.5
S	0.6533333333333333	0.6533333333333333	0.6533333333333333	1	8	0.3	mixed	False	0.5
q	0.46	0.46	0.46	2	8	0.3	mixed	False	0.5
abs_d	0.7533333333333333	0.7533333333333333	0.7533333333333333	2	8	0.3	mixed	False	0.5
S	0.66	0.66	0.66	2	8	0.3	mixed	False	0.5
q	0.44	0.44	0.44	3	8	0.3	mixed	False	0.5
abs_d	0.7533333333333333	0.7533333333333333	0.7533333333333333	3	8	0.3	mixed	False	0.5
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	3	8	0.3	mixed	False	0.5
q	0.44	0.44	0.44	4	8	0.3	mixed	False	0.5
abs_d	0.74	0.74	0.74	4	8	0.3	mixed	False	0.5
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	4	8	0.3	mixed	False	0.5
q	0.44666666666666666	0.44666666666666666	0.44666666666666666	5	8	0.3	mixed	False	0.5
abs_d	0.76	0.76	0.76	5	8	0.3	mixed	False	0.5
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	5	8	0.3	mixed	False	0.5
q	0.44666666666666666	0.44666666666666666	0.44666666666666666	6	8	0.3	mixed	False	0.5
abs_d	0.74	0.74	0.74	6	8	0.3	mixed	False	0.5
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	6	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	7	8	0.3	mixed	False	0.5
abs_d	0.7666666666666667	0.7666666666666667	0.7666666666666667	7	8	0.3	mixed	False	0.5
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	7	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	8	8	0.3	mixed	False	0.5
abs_d	0.7666666666666667	0.7666666666666667	0.7666666666666667	8	8	0.3	mixed	False	0.5
S	0.6866666666666666	0.6866666666666666	0.6866666666666666	8	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	9	8	0.3	mixed	False	0.5
abs_d	0.72	0.72	0.72	9	8	0.3	mixed	False	0.5
S	0.62	0.62	0.62	9	8	0.3	mixed	False	0.5
q	0.4	0.4	0.4000000000000001	10	8	0.3	mixed	False	0.5
abs_d	0.7333333333333333	0.7333333333333333	0.7333333333333333	10	8	0.3	mixed	False	0.5
S	0.62	0.62	0.62	10	8	0.3	mixed	False	0.5
q	0.46	0.46	0.46	11	8	0.3	mixed	False	0.5
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	11	8	0.3	mixed	False	0.5
S	0.6466666666666666	0.6466666666666666	0.6466666666666666	11	8	0.3	mixed	False	0.5
q	0.4266666666666667	0.4266666666666667	0.42666666666666675	12	8	0.3	mixed	False	0.5
abs_d	0.76	0.76	0.76	12	8	0.3	mixed	False	0.5
S	0.64	0.64	0.64	12	8	0.3	mixed	False	0.5
q	0.35333333333333333	0.35333333333333333	0.35333333333333333	13	8	0.3	mixed	False	0.5
abs_d	0.7	0.7	0.7	13	8	0.3	mixed	False	0.5
S	0.5666666666666667	0.5666666666666667	0.5666666666666667	13	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	14	8	0.3	mixed	False	0.5
abs_d	0.7666666666666667	0.7666666666666667	0.7666666666666667	14	8	0.3	mixed	False	0.5
S	0.64	0.64	0.64	14	8	0.3	mixed	False	0.5
q	0.44666666666666666	0.44666666666666666	0.44666666666666666	15	8	0.3	mixed	False	0.5
abs_d	0.7466666666666667	0.7466666666666667	0.7466666666666667	15	8	0.3	mixed	False	0.5
S	0.7	0.7	0.7	15	8	0.3	mixed	False	0.5
q	0.43333333333333335	0.43333333333333335	0.43333333333333335	16	8	0.3	mixed	False	0.5
abs_d	0.74	0.74	0.74	16	8	0.3	mixed	False	0.5
S	0.5733333333333334	0.5733333333333334	0.5733333333333334	16	8	0.3	mixed	False	0.5
q	0.42	0.42	0.41999999999999993	17	8	0.3	mixed	False	0.5
abs_d	0.7266666666666667	0.7266666666666667	0.7266666666666666	17	8	0.3	mixed	False	0.5
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	17	8	0.3	mixed	False	0.5
q	0.4533333333333333	0.4533333333333333	0.4533333333333333	18	8	0.3	mixed	False	0.5
abs_d	0.7733333333333333	0.7733333333333333	0.7733333333333333	18	8	0.3	mixed	False	0.5
S	0.6133333333333333	0.6133333333333333	0.6133333333333333	18	8	0.3	mixed	False	0.5
q	0.4266666666666667	0.4266666666666667	0.42666666666666675	19	8	0.3	mixed	False	0.5
abs_d	0.7666666666666667	0.7666666666666667	0.7666666666666667	19	8	0.3	mixed	False	0.5
S	0.6333333333333333	0.6333333333333333	0.6333333333333333	19	8	0.3	mixed	False	0.5
q	0.44	0.44	0.44	20	8	0.3	mixed	False	0.5
abs_d	0.7333333333333333	0.7333333333333333	0.7333333333333333	20	8	0.3	mixed	False	0.5
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	20	8	0.3	mixed	False	0.5
q	0.4266666666666667	0.4266666666666667	0.42666666666666675	21	8	0.3	mixed	False	0.5
abs_d	0.7133333333333334	0.7133333333333334	0.7133333333333335	21	8	0.3	mixed	False	0.5
S	0.6266666666666667	0.6266666666666667	0.6266666666666667	21	8	0.3	mixed	False	0.5
q	0.4666666666666667	0.4666666666666667	0.4666666666666667	22	8	0.3	mixed	False	0.5
abs_d	0.78	0.78	0.78	22	8	0.3	mixed	False	0.5
S	0.6666666666666666	0.6666666666666666	0.6666666666666666	22	8	0.3	mixed	False	0.5
q	0.5466666666666666	0.5466666666666666	0.5466666666666666	23	8	0.3	mixed	False	0.5
abs_d	0.7733333333333333	0.7733333333333333	0.7733333333333333	23	8	0.3	mixed	False	0.5
