rule	precision_at_K	recall_at_K	f1_at_K	rep	n	frac_tp	effect	hetero	fragile
abs_d	1.0	1.0	1.0	28	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	28	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	29	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	29	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	29	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	30	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	30	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	30	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	31	8	0.05	strong	False	0.0
abs_d	0.92	0.92	0.92	31	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	31	8	0.05	strong	False	0.0
q	0.96	0.96	0.96	32	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	32	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	32	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	33	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	33	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	33	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	34	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	34	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	34	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	35	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	35	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	35	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	36	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	36	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	36	8	0.05	strong	False	0.0
q	0.96	0.96	0.96	37	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	37	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	37	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	38	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	38	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	38	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	39	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	39	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	39	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	40	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	40	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	40	8	0.05	strong	False	0.0
q	0.8	0.8	0.8000000000000002	41	8	0.05	strong	False	0.0
abs_d	0.92	0.92	0.92	41	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	41	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	42	8	0.05	strong	False	0.0
abs_d	0.92	0.92	0.92	42	8	0.05	strong	False	0.0
S	0.88	0.88	0.88	42	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	43	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	43	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	43	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	44	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	44	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	44	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	45	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	45	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	45	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	46	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	46	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	46	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	47	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	47	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	47	8	0.05	strong	False	0.0
q	0.96	0.96	0.96	48	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	48	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	48	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	49	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	49	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	49	8	0.05	strong	False	0.0
q	0.76	0.76	0.76	0	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	0	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	0	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	1	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	1	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	1	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	2	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	2	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	2	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	3	8	0.05	strong	False	0.25
abs_d	0.8	0.8	0.8000000000000002	3	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	3	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	4	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	4	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	4	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	5	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	5	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	5	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	6	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	6	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	6	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	7	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	7	8	0.05	strong	False	0.25
S	0.72	0.72	0.72	7	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	8	8	0.05	strong	False	0.25
abs_d	0.96	0.96	0.96	8	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	8	8	0.05	strong	False	0.25
q	0.76	0.76	0.76	9	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	9	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	9	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	10	8	0.05	strong	False	0.25
abs_d	0.84	0.84	0.8399999999999999	10	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	10	8	0.05	strong	False	0.25
q	0.68	0.68	0.68	11	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	11	8	0.05	strong	False	0.25
S	0.68	0.68	0.68	11	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	12	8	0.05	strong	False	0.25
abs_d	0.92	0.92	0.92	12	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	12	8	0.05	strong	False	0.25
q	0.72	0.72	0.72	13	8	0.05	strong	False	0.25
abs_d	0.88	0.88	0.88	13	8	0.05	strong	False	0.25
S	0.76	0.76	0.76	13	8	0.05	strong	False	0.25
q	0.64	0.64	0.64	14	8	0.05	strong	False	0.25
