panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Oncology	OID21192	FEN1	P39748	PR2-PR1	8	-0.18930000000000002	-0.5399875000000001	0.3506875	11.012866060046859	7	0.000011287932574655102	0.03316394590433669	
Oncology	OID21407	KLK14	Q9P0G3	PR2-PR1	9	0.6847444444444444	0.19230000000000003	0.4924444444444444	7.544579022650352	8	0.00006642055538619296	0.06504786390821164	
Neurology	OID21096	CA6	P23280	PR2-PR1	9	1.3279444444444446	0.8859777777777778	0.4419666666666667	7.741146540849938	8	0.00005529062861930889	0.06504786390821164	
Cardiometabolic	OID20087	MMP7	P09237	PR2-PR1	9	3.6608	3.1501666666666663	0.5106333333333333	7.018277306763595	8	0.00011060428737730277	0.08123884907862888	
Oncology_II	OID31177	MAPRE3	Q9UPY8	PR2-PR1	9	-0.24182222222222224	-0.7413	0.4994777777777777	6.314759312074509	8	0.00022911722152207936	0.13462927936637384	
Inflammation	OID20712	DNER	Q8NFT8	PR2-PR1	9	0.10933333333333334	-0.3710444444444445	0.4803777777777778	6.090955275529092	8	0.00029237189148112463	0.1431647695285907	
Oncology	OID21171	CEACAM5	P06731	PR2-PR1	8	0.47977499999999995	-0.34887499999999994	0.8286499999999999	6.194282503533614	7	0.00044774075585141127	0.18792319152734946	
Neurology	OID21126	IL1RAP	Q9NPH3	PR2-PR1	9	0.9897444444444444	1.1295444444444445	-0.1398	-5.509706943760541	8	0.0005672157710414627	0.20830999191497718	
Oncology_II	OID31490	NCR3LG1	Q68D85	PR2-PR1	9	0.38845555555555555	0.0912111111111111	0.29724444444444437	5.334341133837163	8	0.0006988718928075954	0.22814284678541283	
Neurology_II	OID30915	CADPS	Q9ULU8	PR2-PR1	7	0.5242571428571429	-0.04214285714285714	0.5664	6.087253904047042	6	0.0008940460678747986	0.22981900507789052	
Neurology	OID21111	FCRL5	Q96RD9	PR2-PR1	9	-0.7538444444444443	-0.43576666666666664	-0.31807777777777774	-5.092354622496126	8	0.0009386753100526501	0.22981900507789052	
Inflammation	OID20654	C1QA	P02745	PR2-PR1	9	0.04850000000000001	0.19016666666666665	-0.14166666666666666	-5.195178804405297	8	0.0008272584366177949	0.22981900507789052	
Oncology	OID21531	MIA	Q16674	PR2-PR1	8	0.7560374999999999	0.45201250000000004	0.30402499999999993	5.161115013503995	7	0.0013078466917226805	0.2955733523293258	
Cardiometabolic_II	OID30104	SCGB2A2	Q13296	PR2-PR1	8	0.3532375	-0.6655875	1.018825	4.859295084533154	7	0.001836637613931158	0.3372525818581089	
Oncology_II	OID31422	TADA3	O75528	PR2-PR1	9	-0.05979999999999999	-0.46455555555555555	0.4047555555555556	4.575107311775297	8	0.0018136013577516596	0.3372525818581089	
Neurology	OID21112	CLEC11A	Q9Y240	PR2-PR1	9	0.21326666666666666	0.5026555555555556	-0.2893888888888889	-4.571353688781679	8	0.0018225497057706708	0.3372525818581089	
Cardiometabolic_II	OID30235	RNF149	Q8NC42	PR2-PR1	8	-0.008912499999999997	-0.21693750000000003	0.20802500000000002	4.770447685758488	7	0.002034663538103443	0.3516377338204656	
Inflammation	OID20647	CD160	O95971	PR2-PR1	9	0.13177777777777777	0.2700888888888888	-0.13831111111111108	-4.3581740955938555	8	0.0024185688963958007	0.39476418986727013	
Neurology_II	OID31096	PALM2	Q8IXS6	PR2-PR1	9	-0.3486555555555555	-0.7004	0.35174444444444447	4.2666071746275085	8	0.002736742591137764	0.4019207374744124	
Cardiometabolic	OID20367	C1QTNF1	Q9BXJ1	PR2-PR1	9	0.4799444444444444	0.6445444444444445	-0.16459999999999997	-4.230905039184063	8	0.002872816707611525	0.4019207374744124	
Oncology	OID21416	ITGAV	P06756	PR2-PR1	9	-0.4107444444444444	-0.27181111111111117	-0.13893333333333333	-4.24261553270587	8	0.0028273953203783453	0.4019207374744124	
Neurology	OID21133	FCER2	P06734	PR2-PR1	9	0.023744444444444443	0.29751111111111117	-0.27376666666666666	-4.083963442470817	8	0.003514813906679848	0.46938742081024515	
Cardiometabolic_II	OID30412	TNN	Q9UQP3	PR2-PR1	9	0.0643111111111111	-0.11991111111111111	0.1842222222222222	3.8988774852202077	8	0.0045518531731425504	0.5572226926122005	
Cardiometabolic	OID20354	NCAM1	P13591	PR2-PR1	9	0.44261111111111107	0.5989888888888889	-0.15637777777777778	-3.9158374484346927	8	0.004444361079224635	0.5572226926122005	
Oncology	OID21163	RABEPK	Q7Z6M1	PR2-PR1	8	0.195025	-0.230075	0.42510000000000003	4.0373683976245776	7	0.004949344591546945	0.581646976398597	
Inflammation	OID20428	IL33	O95760	PR2-PR1	9	-1.1995555555555553	-0.18107777777777778	-1.0184777777777778	-3.5487954405138744	8	0.0075226497652234325	0.5926681193119113	
Oncology	OID21271	FOXO3	O43524	PR2-PR1	8	0.07978750000000001	0.8530125	-0.773225	-3.577968167255652	7	0.00900055788320775	0.5926681193119113	
Neurology_II	OID30832	HDAC9	Q9UKV0	PR2-PR1	7	0.10434285714285715	-0.5547142857142857	0.6590571428571429	3.68861085530252	6	0.010225575931479547	0.5926681193119113	
Neurology_II	OID30920	GNGT1	P63211	PR2-PR1	7	1.4029857142857143	0.7559428571428571	0.6470428571428571	3.8732901591845406	6	0.008234426791340788	0.5926681193119113	
Cardiometabolic_II	OID30136	EDEM2	Q9BV94	PR2-PR1	8	-0.41146250000000006	-1.0475749999999997	0.6361125000000001	3.584332915917496	7	0.008924378939035194	0.5926681193119113	
Oncology_II	OID31206	CREBZF	Q9NS37	PR2-PR1	9	-0.37577777777777777	-0.9862444444444445	0.6104666666666667	3.3119764069007203	8	0.010666759721820185	0.5926681193119113	
Cardiometabolic_II	OID30279	BPIFA2	Q96DR5	PR2-PR1	8	-0.9106875	-0.39089999999999997	-0.5197875000000001	-3.882417918831693	7	0.006034125946482449	0.5926681193119113	
Oncology	OID21511	SPARC	P09486	PR2-PR1	8	-0.44152499999999995	0.059600000000000014	-0.501125	-3.486579439813587	7	0.01017550111207477	0.5926681193119113	
Oncology_II	OID31252	EPN1	Q9Y6I3	PR2-PR1	8	-0.15777500000000003	-0.5978249999999999	0.44004999999999994	3.989222703892849	7	0.005261648653300588	0.5926681193119113	
Oncology_II	OID31473	PSAPL1	Q6NUJ1	PR2-PR1	9	-0.1191111111111111	-0.5450444444444444	0.42593333333333344	3.538479688728023	8	0.007636795580845401	0.5926681193119113	
Cardiometabolic_II	OID30165	B3GAT3	O94766	PR2-PR1	8	-0.20793749999999997	0.2066375	-0.4145749999999999	-3.870252451653525	7	0.006129683972526667	0.5926681193119113	
Neurology_II	OID30941	PRKAG3	Q9UGI9	PR2-PR1	7	-0.11034285714285716	-0.5015999999999999	0.39125714285714286	3.6644244578155254	6	0.010523851259891304	0.5926681193119113	
Cardiometabolic	OID20059	DUOX2	Q9NRD8	PR2-PR1	9	0.11910000000000001	-0.2147333333333333	0.33383333333333337	3.587168181680573	8	0.007113715073430837	0.5926681193119113	
Oncology_II	OID31493	PSCA	O43653	PR2-PR1	9	-0.2189777777777778	-0.5347222222222223	0.31574444444444444	3.375379205794839	8	0.009707880366677468	0.5926681193119113	
Neurology	OID20869	XRCC4	Q13426	PR2-PR1	8	0.1943125	-0.11753750000000002	0.31185	3.5591025579330764	7	0.009230521260683577	0.5926681193119113	
Oncology	OID21530	LYPD3	O95274	PR2-PR1	8	0.7283000000000001	0.4186625	0.3096375	3.953473183671607	7	0.005507468575524754	0.5926681193119113	
Inflammation	OID20708	LY6D	Q14210	PR2-PR1	9	0.10941111111111113	-0.16923333333333332	0.2786444444444445	3.4804093875660973	8	0.008314630687986657	0.5926681193119113	
Oncology	OID21456	CRISP2	P16562	PR2-PR1	9	0.24348888888888887	-0.028977777777777762	0.2724666666666667	3.4018114152077024	8	0.009335433285951877	0.5926681193119113	
Oncology_II	OID31439	SH3BP1	Q9Y3L3	PR2-PR1	9	-0.15362222222222222	-0.4204555555555555	0.2668333333333333	3.422679894040876	8	0.009052071205837953	0.5926681193119113	
Oncology_II	OID31170	MUCL3	Q3MIW9	PR2-PR1	9	-0.049655555555555564	0.1831333333333333	-0.23278888888888888	-3.310425841380144	8	0.010691426250351022	0.5926681193119113	
Neurology	OID20945	LY96	Q9Y6Y9	PR2-PR1	8	-0.5599125	-0.35281250000000003	-0.20709999999999998	-3.5717908414304524	7	0.009075166828344194	0.5926681193119113	
Neurology	OID21106	NOMO1	Q15155	PR2-PR1	9	-0.35026666666666667	-0.17737777777777777	-0.17288888888888887	-3.645594166016193	8	0.006535864373164335	0.5926681193119113	
Inflammation	OID20765	CCL22	O00626	PR2-PR1	9	-0.4497777777777778	-0.28796666666666665	-0.16181111111111113	-3.3258735562425836	8	0.010448344902043827	0.5926681193119113	
