comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	2	8	0.03998678870166816	3.9832000000000005
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.06637320502448321	1.2166666666666666
PT1-PR1	Inflammation	367	0	9	21	0.004795860185743332	1.4273222222222222
PT1-PR1	Inflammation_II	369	0	1	1	0.03682881141996937	1.0589250000000001
PT1-PR1	Neurology	367	0	6	12	0.004795860185743332	2.045111111111111
PT1-PR1	Neurology_II	367	0	2	3	0.004795860185743332	1.4497888888888888
PT1-PR1	Oncology	366	0	2	8	0.026464406179455835	1.4818444444444445
PT1-PR1	Oncology_II	368	0	0	5	0.07313053493629007	1.6724666666666668
PR2-PR1	Cardiometabolic	367	0	0	1	0.08123884907862888	1.6344375
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.3372525818581089	1.018825
PR2-PR1	Inflammation	367	0	0	0	0.1431647695285907	1.0636666666666668
PR2-PR1	Inflammation_II	369	0	0	0	0.6710609046829263	1.5149124999999999
PR2-PR1	Neurology	367	0	0	1	0.06504786390821164	0.9626625000000001
PR2-PR1	Neurology_II	367	0	0	0	0.22981900507789052	1.0349
PR2-PR1	Oncology	366	0	1	2	0.03316394590433669	1.1534444444444445
PR2-PR1	Oncology_II	368	0	0	0	0.13462927936637384	1.3479875
PT2-PT1	Cardiometabolic	367	0	1	1	0.026204439808791502	1.3060888888888889
PT2-PT1	Cardiometabolic_II	367	0	0	1	0.0754719476372574	0.9930875000000001
PT2-PT1	Inflammation	367	0	1	1	0.026204439808791502	1.5376333333333336
PT2-PT1	Inflammation_II	369	0	0	0	0.6238603400498295	2.991444444444444
PT2-PT1	Neurology	367	0	0	1	0.0754719476372574	0.7629222222222223
PT2-PT1	Neurology_II	367	0	0	0	0.38469442643198376	2.1034499999999996
PT2-PT1	Oncology	366	0	0	1	0.0754719476372574	0.6854555555555556
PT2-PT1	Oncology_II	368	0	0	0	0.38469442643198376	1.8560333333333336
PT2-PR2	Cardiometabolic	367	0	36	91	0.004062756466885631	5.1198500000000005
PT2-PR2	Cardiometabolic_II	367	0	6	38	0.004062756466885631	1.73
PT2-PR2	Inflammation	367	0	26	87	0.003479226919618661	1.6671857142857138
PT2-PR2	Inflammation_II	369	0	6	27	0.01403094990806551	1.7823333333333329
PT2-PR2	Neurology	367	0	29	93	0.012545076170685539	2.560477777777778
PT2-PR2	Neurology_II	367	0	4	25	0.0061055020609480275	1.6350999999999998
PT2-PR2	Oncology	366	0	14	54	0.008670478646735683	2.4416999999999995
PT2-PR2	Oncology_II	368	0	4	27	0.015809777638081952	1.7088888888888891
