panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.985873181818182	12.831144090909094	-1.845270909090909	-8.107902762156211	21	0.00000006639037786193569	0.000016953348447312777	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.0353759090909085	4.454629090909091	0.580746818181818	8.028613835728368	21	0.00000007776765342804026	0.000016953348447312777	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.024899999999999	5.826678636363638	-0.8017786363636364	-7.811767413579202	21	0.00000012037342300708076	0.000017427454050089608	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6883490909090906	4.394207727272725	-0.7058586363636364	-7.672521341416856	21	0.0000001598848995421065	0.000017427454050089608	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.360199545454545	3.945900454545455	0.41429909090909106	7.415502062103744	21	0.0000002718449081395846	0.000023704875989771777	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.786590454545456	6.378561363636364	-0.5919709090909091	-7.174311753069806	21	0.00000045096340217654074	0.000032770007224828625	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.66482590909091	4.035330454545456	1.6294954545454543	6.99451428191266	21	0.0000006610057385891821	0.00004117121457498334	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.480173636363636	10.990488181818183	-1.5103145454545457	-6.897050229742665	21	0.0000008147117109835733	0.000044401788248604745	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.276606363636364	4.964815454545454	-1.6882090909090912	-6.372320034118966	21	0.0000025650421489054054	0.0001231265142070241	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.612168636363636	4.290927727272727	-0.6787590909090908	-6.309067006520476	21	0.000002952336302763925	0.0001231265142070241	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.476739999999999	5.069858636363636	-0.5931186363636363	-6.28624070441378	21	0.000003106402881369874	0.0001231265142070241	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.276337272727274	5.993285000000001	1.2830522727272728	5.8543130347110335	21	0.00000823038014119426	0.00029903714513005813	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.3721709090909116	7.074009545454544	0.2981613636363635	5.794703223503134	21	0.000009430974287072402	0.0003163003683971975	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.168864545454545	4.18132409090909	-1.012459545454545	-5.729682239612353	21	0.00001094599411644026	0.00032345849575522815	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.904358636363637	4.508849999999999	0.39550863636363637	5.72249071077283	21	0.000011128159257633996	0.00032345849575522815	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6035259090909089	2.445400454545455	-0.8418745454545458	-5.577070370762822	21	0.000015555379176301898	0.0004238840825542267	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.437693181818181	9.861164999999998	0.5765281818181817	5.242438092209368	21	0.00003388845902096982	0.0008515639566210412	
CVD3	OID_gisby_00177	TNFRSF14	Q92956	late-early	22	8.274880000000001	7.976631818181818	0.29824818181818186	5.226761209084668	21	0.00003515631013573106	0.0008515639566210412	
CVD3	OID_gisby_00230	U-PAR	Q03405	late-early	22	8.192564545454546	7.61144590909091	0.5811186363636364	5.193438063735335	21	0.000038013692170491	0.0008723141992807408	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.195734090909091	2.811149545454545	-0.6154154545454545	-5.137728496636816	21	0.00004332756926905823	0.0008995628667290185	
CM	OID_gisby_00060	NRP1	O14786	late-early	22	1.444659090909091	1.2295395454545455	0.21511954545454548	5.138441755158575	21	0.000043254979146256645	0.0008995628667290185	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	7.018187272727272	7.882746818181818	-0.8645595454545455	-5.070279415784667	21	0.000050781582576542306	0.0010063986365169294	
CM	OID_gisby_00046	ST6GAL1	P15907	late-early	22	3.7967513636363632	4.267936363636363	-0.471185	-5.022500497357754	21	0.000056837285966615525	0.0010733854555606455	
CM	OID_gisby_00027	VCAM1	P19320	late-early	22	5.936235	6.335322727272728	-0.3990877272727273	-5.006065076441324	21	0.00005908543792076948	0.0010733854555606455	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.129989999999999	3.4675722727272738	0.6624177272727271	4.898026793579909	21	0.00007628290025207818	0.0013249593193453075	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.225381818181819	3.8083227272727282	-0.5829409090909091	-4.86726317445802	21	0.00008205023307872317	0.0013249593193453075	
IR	OID_gisby_00377	LILRB4	Q8NHJ6	late-early	22	6.587951363636364	7.09702909090909	-0.5090777272727273	-4.8685334008202545	21	0.00008180359293241679	0.0013249593193453075	
In	OID_gisby_00332	IFN-gamma	P01579	late-early	22	7.574814090909089	9.994155454545457	-2.4193413636363634	-4.689617719915276	21	0.00012511903540612934	0.001940376388205441	
In	OID_gisby_00338	CASP-8	Q14790	late-early	22	3.1975309090909083	3.85406590909091	-0.6565350000000001	-4.674871338697322	21	0.00012958849929223248	0.001940376388205441	
CM	OID_gisby_00083	GAS6	Q14393	late-early	22	5.546778636363637	5.7711986363636365	-0.2244200000000001	-4.662342490236318	21	0.00013351213680312668	0.001940376388205441	
CVD2	OID_gisby_00175	PARP-1	P09874	late-early	22	4.813162272727274	5.6597599999999995	-0.8465977272727272	-4.640942626030055	21	0.0001404928957078333	0.001975964597697268	
IR	OID_gisby_00435	BTN3A2	P78410	late-early	22	4.784949090909091	5.251464545454546	-0.4665154545454547	-4.505942569553317	21	0.00019385034043750693	0.002641210888461032	
IR	OID_gisby_00350	GLB1	P16278	late-early	22	0.6938063636363636	1.1743459090909092	-0.48053954545454547	-4.479997527757499	21	0.00020623751502757415	0.0027248350470309795	
IR	OID_gisby_00390	PTH1R	Q03431	late-early	22	5.6254313636363635	5.261153636363638	0.3642777272727272	4.427792896039321	21	0.00023362566886064862	0.0029103083320926515	
CM	OID_gisby_00019	PROC	P04070	late-early	22	4.232597272727272	3.8923450000000006	0.34025227272727276	4.438663315591053	21	0.0002276365358986343	0.0029103083320926515	
CVD2	OID_gisby_00090	BMP-6	P22004	late-early	22	5.196724090909091	5.513292272727272	-0.3165681818181817	-4.403388187856714	21	0.0002476543303517875	0.0029993691120383157	
CVD3	OID_gisby_00199	FABP4	P15090	late-early	22	9.429817272727274	8.887089090909091	0.5427281818181817	4.325686213904191	21	0.0002982030923062151	0.003333757647320764	
CVD3	OID_gisby_00205	GDF-15	Q99988	late-early	22	7.668652727272728	8.13106409090909	-0.46241136363636365	-4.329951723838059	21	0.00029517721959293475	0.003333757647320764	
IR	OID_gisby_00402	TREM1	Q9NP99	late-early	22	5.116376818181818	4.926151818181817	0.19022500000000003	4.343828495632662	21	0.0002855445960256997	0.003333757647320764	
CVD2	OID_gisby_00103	TNFRSF11A	Q9Y6Q6	late-early	22	10.366685909090908	10.107902727272727	0.25878318181818183	4.225887303450164	21	0.0003785859590692553	0.004126586953854883	
IR	OID_gisby_00379	KRT19	P08727	late-early	22	4.049765909090909	5.040376363636365	-0.9906104545454546	-4.173420108698883	21	0.0004292040314002321	0.0043704722235318955	
IR	OID_gisby_00413	DFFA	O00273	late-early	22	5.551977272727273	6.059540909090909	-0.5075636363636364	-4.171642375991013	21	0.00043103281103640256	0.0043704722235318955	
CVD3	OID_gisby_00198	TLT-2	Q5T2D2	late-early	22	5.568054545454546	5.31382409090909	0.2542304545454547	4.187364989222437	21	0.0004151251152615387	0.0043704722235318955	
IR	OID_gisby_00381	HNMT	P50135	late-early	22	10.681590454545457	11.283942727272727	-0.6023522727272727	-4.130460960858673	21	0.00047564543052591723	0.004713213811574998	
IR	OID_gisby_00425	CLEC7A	Q9BXN2	late-early	22	7.0755063636363635	6.777261363636364	0.2982449999999999	4.0603290478582235	21	0.0005624809742195147	0.005449815661326854	
IR	OID_gisby_00396	CKAP4	Q07065	late-early	22	7.813397727272727	8.361795454545454	-0.5483977272727274	-3.881979923381393	21	0.0008611644634464177	0.007988674597077408	
CVD2	OID_gisby_00158	THPO	P40225	late-early	22	3.730942272727273	4.123773636363636	-0.3928313636363636	-3.8835482351871073	21	0.0008579490744147211	0.007988674597077408	
CM	OID_gisby_00010	SERPINA5	P05154	late-early	22	7.859974545454546	7.199946818181821	0.6600277272727272	3.8132453929804706	21	0.0010144722499154657	0.009214789603398813	
In	OID_gisby_00277	MCP-1	P13500	late-early	22	12.29714	12.711212272727272	-0.4140722727272729	-3.779298903722977	21	0.0010998766761887158	0.009786657771801634	
CVD3	OID_gisby_00184	IL2-RA	P01589	late-early	22	6.074300454545454	5.7325727272727285	0.34172772727272743	3.759579184694202	21	0.001152718411869591	0.010051704551502833	
In	OID_gisby_00306	IL-18R1	Q13478	late-early	22	9.122288636363635	9.39382181818182	-0.2715331818181817	-3.6802724484528655	21	0.0013917981107069988	0.011898509338593165	
In	OID_gisby_00331	IL33	O95760	late-early	22	0.4552695454545455	0.7899772727272727	-0.3347077272727273	-3.6631816766943794	21	0.0014494104280016185	0.012152748973244339	
CVD3	OID_gisby_00214	IGFBP-1	P08833	late-early	22	7.136983181818182	7.97994909090909	-0.8429659090909091	-3.585683788706906	21	0.0017415833255427504	0.012785125929349876	
CVD3	OID_gisby_00218	PSP-D	P35247	late-early	22	3.1800977272727278	2.3469072727272726	0.8331904545454545	3.589118619381534	21	0.0017274839032472844	0.012785125929349876	
IR	OID_gisby_00389	CD28	P10747	late-early	22	2.2978981818181823	1.9896036363636362	0.3082945454545455	3.573659655236248	21	0.0017918387103703637	0.012785125929349876	
CVD3	OID_gisby_00187	CSTB	P04080	late-early	22	8.862752727272728	8.562815454545454	0.2999372727272727	3.581221566307505	21	0.0017600693419939084	0.012785125929349876	
IR	OID_gisby_00434	ITGB6	P18564	late-early	22	4.27441	3.974652272727272	0.29975772727272737	3.584381111314307	21	0.0017469601873847385	0.012785125929349876	
IR	OID_gisby_00433	CD83	Q01151	late-early	22	5.6760745454545445	5.4119004545454565	0.26417409090909083	3.6177953366464077	21	0.0016140753149724851	0.012785125929349876	
In	OID_gisby_00320	CD5	P06127	late-early	22	7.318235454545456	7.084946818181819	0.2332886363636364	3.568712188880345	21	0.0018129289189345865	0.012785125929349876	
In	OID_gisby_00303	IL-15RA	Q13261	late-early	22	3.300954545454545	3.0942554545454546	0.20669909090909097	3.5675151308821795	21	0.0018180683661002117	0.012785125929349876	
CVD3	OID_gisby_00249	IL-18BP	O95998	late-early	22	7.458657272727273	7.6500236363636365	-0.19136636363636364	-3.606189863888648	21	0.0016590599240604575	0.012785125929349876	
CVD3	OID_gisby_00221	AP-N	P15144	late-early	22	5.495140909090909	5.320926818181818	0.17421409090909099	3.5865677924893484	21	0.0017379438423688054	0.012785125929349876	
CM	OID_gisby_00043	PLXNB2	O15031	late-early	22	1.9750950000000003	2.201542272727272	-0.22644727272727272	-3.559778667988224	21	0.0018516315346284173	0.012814465858698254	
CVD2	OID_gisby_00153	PRSS8	Q16651	late-early	22	9.84022090909091	9.719517272727272	0.12070363636363607	3.4997044306011333	21	0.0021338333402083354	0.014536739630169285	
CM	OID_gisby_00077	CCL18	P55774	late-early	22	7.911962272727272	7.328476363636366	0.5834859090909089	3.4911593268296355	21	0.002177263722467071	0.014604415123009891	
IR	OID_gisby_00428	IL12RB1	P42701	late-early	22	3.812828181818183	4.145050909090909	-0.3322227272727274	-3.4598336077922704	21	0.0023440229166074023	0.015484757449103445	
IR	OID_gisby_00398	HEXIM1	O94992	late-early	22	6.024505909090909	6.5314522727272735	-0.5069463636363636	-3.437468043273921	21	0.0024706842713380084	0.015643833123608664	
IR	OID_gisby_00373	GALNT3	Q14435	late-early	22	2.9877363636363636	3.3500813636363636	-0.3623450000000001	-3.436598087916866	21	0.002475744232864674	0.015643833123608664	
CM	OID_gisby_00009	CR2	P20023	late-early	22	6.951323636363634	6.656765000000001	0.2945586363636364	3.4490503887676143	21	0.0024042753370721037	0.015643833123608664	
CVD2	OID_gisby_00142	CEACAM8	P31997	late-early	22	7.388133636363636	7.05479409090909	0.33333954545454536	3.408643688988885	21	0.0026438519187519383	0.016467420522512072	
CVD3	OID_gisby_00225	FAS	P25445	late-early	22	6.7990759090909085	6.601638181818183	0.19743772727272732	3.4013008574993844	21	0.0026898312173830874	0.01651783677153558	
CVD3	OID_gisby_00243	ST2	Q01638	late-early	22	6.9789118181818175	7.583739545454546	-0.6048277272727273	-3.388684010202138	21	0.0027706693341778	0.01677794207918779	
CVD3	OID_gisby_00244	t-PA	P00750	late-early	22	5.177135454545454	5.764117727272727	-0.586982272727273	-3.3379894594995387	21	0.003120109183612163	0.018383346000741933	
CVD3	OID_gisby_00195	TIMP4	Q99727	late-early	22	5.422078636363636	4.9535754545454544	0.4685031818181818	3.3419817649012304	21	0.0030910956405580947	0.018383346000741933	
In	OID_gisby_00318	TNF	P01375	late-early	22	4.19073	4.510983181818182	-0.32025318181818196	-3.322418404466839	21	0.0032358319292153936	0.018810969615172157	
CM	OID_gisby_00022	PCOLCE	Q15113	late-early	22	7.146842272727273	6.800091363636363	0.34675090909090933	3.3046779499304	21	0.0033727855945144825	0.019349138410635715	
CVD2	OID_gisby_00154	AGRP	O00253	late-early	22	7.623124999999999	7.979710909090909	-0.35658590909090926	-3.28602228365083	21	0.00352290011036116	0.019947849975551504	
CM	OID_gisby_00065	THBS4	P35443	late-early	22	5.217801363636364	5.882211363636364	-0.6644100000000003	-3.2478889261095993	21	0.0038502691525295063	0.021522017314139292	
CVD3	OID_gisby_00197	CDH5	P33151	late-early	22	3.2319	3.067909545454545	0.1639904545454546	3.241899801614158	21	0.0039043056269301157	0.021547813333437093	
CVD3	OID_gisby_00222	AXL	P30530	late-early	22	9.15266	8.832875000000001	0.3197849999999999	3.206249627405167	21	0.0042415497510941425	0.023116446143463077	
CVD2	OID_gisby_00147	MMP7	P09237	late-early	22	10.310224090909093	9.821599090909091	0.4886249999999998	3.1725768336246203	21	0.004585975915459173	0.0245348636142389	
