panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.025732272727273	4.413299090909091	0.6124331818181816	10.64101148571594	21	0.0000000006456681855837587	0.0000002815113289145188	
In	OID_gisby_00323	CXCL10	P02778	late-early	22	11.014047272727272	12.962355909090915	-1.948308636363636	-8.883605310866127	21	0.00000001475774036308053	0.0000032171873991515554	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.7213577272727267	4.474482272727274	-0.7531245454545453	-8.583546394609806	21	0.00000002615786853787938	0.0000038016102275051367	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.756273636363637	4.071321363636364	1.6849522727272728	7.784111727494592	21	0.00000012732824061778558	0.000011184483083681585	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.571550454545452	11.144372727272728	-1.5728222727272725	-7.551108049535664	21	0.00000020521987309507495	0.000011184483083681585	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.027715454545455	5.861335454545455	-0.8336200000000001	-7.716142877498559	21	0.00000014624028543686052	0.000011184483083681585	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.802648636363636	6.42792409090909	-0.6252754545454549	-7.562934819877758	21	0.00000020027248126552877	0.000011184483083681585	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.358345454545455	3.9386445454545456	0.4197009090909093	7.670835028157417	21	0.00000016043802086862513	0.000011184483083681585	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.460145	9.813413181818179	0.6467318181818181	7.403578809210633	21	0.0000002786816681865645	0.000013500578592149123	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.3603154545454545	5.1158636363636365	-1.755548181818182	-6.706607605332891	21	0.0000012302400469454966	0.000053638466046823655	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.894169545454546	4.484026363636364	0.41014318181818177	6.424782122799829	21	0.0000022835300612644716	0.00009051082788284633	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.609671818181819	4.291386363636363	-0.6817145454545455	-6.333472699583708	21	0.0000027962519892898996	0.00010159715561086635	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.5046859090909095	5.126691818181819	-0.622005909090909	-6.247971858727864	21	0.000003383436917747673	0.00011347526893369119	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.304826363636363	5.987941363636364	1.316885	6.1928491157308105	21	0.000003827670962630592	0.00011920460997906699	
CM	OID_gisby_00060	NRP1	O14786	late-early	22	1.4318250000000001	1.2048645454545452	0.22696045454545458	6.022748608621267	21	0.000005613918911961946	0.00016317790970769389	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.2274072727272727	4.273223636363637	-1.0458163636363638	-5.905216062865437	21	0.000007329220643059742	0.00019972126252337796	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6439204545454544	2.5105454545454546	-0.8666250000000001	-5.802585402234246	21	0.0000092624765881677	0.00023755528190830104	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.385275000000001	7.089848181818183	0.29542681818181804	5.627674076931832	21	0.000013840605863180144	0.0003352502309081413	
CVD2	OID_gisby_00175	PARP-1	P09874	late-early	22	4.816527272727272	5.7440631818181815	-0.9275359090909092	-5.5838827993847975	21	0.00001531246549046905	0.0003513807870444477	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	7.013243181818183	7.932576363636363	-0.9193331818181818	-5.471109274023893	21	0.000019882043961860774	0.00043342855836856484	
CVD3	OID_gisby_00198	TLT-2	Q5T2D2	late-early	22	5.637303181818182	5.358529545454545	0.27877363636363645	5.268798975493094	21	0.00003186030250867944	0.0006314132678992834	
IR	OID_gisby_00402	TREM1	Q9NP99	late-early	22	5.10304909090909	4.899039999999999	0.20400909090909095	5.2743261985649434	21	0.00003145093185019654	0.0006314132678992834	
CM	OID_gisby_00027	VCAM1	P19320	late-early	22	5.948712727272726	6.370166363636364	-0.4214536363636363	-5.219127219268482	21	0.000035791036142596155	0.0006784735547031271	
CVD3	OID_gisby_00230	U-PAR	Q03405	late-early	22	8.205745454545454	7.6244454545454525	0.5813000000000003	5.19790440356792	21	0.00003761743056096556	0.000683383321857541	
In	OID_gisby_00332	IFN-gamma	P01579	late-early	22	7.5451963636363635	10.201737272727273	-2.656540909090908	-5.132843902513277	21	0.00004382801891478216	0.0007643606498738009	
CVD3	OID_gisby_00177	TNFRSF14	Q92956	late-early	22	8.286515000000001	7.991136363636363	0.2953786363636365	5.079034922778212	21	0.00004974487478381917	0.0008341832848363523	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.2221590909090905	2.829721818181818	-0.6075627272727272	-5.042030020134491	21	0.00005427822608283783	0.0008764928360043443	
CM	OID_gisby_00046	ST6GAL1	P15907	late-early	22	3.837296818181819	4.3171136363636355	-0.4798168181818181	-4.964341574079933	21	0.00006520582547864251	0.001015347853881719	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.014558636363636	3.358541363636364	0.6560172727272727	4.9058153396424515	21	0.00007488894285700987	0.0011259165201950448	
In	OID_gisby_00338	CASP-8	Q14790	late-early	22	3.2268368181818188	3.911197272727273	-0.6843604545454544	-4.878705346220784	21	0.0000798553448113637	0.001160564344591819	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.300975000000001	3.8814290909090903	-0.5804540909090908	-4.856447733155623	21	0.00008418095722162455	0.001183964430600913	
IR	OID_gisby_00377	LILRB4	Q8NHJ6	late-early	22	6.603686818181817	7.121222272727274	-0.5175354545454547	-4.842024265102804	21	0.00008710979767267979	0.0011868709932902621	
IR	OID_gisby_00425	CLEC7A	Q9BXN2	late-early	22	7.06984590909091	6.753701818181819	0.31614409090909085	4.714835755054273	21	0.00011783285814903621	0.0015568220046357512	
CVD3	OID_gisby_00199	FABP4	P15090	late-early	22	9.455475	8.888195454545455	0.5672795454545454	4.668507110280316	21	0.0001315668289081362	0.001684199181035722	
CM	OID_gisby_00083	GAS6	Q14393	late-early	22	5.5573631818181815	5.780724545454545	-0.22336136363636372	-4.657068251151078	21	0.0001351994755418584	0.001684199181035722	
IR	OID_gisby_00390	PTH1R	Q03431	late-early	22	5.660849545454545	5.2905645454545445	0.3702849999999999	4.562250020013568	21	0.0001694792073543283	0.0020486653488377264	
CM	OID_gisby_00019	PROC	P04070	late-early	22	4.231351363636364	3.8875345454545465	0.34381681818181814	4.551564215244655	21	0.00017385462822705477	0.0020486653488377264	
IR	OID_gisby_00435	BTN3A2	P78410	late-early	22	4.820034090909091	5.306975454545455	-0.4869413636363637	-4.53772309217453	21	0.00017969144524876413	0.002061722898117399	
IR	OID_gisby_00350	GLB1	P16278	late-early	22	0.7014327272727271	1.1852600000000002	-0.4838272727272728	-4.492327601063284	21	0.00020025443935312026	0.002232980907973303	
IR	OID_gisby_00389	CD28	P10747	late-early	22	2.3307440909090906	1.9859368181818184	0.3448072727272728	4.482802891455002	21	0.00020486063375901864	0.002232980907973303	
IR	OID_gisby_00381	HNMT	P50135	late-early	22	10.68309181818182	11.333208181818181	-0.6501163636363636	-4.470245327689427	21	0.0002110966924289137	0.0022448331194879607	
CVD2	OID_gisby_00090	BMP-6	P22004	late-early	22	5.2126459090909085	5.534629999999999	-0.32198409090909075	-4.4476209415674965	21	0.00022281731566375917	0.002313055943557119	
CM	OID_gisby_00010	SERPINA5	P05154	late-early	22	7.851523636363637	7.134432272727273	0.7170913636363636	4.342907465473344	21	0.00028617405450925837	0.0028357247219553783	
CVD3	OID_gisby_00205	GDF-15	Q99988	late-early	22	7.678533636363635	8.144209545454546	-0.46567590909090906	-4.3468889710906655	21	0.0002834629319024007	0.0028357247219553783	
IR	OID_gisby_00379	KRT19	P08727	late-early	22	4.056679090909091	5.101405	-1.0447259090909091	-4.319146001363452	21	0.0003029030837298219	0.002934794322360052	
IR	OID_gisby_00413	DFFA	O00273	late-early	22	5.5907672727272715	6.103848636363637	-0.5130813636363636	-4.194650115578816	21	0.0004079545009019192	0.0038187981442435476	
IR	OID_gisby_00434	ITGB6	P18564	late-early	22	4.301719545454545	3.982415	0.31930454545454556	4.190870176841985	21	0.00041165943298038243	0.0038187981442435476	
CVD3	OID_gisby_00214	IGFBP-1	P08833	late-early	22	7.0921713636363615	8.044932727272727	-0.9527613636363635	-4.153043498526137	21	0.000450638860690189	0.00409330298460255	
IR	OID_gisby_00363	CLEC4A	Q9UMR7	late-early	22	5.23724318181818	4.990452272727273	0.24679090909090898	4.129625425302026	21	0.0004765967728139753	0.004240738631569249	
CVD3	OID_gisby_00184	IL2-RA	P01589	late-early	22	6.104409999999999	5.749769545454545	0.3546404545454547	4.101065815353073	21	0.0005102823377045596	0.0044496619847837595	
IR	OID_gisby_00433	CD83	Q01151	late-early	22	5.695644545454545	5.4190404545454545	0.2766040909090909	4.037831935870606	21	0.0005935556419354171	0.005074318821251801	
CVD3	OID_gisby_00218	PSP-D	P35247	late-early	22	3.2198181818181824	2.3316336363636365	0.8881845454545453	4.0134543399410285	21	0.0006291611840787414	0.005275274543429447	
CVD2	OID_gisby_00103	TNFRSF11A	Q9Y6Q6	late-early	22	10.358144545454545	10.107998181818182	0.25014636363636367	4.004608642020029	21	0.0006426004309054711	0.0052862978844299136	
IR	OID_gisby_00396	CKAP4	Q07065	late-early	22	7.837357272727272	8.40678181818182	-0.5694245454545452	-3.95819619526787	21	0.0007179394840364228	0.005691302091634189	
In	OID_gisby_00277	MCP-1	P13500	late-early	22	12.308492727272727	12.748195909090912	-0.4397031818181821	-3.9618735986979914	21	0.0007116623739864547	0.005691302091634189	
CVD3	OID_gisby_00197	CDH5	P33151	late-early	22	3.233395454545455	3.0546227272727275	0.17877272727272733	3.9007216444648125	21	0.000823510227837998	0.0064116153453101276	
CM	OID_gisby_00077	CCL18	P55774	late-early	22	7.980778636363635	7.367645454545456	0.6131331818181818	3.868927753709043	21	0.0008883925230507295	0.006679278121694879	
CM	OID_gisby_00009	CR2	P20023	late-early	22	7.018358181818183	6.685229090909092	0.333129090909091	3.8688638918481133	21	0.0008885278235282179	0.006679278121694879	
CVD2	OID_gisby_00158	THPO	P40225	late-early	22	3.7353886363636364	4.1174881818181825	-0.3820995454545455	-3.7725392340470365	21	0.001117714365794109	0.00825971972010562	
In	OID_gisby_00306	IL-18R1	Q13478	late-early	22	9.150339090909092	9.434145909090908	-0.28380681818181813	-3.748184123246296	21	0.0011843903661450383	0.00860656999398728	
In	OID_gisby_00331	IL33	O95760	late-early	22	0.46815318181818183	0.8079890909090909	-0.33983590909090905	-3.6933410075829194	21	0.0013492754084758474	0.009354300919742951	
In	OID_gisby_00303	IL-15RA	Q13261	late-early	22	3.298724545454546	3.0879909090909092	0.21073363636363632	3.692599453696967	21	0.0013516535732656099	0.009354300919742951	
CVD3	OID_gisby_00249	IL-18BP	O95998	late-early	22	7.47694590909091	7.681898636363638	-0.2049527272727273	-3.7000406232852825	21	0.0013279762222746516	0.009354300919742951	
In	OID_gisby_00318	TNF	P01375	late-early	22	4.224660454545455	4.59307590909091	-0.3684154545454547	-3.610423516860559	21	0.0016425082891151632	0.011152187573084445	
CVD3	OID_gisby_00187	CSTB	P04080	late-early	22	8.881080909090908	8.580057272727274	0.30102363636363627	3.6052905906454544	21	0.0016625967712167178	0.011152187573084445	
CVD3	OID_gisby_00244	t-PA	P00750	late-early	22	5.161123181818182	5.805859545454546	-0.6447363636363638	-3.56654407392013	21	0.0018222480309610933	0.012037880931803586	
CM	OID_gisby_00043	PLXNB2	O15031	late-early	22	1.9770081818181817	2.2015731818181816	-0.22456500000000001	-3.5438905436700106	21	0.0019224817517868864	0.01251047826535944	
IR	OID_gisby_00428	IL12RB1	P42701	late-early	22	3.830168181818183	4.175791363636364	-0.34562318181818186	-3.523536693860707	21	0.0020171517371445624	0.012933502314632783	
CVD2	OID_gisby_00142	CEACAM8	P31997	late-early	22	7.397549999999999	7.059159545454546	0.3383904545454545	3.510493413893288	21	0.00208021192756469	0.013144527542292825	
CVD3	OID_gisby_00243	ST2	Q01638	late-early	22	6.9914559090909085	7.635252272727274	-0.6437963636363636	-3.4946406611425678	21	0.0021594661155355244	0.013450388948192695	
CVD2	OID_gisby_00125	FS	P19883	late-early	22	11.337669545454546	12.062356818181819	-0.7246872727272727	-3.4882465138628547	21	0.002192265455461584	0.01346236251522888	
CM	OID_gisby_00073	APOM	O95445	late-early	22	5.327784090909092	5.064819545454544	0.26296454545454545	3.474214989589542	21	0.002265964636742668	0.013721674744719489	
In	OID_gisby_00267	MCP-3	P80098	late-early	22	3.109850909090909	4.086009545454545	-0.9761586363636364	-3.4350346678151364	21	0.0024848631586718017	0.01444533782907874	
IR	OID_gisby_00373	GALNT3	Q14435	late-early	22	2.988543636363636	3.366830454545455	-0.37828681818181825	-3.4381931642931036	21	0.0024664744610212175	0.01444533782907874	
CVD2	OID_gisby_00153	PRSS8	Q16651	late-early	22	9.834893636363637	9.715312727272726	0.11958090909090875	3.4423472747816537	21	0.0024424922240511293	0.01444533782907874	
IR	OID_gisby_00398	HEXIM1	O94992	late-early	22	6.064547272727273	6.565301818181817	-0.5007545454545453	-3.405782189910602	21	0.002661677820302355	0.015244220776509906	
CM	OID_gisby_00022	PCOLCE	Q15113	late-early	22	7.105826818181819	6.752638636363636	0.353188181818182	3.400923796750972	21	0.0026922133022735384	0.015244220776509906	
IR	OID_gisby_00356	CNTNAP2	Q9UHC6	late-early	22	2.6368650000000002	2.4007763636363637	0.23608863636363642	3.358559329180099	21	0.0029734137909511738	0.01662062067762451	
In	OID_gisby_00295	MCP-4	Q99616	late-early	22	14.839879545454549	14.18285681818182	0.6570227272727275	3.3423162700323275	21	0.003088676666917811	0.0170463674275464	
CVD2	OID_gisby_00147	MMP7	P09237	late-early	22	10.329732272727274	9.822998636363637	0.5067336363636362	3.323046107952454	21	0.0032310868974809726	0.017609423591271302	
IR	OID_gisby_00351	PSIP1	O75475	late-early	22	4.017905	4.517524090909091	-0.4996190909090909	-3.295702038400812	21	0.0034442158690397573	0.01810154248494217	
IR	OID_gisby_00361	CLEC4C	Q8WTT0	late-early	22	3.2439586363636366	3.693737272727272	-0.44977863636363646	-3.300561828500062	21	0.0034053605212926996	0.01810154248494217	
In	OID_gisby_00320	CD5	P06127	late-early	22	7.2951322727272725	7.087219090909091	0.20791318181818189	3.295488152319857	21	0.0034459358400233953	0.01810154248494217	
