OlinkID,Assay,001B,007,008,009,011,014,015,016,018,019,Panel
OID20159,ACAN,0.4291,0.1924999999999999,0.1614,0.0279,0.2477,0.0084999999999999,0.1401,0.1266,0.1709,0.8,Cardiometabolic
OID20105,ACE2,0.2658,0.0503,0.1530999999999999,0.0243999999999999,0.0841,0.2414,-0.2554,0.166,-0.1023999999999999,-0.0471,Cardiometabolic
OID20124,ACOX1,0.4514,0.8348,-0.1627999999999999,0.1541,0.4069,1.0325,-0.1493,-1.2019,-1.521,-0.938,Cardiometabolic
OID20314,ACP5,0.3212,-0.0337999999999999,0.1979,-0.0201999999999999,0.1128,0.0481999999999999,-0.2959,0.0324,-0.1087,0.1240999999999999,Cardiometabolic
OID20079,ACTA2,-0.1098,0.0411,-0.1586,-0.071,-0.4806,-0.0847,0.4832000000000001,-0.1594,-0.3004,0.1772,Cardiometabolic
OID20137,ACY1,0.1959999999999999,-0.0304999999999999,0.4365000000000001,0.061,0.3099,0.124,0.0833,0.1774,-0.0011000000000001,0.8149,Cardiometabolic
OID20394,ADA2,0.3334,-0.0879,0.4768,0.0385,0.2049,0.1893,-0.2289999999999999,-0.1775,-0.1210999999999999,0.3015,Cardiometabolic
OID20109,ADAM15,0.2883,0.2052999999999999,0.2318,-0.0456,0.0684,0.2799,0.2146,0.1493999999999999,-0.4747,0.1439,Cardiometabolic
OID20249,ADAMTS13,0.2727,0.0282999999999999,0.0554999999999998,0.1201999999999999,0.2532999999999998,0.0671999999999999,-0.2455999999999999,-0.0496999999999999,0.0854999999999999,0.2215999999999998,Cardiometabolic
OID20089,ADAMTS16,0.0683,-0.1952999999999999,-0.0892,-0.1475999999999999,-0.0928999999999999,0.1716,-0.1651,-0.3797,-0.2938,-0.0592,Cardiometabolic
OID20260,ADGRE5,0.1175999999999999,0.0328,0.3494,-0.0363,0.1119999999999999,-0.1485,-0.2085,-0.3356,-0.1529,-0.2112,Cardiometabolic
OID20189,ADGRG2,-0.0701,0.0579,0.2875,0.2564,0.2734,-0.12,0.1857,0.0578,-0.0848,0.8117,Cardiometabolic
OID20117,ADH4,0.4250999999999999,0.2196,-0.0772999999999999,-0.3839000000000001,0.0980999999999999,0.0428,-0.0852999999999999,-0.0689,-0.1669,0.0890999999999999,Cardiometabolic
OID20139,AGXT,0.0978,0.1464,0.1189,-0.0425999999999999,-0.1577,-0.1396,0.4255,0.0974999999999999,0.1877999999999999,0.4821,Cardiometabolic
OID20199,AHCY,0.2410999999999999,0.7184999999999999,0.5146,0.4528,-0.4266999999999999,1.1128,0.487,-0.7334999999999999,0.3175,0.2467999999999999,Cardiometabolic
OID20122,AK1,-0.8894,1.3338,0.8302,1.2095,-0.1387999999999999,-0.2981,0.1794,-2.3303,0.7856,0.9591,Cardiometabolic
OID20062,AKR1C4,-0.4963,0.4569,-1.336,1.2473999999999998,-0.1208,0.4421,1.2169,0.4742999999999999,0.0443999999999999,-1.1668,Cardiometabolic
OID20273,ALCAM,0.1757,0.2289999999999999,0.1376,-0.0193,0.1822,0.1969999999999999,-0.1338,-0.1262,0.057,0.3350999999999999,Cardiometabolic
OID20333,AMY2A,0.298,0.1274,0.1578,-0.026,0.2019,0.0877999999999999,-0.2892999999999999,-0.1694999999999999,-0.0433999999999999,0.2392,Cardiometabolic
OID20340,AMY2B,0.3603,0.0678,0.0453999999999999,-0.162,0.2805,0.1003,-0.2831,-0.095,0.0897999999999999,0.1412,Cardiometabolic
OID20403,ANG,0.3553,-0.0357,0.345,0.0698,0.2308,-0.0332999999999999,-0.0976,0.0248,-0.0576,0.2523,Cardiometabolic
OID20211,ANGPTL1,-0.0255999999999999,0.1437,0.2172,0.0505999999999999,0.1994,-0.1292,0.0938,0.2107,-0.0016,-0.1633,Cardiometabolic
OID20407,ANGPTL3,0.2687,-0.1184,-0.0093999999999999,0.157,0.1723,0.0400999999999999,-0.0602,0.0721999999999999,-0.0023999999999999,-0.0250999999999999,Cardiometabolic
OID20350,ANPEP,0.1793,-0.3116,0.0983999999999999,-0.0325,0.0465999999999999,-0.0261,-0.0184,-0.0171,-0.0988,0.1837,Cardiometabolic
OID20123,ANXA4,0.4295,0.4326,0.6673000000000001,0.72,0.2458999999999999,0.5198,0.02,-0.4115,0.2871,1.1254000000000002,Cardiometabolic
OID20389,AOC3,0.3722,-0.1302999999999999,0.2911,-0.0363999999999999,0.2091,0.1118,-0.2378,-0.012,-0.0229999999999999,0.0714,Cardiometabolic
OID20164,APLP1,0.476,-0.0464000000000002,0.0537,-0.0128000000000001,0.0370999999999999,-0.2538,-0.2871999999999999,-0.4580999999999999,0.4086000000000001,0.6376,Cardiometabolic
OID20374,APOM,0.4449999999999999,0.0877999999999999,0.2421999999999999,0.1242,0.2376,-0.0259,-0.0847999999999999,-0.1203,0.1445,0.3481,Cardiometabolic
OID20346,ART3,0.2268,-0.0705000000000001,0.2290999999999999,-0.0273,0.1128999999999999,0.0753,-0.0298999999999999,-0.1313,-0.0303999999999999,0.0106999999999999,Cardiometabolic
OID20363,AXL,0.2404,-0.0367,0.2593,0.0681999999999999,0.1023,-0.0233,-0.3329,-0.1795,-0.1533999999999999,0.1515,Cardiometabolic
OID20309,AZU1,0.3609,0.1546999999999998,0.7433,-0.1164,-0.4254999999999999,0.2181000000000001,1.0617,-1.4702,0.3340999999999999,0.2986,Cardiometabolic
OID20114,BAG6,0.0674,0.3748999999999999,0.9374,0.3761,0.1791,1.0173,0.1469,-0.476,0.3515999999999999,0.6725,Cardiometabolic
OID20336,BLMH,0.2502,0.0054999999999999,0.1755999999999999,0.2034,0.0271,0.1832,-0.1893,-0.2063,0.0060999999999999,0.2035,Cardiometabolic
OID20111,BMP6,-0.1138,0.2551,0.1442999999999999,0.4115,0.0979999999999999,0.1649,0.2686,-0.1202,0.2162,0.2177,Cardiometabolic
OID20116,BOC,-0.1911,-0.0146999999999999,-0.1543999999999999,-0.0967,-0.2398,0.0192999999999999,-0.2290999999999999,-0.3619,-0.2363,0.2625,Cardiometabolic
OID20308,BPIFB1,0.2468000000000001,0.1647,0.1534999999999999,0.1414000000000002,0.0293,0.0960999999999999,-0.1150999999999999,-0.1468000000000002,-0.0305,-0.1681000000000001,Cardiometabolic
OID20367,C1QTNF1,0.2829000000000001,-0.2037999999999999,0.1287,0.3003,0.2057999999999999,-0.05,-0.0472,-0.0378,-0.0912,0.1993,Cardiometabolic
OID20410,C2,0.4055,-0.1820999999999999,0.2507999999999999,0.0872999999999999,0.1598,0.2502999999999999,-0.2724,-0.0049,-0.1672,0.2370999999999999,Cardiometabolic
OID20409,CA1,0.0104999999999999,-0.6182000000000001,-0.0682,-0.9014,-2.0587,-0.1629,-1.2704,-4.4142,-0.2274,0.3629999999999999,Cardiometabolic
OID20225,CA13,0.7489999999999997,0.7223999999999999,2.1362,1.9217,0.2330999999999998,2.1143,-0.0650999999999999,0.3201,0.4323999999999999,1.8904,Cardiometabolic
OID20271,CA3,-0.1048,-0.2189,-0.1441,-0.3252999999999999,-0.9508,-0.4197,-0.8248,-0.7614999999999998,-0.4132,0.0402,Cardiometabolic
OID20241,CA4,0.2165,-0.0393999999999999,0.2642,0.0937,0.2455999999999999,0.0176999999999999,0.0545,-0.146,0.0515999999999999,0.2663,Cardiometabolic
OID20075,CA5A,0.5464,0.4197,-0.5529000000000001,-0.2872,-0.0034,0.1274,0.3176000000000001,-0.4107999999999999,-0.0899,0.264,Cardiometabolic
OID20181,CANT1,0.2954,0.0550999999999999,0.3999,-0.0299,0.2403,0.2451,0.1596999999999999,-0.1114999999999999,-0.1761,0.8942,Cardiometabolic
OID20305,CASP3,0.6364999999999998,0.5886999999999998,1.7742000000000002,1.6386,-0.2461999999999999,2.118,-0.3388,-0.5054000000000001,0.2726999999999999,1.0342000000000002,Cardiometabolic
OID20179,CBLIF,0.2319,-0.0991,0.2896,-0.2044000000000001,0.1338999999999999,-0.0358999999999999,-0.0681,-0.2022,-0.2856,0.6633999999999999,Cardiometabolic
