panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6341809090909085	4.393660000000001	-0.7594790909090908	-8.936704750384699	21	0.000000013352214001116636	0.000005821565304486853	
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.956212272727273	12.830683636363638	-1.8744713636363637	-8.13372127797008	21	0.00000006306887256890548	0.000013749014220021394	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.010819545454546	5.839764090909091	-0.8289445454545454	-7.682050200756995	21	0.00000015679613984964647	0.000017090779243611465	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.042618636363636	4.471449545454546	0.5711690909090906	7.787246119347712	21	0.00000012651958569698252	0.000017090779243611465	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.1644027272727273	4.970040454545455	-1.8056377272727275	-7.320513068094355	21	0.0000003315046273044686	0.000024089336250791387	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.751604545454546	6.368084090909092	-0.6164795454545454	-7.334711846607479	21	0.00000032179246889363355	0.000024089336250791387	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.362272727272727	3.9652372727272724	0.39703545454545464	7.1296027741379655	21	0.0000004957474284417174	0.0000308779826857984	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.45887681818182	10.942929545454545	-1.484052727272727	-6.822400438967067	21	0.0000009570107970535702	0.000052157088439419574	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.769024090909092	4.191917727272728	1.5771063636363636	6.71904733108697	21	0.0000011973899602946148	0.000058006891409828005	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.5638204545454548	2.4698100000000003	-0.9059895454545454	-6.611681796595597	21	0.0000015134635145130915	0.00006598700923277079	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.1222222727272735	4.210110454545454	-1.0878881818181818	-6.493762963454148	21	0.000001960881162998973	0.00007772219882432293	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.496724999999999	5.132203636363638	-0.6354786363636363	-6.433703683920325	21	0.0000022389060791994098	0.00008134692087757855	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.594380454545455	4.272717272727272	-0.6783368181818182	-6.306003756411778	21	0.0000029725481778264395	0.00009969469273325597	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.304730454545455	6.078088181818182	1.2266422727272728	5.649091911935053	21	0.000013174083725697727	0.0004102786074574435	
