min_pairs	comparison	n_computed	n_q_lt_05	n_q_lt_10
4	PR2-PR1	2938	2	7
4	PT1-PR1	2938	36	62
4	PT2-PR2	2938	37	277
4	PT2-PT1	2938	7	8
5	PR2-PR1	2938	2	7
5	PT1-PR1	2938	36	62
5	PT2-PR2	2938	37	277
5	PT2-PT1	2938	7	8
6	PR2-PR1	2938	2	7
6	PT1-PR1	2938	36	62
6	PT2-PR2	2938	37	277
6	PT2-PT1	2938	7	8
