panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Oncology	GCNT1	PT1-PR1	-0.25199	0.1607836095052691	10	10	0	0	0
Oncology	GSAP	PT1-PR1	0.28788	0.1607836095052691	10	10	0	0	0
Oncology	KIFBP	PT1-PR1	0.85628	0.1607836095052691	10	10	0	0	0
Oncology	KLK13	PT1-PR1	0.17878	0.1607836095052691	10	10	0	0	0
Oncology	MSRA	PT1-PR1	0.50078	0.1607836095052691	10	10	0	0	0
Oncology	ST3GAL1	PT1-PR1	0.18684	0.1607836095052691	10	10	0	0	1
Oncology_II	KLK15	PT1-PR1	0.36362	0.1607836095052691	10	10	0	0	0
Inflammation	CCL4	PT1-PR1	0.19371	0.16096083670154016	10	10	0	0	0
Cardiometabolic	COL1A1	PT1-PR1	0.11394	0.16167373208005026	10	10	0	0	0
Cardiometabolic	ACAN	PT1-PR1	0.23047	0.16229553232400104	10	10	0	0	0
Inflammation	AXIN1	PT1-PR1	0.64095	0.16229553232400104	10	10	0	0	0
Inflammation	METAP1D	PT1-PR1	0.714662	0.16229553232400104	10	10	0	0	0
Neurology_II	DLG4	PT1-PR1	0.69541	0.16229553232400104	10	10	0	0	0
Neurology_II	PDLIM5	PT1-PR1	1.06939	0.16229553232400104	10	10	0	0	0
Neurology_II	PFDN6	PT1-PR1	-0.687467	0.16229553232400104	10	10	0	0	0
Neurology_II	TMPRSS11D	PT1-PR1	0.17573	0.16229553232400104	10	10	0	0	0
Oncology	CDKN1A	PT1-PR1	0.68458	0.16229553232400104	10	10	0	0	0
Oncology	SMAD5	PT1-PR1	0.23307	0.16229553232400104	10	10	0	0	0
Cardiometabolic_II	ASRGL1	PT1-PR1	0.968044	0.16231944524016573	10	10	0	0	0
Oncology_II	PSCA	PT1-PR1	0.30195	0.1630905694246546	10	10	0	0	0
Cardiometabolic	GPNMB	PT1-PR1	0.27493	0.16726593732319014	10	10	0	0	0
Neurology_II	MAP2	PT1-PR1	0.14738	0.16738291361376967	10	10	0	0	0
Oncology	ANGPTL7	PT1-PR1	-0.17727	0.16738291361376967	10	10	0	0	0
Oncology	CDKN2D	PT1-PR1	1.01731	0.16738291361376967	10	10	0	0	0
Neurology_II	SMTN	PT1-PR1	1.11943	0.17071276139344144	10	10	0	0	0
Neurology_II	PLSCR3	PT1-PR1	0.5799	0.17146746900879323	10	10	0	0	0
Oncology_II	VPS4B	PT1-PR1	0.73471	0.17146746900879323	10	10	0	0	0
Oncology_II	ARF6	PT1-PR1	1.069	0.17300073034918154	10	10	0	0	0
Cardiometabolic	ANXA4	PT1-PR1	0.40361	0.17439144846874433	10	10	0	0	1
Neurology	ALDH1A1	PT1-PR1	-0.39611	0.17467710366353442	10	10	0	0	1
Oncology_II	UNG	PT1-PR1	0.59625	0.17467710366353442	10	10	0	0	0
Inflammation	LTO1	PT1-PR1	-0.51158	0.17686374724798617	10	10	0	0	0
Inflammation	MGLL	PT1-PR1	0.83901	0.17686374724798617	10	10	0	0	0
Oncology	DRG2	PT1-PR1	0.29409	0.17686374724798617	10	10	0	0	0
Inflammation	MZB1	PT1-PR1	0.18856	0.17795102772492177	10	10	0	0	0
