pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
HALLMARK_SPERMATOGENESIS	hallmark	2	30	135	34	2920	4.671577e-02	1.000000e+00	GAD1,SCG3
HALLMARK_IL2_STAT5_SIGNALING	hallmark	3	83	199	34	2920	7.046566e-02	1.000000e+00	AHNAK,FLT3LG,PENK
HALLMARK_HEDGEHOG_SIGNALING	hallmark	1	15	36	34	2920	1.614721e-01	1.000000e+00	SCG2
HALLMARK_TGF_BETA_SIGNALING	hallmark	1	15	54	34	2920	1.614721e-01	1.000000e+00	TGFBR1
HALLMARK_KRAS_SIGNALING_UP	hallmark	2	80	200	34	2920	2.384737e-01	1.000000e+00	PTPRR,SCG3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	hallmark	1	32	113	34	2920	3.139500e-01	1.000000e+00	SHC1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	2	105	200	34	2920	3.473727e-01	1.000000e+00	MMP3,SCG2
HALLMARK_UV_RESPONSE_UP	hallmark	1	54	158	34	2920	4.718114e-01	1.000000e+00	NPTXR
HALLMARK_MYOGENESIS	hallmark	1	68	200	34	2920	5.532528e-01	1.000000e+00	MB
HALLMARK_XENOBIOTIC_METABOLISM	hallmark	1	71	200	34	2920	5.690462e-01	1.000000e+00	GAD1
HALLMARK_APICAL_JUNCTION	hallmark	1	79	200	34	2920	6.085587e-01	1.000000e+00	SHC1
HALLMARK_COAGULATION	hallmark	1	82	138	34	2920	6.224498e-01	1.000000e+00	MMP3
HALLMARK_COMPLEMENT	hallmark	1	102	200	34	2920	7.035627e-01	1.000000e+00	SCG3
HALLMARK_ALLOGRAFT_REJECTION	hallmark	0	108	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEME_METABOLISM	hallmark	0	51	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_ADIPOGENESIS	hallmark	0	58	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	0	58	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_GLYCOLYSIS	hallmark	0	55	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	0	39	97	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_UV_RESPONSE_DN	hallmark	0	39	144	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	0	56	87	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_KRAS_SIGNALING_DN	hallmark	0	57	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_DNA_REPAIR	hallmark	0	33	150	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	hallmark	0	33	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	0	47	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_FATTY_ACID_METABOLISM	hallmark	0	47	158	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_MTORC1_SIGNALING	hallmark	0	47	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_MITOTIC_SPINDLE	hallmark	0	45	199	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_HYPOXIA	hallmark	0	65	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_E2F_TARGETS	hallmark	0	36	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_APOPTOSIS	hallmark	0	72	161	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	hallmark	0	29	105	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_P53_PATHWAY	hallmark	0	62	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_ANDROGEN_RESPONSE	hallmark	0	25	101	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_ANGIOGENESIS	hallmark	0	25	36	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_MYC_TARGETS_V1	hallmark	0	28	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	0	74	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	0	23	74	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_PEROXISOME	hallmark	0	23	104	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_G2M_CHECKPOINT	hallmark	0	31	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_PROTEIN_SECRETION	hallmark	0	31	96	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_INTERFERON_GAMMA_RESPONSE	hallmark	0	80	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_APICAL_SURFACE	hallmark	0	19	44	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_BILE_ACID_METABOLISM	hallmark	0	18	112	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_INFLAMMATORY_RESPONSE	hallmark	0	90	200	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_MYC_TARGETS_V2	hallmark	0	9	58	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_NOTCH_SIGNALING	hallmark	0	5	32	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_PANCREAS_BETA_CELLS	hallmark	0	10	40	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	hallmark	0	21	49	34	2920	1.000000e+00	1.000000e+00	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	hallmark	0	9	42	34	2920	1.000000e+00	1.000000e+00	
