pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_JNK_SIGNALING_PATHWAY	kegg	0	4	13	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_RALGDS_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_RASSF1_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_EREG_EGFR_PI3K_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_FAS_JNK_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_GH_JAK_STAT_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_PTCH_CORECEPTOR	kegg	0	4	9	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HEME_BIOSYNTHESIS	kegg	0	4	9	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_DEGRADATION	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HGF_MET_PI3K_SIGNALING_PATHWAY	kegg	0	4	10	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	kegg	0	4	33	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_HYDROLYSIS_OF_SPHINGOMYELIN	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_IGF_IGF1R_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	16	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_IRE1A_JNK_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
