Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
AAMDC,-0.04430067034127723,-0.13657168089635538,0.15391772160586378,0.061646711050785646
ABCA2,0.3552517733039905,-0.23084822057749377,0.492375157242068,-0.0937248366394165
ABRAXAS2,0.22612008097157416,0.39364258305399324,0.02888029430388533,0.19640279638630426
ACADSB,0.2254705485465044,0.1797619821030731,0.6096677359956808,0.5639591695522493
ACSL1,-0.16073097637065506,0.22112237044442695,-0.17516095230991865,0.20669239450516336
ACTN2,-2.186921449118634,-2.0911926592573526,-0.1447887319656358,-0.049059942104354194
ACY3,-0.026989500541556365,-0.008786893393374925,0.048359416827201934,0.06656202397538347
ADAMTSL2,0.017606991446501595,-0.018465897580914548,0.26557158268957454,0.22949869366215844
ADAMTSL4,-0.049891934391249955,-0.06375936700583992,0.13762046144268034,0.12375302882809067
ADAMTSL5,0.01304124560151635,0.010648057498429163,0.14666547455348114,0.14427228645039405
ADGRF5,0.06332239385101426,0.23243987991265924,0.03907473124305959,0.20819221730470475
ADRA2A,-0.13971214658263778,-0.057458139337407545,-0.018091191733779422,0.06416281551145098
AHNAK,0.16531383499202573,0.1348893656369202,-0.24413601446526387,-0.27456048382036946
AHNAK2,0.07156119847734016,0.04679851170184626,-0.25931136954155054,-0.2840740563170445
AIF1L,0.019351968941485973,-0.11676241321543304,0.060898267877697726,-0.0752161142792212
AMDHD2,-0.009768224054502792,-0.1303278535138658,0.028123426069288034,-0.09243620339007512
ANK2,0.15568406324319783,0.13758777351562138,-0.01134647972014005,-0.02944276944771655
ANP32C,0.210729203190782,-0.05733586696376029,0.1697021142059482,-0.09836295594859419
ANXA2,0.12210845771032022,-0.03763285586229696,0.4124467673683423,0.2527054537957251
APOBR,0.08405700453093201,-0.029844896061120455,0.03137448209134284,-0.0825274185007095
ARL13B,0.5420136033277013,0.0653015091785162,0.8955518171676704,0.4188397230184852
ARL2BP,0.4424836199264776,-0.09318033267500836,0.6548882396871286,0.11922428708564278
ARNTL,0.1387476562146984,-0.06597484091687486,0.07472698788151994,-0.1299955092500534
ASAH1,0.10925726920022004,0.7095701571751217,-0.2729919372474496,0.32732095072745226
ASPN,-0.016896262426341332,-0.10325748192122457,0.1419668727838002,0.0556056532889169
ASRGL1,0.13278092195731236,-0.08457487108340549,1.030479745650047,0.8131239526093289
ASS1,0.09612598595766111,0.5238405097233647,-0.26158121910828436,0.1661333046574192
ATP1B1,-0.040705461765436685,0.18320356254074802,-0.023500522087109718,0.20040850221907489
ATP1B2,-0.06924421904112754,0.3062441797214172,-0.034068138553188,0.34142026020935656
ATP1B3,0.27164648158574306,0.33251695311406165,0.001259008066125356,0.06212947959444405
ATP2B4,-0.008423115593392698,-0.021948250393535006,-0.13457861291565368,-0.1481037477157961
ATP5F1D,-0.02336942488526444,-0.21261628686947556,0.23537381039698174,0.0461269484127704
ATP6V1G1,0.21573541940803218,-0.16479389329093724,0.449415704369023,0.06888639167005342
ATP6V1G2,0.3353222545949299,-0.12653969897930575,0.5953837734774898,0.13352181990325404
B3GAT3,0.09895217949404661,-0.30751780098051135,0.22184657524443824,-0.18462340523011975
B3GNT7,0.01661043347715959,-0.03324165481973199,0.15345465092440674,0.10360256262751513
BCAT1,0.1562206337939894,-0.004074296029814338,0.10867893918255399,-0.05161599064124983
BDNF,0.08688093188252903,1.5947742040778432,-1.091120750591483,0.4167725216038311
BECN1,0.31201030604326807,-0.2917811341917179,0.45896457627157305,-0.144826863963413
BGLAP,0.028662972122835022,0.20412861906233631,0.15303956832340582,0.32850521526290716
BHMT2,0.35111690763146225,0.11404046155129335,0.28399031418050497,0.046913868100335834
BNIP2,0.05306529512548768,-0.1476877184802031,0.31088020916696885,0.11012719556127798
BOLA2_BOLA2B,0.455982864041535,-0.7035663674393965,0.7484672437592108,-0.41108198772172083
BPIFA2,-0.15940039254367358,-0.48842638077127104,0.17333596575445245,-0.15569002247314467
BPIFB2,-0.06934089320362458,-0.02893778391506063,0.06901100272999765,0.1094141120185619
BRD3,0.34080700668823216,-0.07438581866678305,0.05049370285232565,-0.36469912250268943
BRDT,0.1476746684611499,-0.02921717244004547,0.12102851701625361,-0.05586332388494154
C1GALT1C1,-0.6631136228977168,0.1598355550690974,-0.4117811491158441,0.41116802885097015
CACNA1H,0.18556530160522802,0.035973523672437974,-0.05822577204141824,-0.2078175499742082
CALCOCO2,0.38089421089723585,-0.2565250940993444,0.877785902661652,0.24036659766507174
CALY,0.5180822027877563,0.2955491756034434,0.16933178493255613,-0.05320124225175674
CASQ2,-0.3021089842587594,0.15761826430914833,-0.2857041308740696,0.17402311769383824
CBS,0.18399473419752033,0.07411843206776984,0.051226511184836884,-0.05864979094491342
CBX2,0.2823217113223656,0.08660772695236038,0.05556556154554344,-0.1401484228244618
CCER2,0.18564659158314112,0.1811880766808176,-0.10647115821838683,-0.11092967312071052
CD2,0.10994489293821623,-0.08955618732146177,0.1845696021487937,-0.014931478110884449
CD248,-0.052278538046253036,0.21397049648302874,-0.007969157533448384,0.2582798769958334
CD80,-0.09494843910315687,-0.075223734470062,0.1062669561062969,0.1259916607393919
CDA,-0.14266381853418933,0.17378693167956577,-0.2327947289326779,0.08365602128107724
CEACAM6,0.05459582542969839,0.38776071010219576,0.016964357269663628,0.3501292419421607
CELA2A,0.017885642147641392,0.14654697271252337,-0.10967892424676462,0.018982406318117286
CEP112,0.024645303651212588,0.18630345714091923,-0.29445439313040705,-0.13279623964070056
CEP170,0.35658394536652666,-0.24524200407015773,1.288696701148612,0.6868707517119275
CHGA,0.1581482305743427,-0.034120564038502194,0.23039609705307953,0.03812730244023466
CHMP6,0.04811906614290403,-0.008540803451065844,0.5017083898597215,0.44504852026575176
CILP,0.0752584687966617,-0.13041539998381874,0.27785877632152356,0.07218490754104322
CKB,0.13384786127735626,0.2592511657832172,-0.07083822758953397,0.054565076916326796
CLEC4M,-0.05363864341975028,0.10204110662132188,-0.026390585739742258,0.1292891643013296
