comparison_a	comparison_b	n_common	n_sig05_a	n_sig05_b	sig05_ratio_a_over_b	n_sig10_a	n_sig10_b	sig10_ratio_a_over_b	median_abs_effect_a	median_abs_effect_b	abs_effect_ratio_a_over_b	sign_concordance_rate
PT2-PT1	PR2-PR1	2938	7	2	3.5	8	7	1.1428571428571428	0.08745000000000003	0.11301555555555554	0.7737872859193429	0.5204220558202859
PT2-PR2	PT1-PR1	2938	37	36	1.0277777777777777	277	62	4.467741935483871	0.14787388888888886	0.14127833333333334	1.0466848341139041	0.689925119128659
