Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
A1BG,0.008283297430179803,0.049788849896750885,0.011748019460233886,0.053253571926804986
ABO,0.036075683137263115,-0.4497977709805266,0.5091713781434024,0.023297924025612485
ACE,0.016276947531926406,0.013743259088443588,0.12385242720673419,0.12131873876325135
ACHE,-0.10974382823012192,0.02744034533485413,-0.10049830581042465,0.036685867754551564
ACP1,0.09139940881426707,-0.1384143215704446,0.04920644730830519,-0.18060728307640656
ACRV1,-0.22353693062416277,0.08658436145229556,-0.12385456906886029,0.18626672300759795
ACYP1,0.29364795879247446,-0.4015528491644286,0.5149980031294148,-0.18020280482748827
ADAM12,0.10998443961232716,0.16753337425723533,-0.06519364399640126,-0.007644709351493122
ADAMTS1,-0.26110549145057593,0.25288429769906023,0.07160309538902415,0.5855928845386604
ADAMTS4,0.15451676434492706,0.02702834306744928,0.0225565297232686,-0.10493189155420939
ADD1,0.3609533165246461,-0.34366435186529004,0.31975098839280014,-0.3848666799971361
ADGRD1,-0.07005782267309556,0.16222095971150496,-0.08575796556478738,0.14652081681981327
ADH1B,-0.2055011588068674,0.1928451817029793,-0.21477970516058942,0.1835666353492573
ADIPOQ,-0.061969710594142274,0.28150823769229355,-0.07296817098576339,0.2705097773006723
AFAP1,0.24172217686074113,-0.8627075424585356,1.0569865108722047,-0.04744320844707174
AFM,-0.08561119144554806,0.15147741182887214,-0.09715663130337102,0.13993197197104923
AGT,-0.012120354818847176,0.0706497366057924,0.019851802981736954,0.10262189440637637
AHSG,0.037034465670790315,0.07147008438504643,0.07930196208392105,0.11373758079817742
AKAP12,-0.06743048540101436,0.0998561343957953,-0.07901043148686722,0.08827618830994237
AKR7L,0.32846629112523845,0.008935738088730728,-0.010814273917844442,-0.33034482695435213
ALPI,0.12074412144090388,0.0382201568412697,-0.6348732176016333,-0.7173971822012677
AMOT,0.1255902125187529,-0.008923319925892657,0.13757040528421222,0.003056872839566621
