reference_metric	alt_metric	spearman_r	p_value
acute_burden	acute_burden_top500	0.9878787878787878	9.307459988955517e-08
acute_burden	adapt_burden_top500	0.38181818181818183	0.27625533338543595
acute_burden	acute_burden_winv	0.9515151515151514	2.279854920641689e-05
acute_burden	adapt_burden_winv	0.4545454545454545	0.186904810349332
adapt_burden	acute_burden_top500	0.41818181818181815	0.22911284098281892
adapt_burden	adapt_burden_top500	0.9151515151515152	0.0002044724061488323
adapt_burden	acute_burden_winv	0.5272727272727272	0.11730806555020223
adapt_burden	adapt_burden_winv	0.9878787878787878	9.307459988955517e-08
