subject_id	module	n_genes	pt1_pr1	pt2_pr2	pt2_pt1	pr2_pr1
001B	ecm_remodel	8	-1.1164125	-0.141975	0.9505125000000001	-0.02392500000000001
001B	heat_shock	4	0.53595	0.821075	0.133325	-0.1518
001B	immune	10	-0.45104999999999995	0.74108	0.6305600000000001	-0.5615699999999999
001B	vascular	7	0.3508714285714286	0.31195714285714293	0.49984285714285714	0.538757142857143
007	ecm_remodel	8	-0.08686250000000001	0.23175	0.08835	-0.23026249999999998
007	heat_shock	4	0.1761	-0.10835	-0.17067500000000002	0.113775
007	immune	10	-0.11928000000000001	-0.13136	0.37319	0.38526999999999995
007	vascular	7	0.15307142857142858	-0.18932857142857146	0.45878571428571424	0.8011857142857145
008	ecm_remodel	8	1.2571875	-0.0484	0.162175	1.4677625
008	heat_shock	4	0.95575	-0.247475	-0.36769999999999997	0.8355250000000001
008	immune	10	-0.3446000000000001	0.11545000000000001	0.5143799999999998	0.05433
008	vascular	7	-0.011385714285714294	-0.5185428571428573	-0.5732857142857143	-0.06612857142857143
009	ecm_remodel	8	0.5111375	-0.03720000000000001	-0.05312499999999999	0.49521249999999994
009	heat_shock	4	0.9599499999999999	0.45885	0.724775	1.225875
009	immune	10	0.30056000000000005	0.54109	0.26449	0.023960000000000054
009	vascular	7	0.4267571428571429	0.9546857142857145	0.0482	-0.47972857142857134
011	ecm_remodel	8	-0.01307499999999999	-0.687075	-0.754775	-0.08077499999999999
011	heat_shock	4	-0.130325	0.796175	0.257425	-0.669075
011	immune	10	-0.5363800000000001	0.5546099999999999	-0.006720000000000013	-1.0977099999999997
011	vascular	7	0.9904999999999998	0.2256571428571428	-0.2862571428571429	0.4785857142857143
014	ecm_remodel	8	0.22891250000000002	0.2266125	0.020037499999999993	0.022337500000000003
014	heat_shock	4	1.195325	1.1045	-0.29445000000000005	-0.203625
014	immune	10	0.59396	-0.9388200000000001	-1.44477	0.08800999999999999
014	vascular	7	0.034985714285714294	0.12742857142857142	-0.07292857142857143	-0.16537142857142856
015	ecm_remodel	8	0.056112499999999996	-0.1985875	-0.4133125	-0.1586125
015	heat_shock	4	-0.21897500000000003	-0.35964999999999997	-0.484525	-0.34385
015	immune	10	-0.01846000000000016	-0.00539000000000001	0.058860000000000044	0.04578999999999998
015	vascular	7	-0.2296857142857143	0.7236142857142857	-0.1612571428571429	-1.1145571428571428
016	ecm_remodel	8	-0.35377500000000006	0.1509875	0.22802499999999998	-0.2767375000000001
016	heat_shock	4	-0.9995750000000001	1.0260250000000002	-0.035250000000000004	-2.06085
016	immune	10	-0.48898	-0.45027	-0.08208	-0.12079
016	vascular	7	0.21545714285714285	0.29824285714285714	0.08428571428571428	0.0015000000000000094
018	ecm_remodel	8	-0.26832500000000004	-1.3848249999999998	-0.05017500000000001	1.066325
018	heat_shock	4	0.40269999999999995	2.052625	0.8940250000000001	-0.7559
018	immune	10	0.2092	0.26527	-0.23293000000000003	-0.28900000000000003
018	vascular	7	-0.6153285714285713	-0.312	0.7153142857142857	0.4119857142857143
019	ecm_remodel	8	0.31496250000000003	0.03971250000000001	-0.17820000000000003	0.09705
019	heat_shock	4	0.614275	1.4594	0.44385	-0.401275
019	immune	10	-0.92614	-0.1302	0.25818	-0.5377599999999999
019	vascular	7	-0.03972857142857143	-0.3569857142857143	-0.551	-0.23374285714285717
