feature	PC1_loading	PC2_loading
acute_burden	-0.4072730947002037	-0.21467506707195927
adapt_burden	-0.3494423679241571	-0.09439732184588896
ecm_remodel__pr2_pr1	-0.25879287465528644	-0.2829816130237023
ecm_remodel__pt1_pr1	0.0649745606581449	-0.41364243514755655
ecm_remodel__pt2_pr2	0.3924078902486957	-0.11223243246755996
ecm_remodel__pt2_pt1	0.006361668883999361	0.07165381737116715
heat_shock__pr2_pr1	0.0009759534058406683	-0.33020084521885934
heat_shock__pt1_pr1	-0.12605838847892087	-0.34688811662428254
heat_shock__pt2_pr2	-0.3640048909855885	0.1473123580554253
heat_shock__pt2_pt1	-0.42354555606915145	0.10370323606570683
immune__pr2_pr1	0.15493888778525738	-0.3238000001520702
immune__pt1_pr1	-0.14191085776667495	-0.31192864379697127
immune__pt2_pr2	-0.17693950511873258	0.18870045825546636
immune__pt2_pt1	0.07157738725033182	0.17010104953403193
vascular__pr2_pr1	-0.11292399421789623	0.27023307962847815
vascular__pt1_pr1	0.12894125027006353	0.20310633681710477
vascular__pt2_pr2	0.051140675479008774	0.02594787675876134
vascular__pt2_pt1	-0.2155180181141439	0.18065413653871104
