subject_id	module	n_genes	pt1_pr1	pt2_pr2	pt2_pt1	pr2_pr1
001B	ecm_remodel	8	-1.011025	-0.6805125000000001	0.4910500000000001	0.16053750000000006
001B	heat_shock	4	0.53595	0.821075	0.133325	-0.1518
001B	immune	10	0.14643846153846152	0.5142384615384615	-0.5440538461538462	-0.9118538461538461
001B	vascular	7	0.3722	0.6871857142857143	0.27545714285714284	-0.03952857142857142
007	ecm_remodel	8	0.21567499999999998	-0.37738749999999993	-0.6459999999999999	-0.0529375
007	heat_shock	4	0.1761	-0.10835	-0.17067500000000002	0.113775
007	immune	10	-0.18797692307692307	-0.263123076923077	-0.26827692307692314	-0.19313076923076922
007	vascular	7	0.3552857142857143	0.31524285714285716	-0.05972857142857144	-0.01968571428571429
008	ecm_remodel	8	1.3107124999999997	-0.46311250000000004	0.13045	1.9042750000000002
008	heat_shock	4	0.95575	-0.247475	-0.36769999999999997	0.8355250000000001
008	immune	10	0.35738461538461536	0.5429923076923077	0.037676923076923066	-0.14793076923076925
008	vascular	7	0.5423285714285715	0.6249571428571429	0.11322857142857143	0.030600000000000006
009	ecm_remodel	8	0.98635	0.6436375000000001	0.5540499999999999	0.8967625000000001
009	heat_shock	4	0.9599499999999999	0.45885	0.724775	1.225875
009	immune	10	-0.0048692307692308305	0.41682307692307685	0.5868692307692308	0.16517692307692308
009	vascular	7	0.5650285714285714	0.4305857142857143	0.07207142857142858	0.20651428571428573
011	ecm_remodel	8	-0.6925625	-1.4397499999999999	-0.7848249999999999	-0.03763750000000001
011	heat_shock	4	-0.130325	0.796175	0.257425	-0.669075
011	immune	10	0.42883846153846145	0.5292461538461539	-0.1139923076923077	-0.21440000000000003
011	vascular	7	0.3258142857142857	0.5034714285714286	0.05118571428571429	-0.12647142857142857
014	ecm_remodel	8	0.5901375	-0.566575	-0.32812500000000006	0.8285874999999999
014	heat_shock	4	1.195325	1.1045	-0.29445000000000005	-0.203625
014	immune	10	0.03880769230769233	0.1835076923076923	0.05768461538461538	-0.08701538461538459
014	vascular	7	0.39447142857142864	0.38782857142857136	-0.02208571428571428	-0.015442857142857144
015	ecm_remodel	8	-0.3649	-0.055275000000000005	-0.08611250000000001	-0.39573749999999996
015	heat_shock	4	-0.21897500000000003	-0.35964999999999997	-0.484525	-0.34385
015	immune	10	0.2697846153846154	0.20779999999999996	-0.09897692307692306	-0.03699230769230767
015	vascular	7	0.07091428571428572	0.31247142857142857	0.2059	-0.035657142857142866
016	ecm_remodel	8	-0.59415	0.5273375	0.15568749999999998	-0.9658
016	heat_shock	4	-0.9995750000000001	1.0260250000000002	-0.035250000000000004	-2.06085
016	immune	10	-0.5956923076923077	0.23696153846153845	0.16956153846153846	-0.6630923076923078
016	vascular	7	0.4997285714285714	0.5908857142857143	-0.07634285714285714	-0.16749999999999998
018	ecm_remodel	8	0.37327499999999997	-0.18425	-0.39042499999999997	0.16709999999999997
018	heat_shock	4	0.40269999999999995	2.052625	0.8940250000000001	-0.7559
018	immune	10	0.26856153846153846	-0.2949538461538461	0.11947692307692309	0.6829923076923077
018	vascular	7	0.2599857142857143	0.5437285714285714	0.1409	-0.14284285714285713
019	ecm_remodel	8	0.21016250000000003	0.22201249999999997	-0.6981250000000001	-0.709975
019	heat_shock	4	0.614275	1.4594	0.44385	-0.401275
019	immune	10	0.2772076923076923	-0.2654615384615384	-0.29560000000000003	0.24706923076923076
019	vascular	7	0.28515714285714283	0.32167142857142855	-0.002171428571428568	-0.0386857142857143
