metric	phenotype	n	r	p_value	bh_q
adapt_burden	acc_dCVC	8	-0.4953595320569948	0.21195574397931471	0.602998735510724
adapt_burden	d7_dTbody	8	-0.4857974041393236	0.22229327705646795	0.602998735510724
adapt_burden	acc_dLDF	8	-0.48231216582661596	0.2261245258165215	0.602998735510724
adapt_burden	d7_dLDF	8	0.45448375521366624	0.25791661422835643	0.6348716657928773
adapt_burden	d1_dSBP	10	0.37156164986892604	0.2904317003193205	0.6432648966215315
adapt_burden	acc_dTbody	8	0.41896218034890437	0.3015304202913429	0.6432648966215315
adapt_burden	d7_dTcore	8	-0.39349504706729427	0.334819188636782	0.6451990116783566
adapt_burden	d7_dHR	8	0.37882437588436285	0.3547340224468726	0.6451990116783566
adapt_burden	acc_dTskin	8	-0.3729006309261649	0.3629244440690756	0.6451990116783566
adapt_burden	acc_dSBP	8	0.32909151952968285	0.4260571834183463	0.6896606501160485
adapt_burden	d7_dDBP	8	0.3190353843129914	0.44115991736992904	0.6896606501160485
adapt_burden	d1_dMAP	10	0.2688487163553811	0.4525898016386568	0.6896606501160485
adapt_burden	d1_dTcore	10	-0.2309672113317192	0.5208599999806444	0.750135308198163
adapt_burden	d7_dTskin	8	-0.256855135241389	0.5391597527674297	0.750135308198163
adapt_burden	d1_dLSR	10	0.1652943964167913	0.6481368234306757	0.821682260670322
adapt_burden	acc_dMAP	8	0.1762697030334299	0.6762765890110518	0.821682260670322
adapt_burden	d7_dLSR	8	0.15860096415872071	0.7075724234523155	0.821682260670322
adapt_burden	d7_dCVC	8	0.1548285689328074	0.7143024845443094	0.821682260670322
adapt_burden	acc_dHR	8	0.15095415997074585	0.7212313266351131	0.821682260670322
adapt_burden	d1_dDBP	10	0.1183765457529578	0.7446495487324793	0.821682260670322
adapt_burden	acc_dDBP	8	-0.10793711081683242	0.7991843140905988	0.8267879340368582
adapt_burden	d1_dCVC	10	0.08167859076049924	0.8225153093822594	0.8267879340368582
adapt_burden	d1_dLDF	10	0.07968674273454485	0.8267879340368582	0.8267879340368582
adapt_burden	acc_dSSNA	8			
