panel	gene_symbol	n_pt1_pr1	sd_pt1_pr1	n_pt2_pr2	sd_pt2_pr2	mean_sd_acute
Oncology_II	TAB2	10	1.25492	10	1.46353	1.35922
Inflammation	ATP5IF1	10	0.9475	10	1.73981	1.34366
Cardiometabolic_II	FRMD4B	10	0.956595	10	1.72415	1.34037
Oncology	GCG	10	1.34273	10	1.3275	1.33512
Inflammation	YTHDF3	10	1.46445	10	1.19708	1.33076
Neurology	CASP1	10	1.48802	10	1.13365	1.31084
Inflammation_II	PDE5A	10	1.04873	10	1.57059	1.30966
Oncology	CALCOCO1	10	1.13495	10	1.48218	1.30856
Oncology	TBC1D23	10	0.942546	10	1.66692	1.30473
Neurology_II	IGBP1	10	1.46549	10	1.14157	1.30353
Neurology_II	CNTF	10	1.46409	10	1.14094	1.30252
Neurology_II	VAV3	10	1.81082	10	0.791425	1.30112
Oncology	CDKN2D	10	1.03466	10	1.56566	1.30016
Oncology	SRC	10	1.21754	10	1.38057	1.29905
Cardiometabolic_II	EEF1D	10	1.28541	10	1.31027	1.29784
Cardiometabolic_II	NAA10	10	1.01975	10	1.56509	1.29242
Cardiometabolic_II	MTR	10	1.17534	10	1.40903	1.29218
Inflammation_II	PF4	10	0.975014	10	1.60592	1.29047
Oncology	SCAMP3	10	0.962495	10	1.61403	1.28826
Cardiometabolic_II	RILPL2	10	1.06713	10	1.50746	1.2873
Inflammation	ITM2A	10	1.35233	10	1.22138	1.28686
Neurology_II	RRAS	10	1.11958	10	1.44778	1.28368
Oncology	MAVS	10	1.07696	10	1.47172	1.27434
Oncology_II	NFU1	10	0.963679	10	1.5768	1.27024
Cardiometabolic	CCL27	10	1.41942	10	1.12068	1.27005
Inflammation	NFATC1	10	1.00137	10	1.53752	1.26944
Neurology	FHIT	10	1.31115	10	1.22539	1.26827
Neurology_II	GCC1	10	1.06041	10	1.4744	1.2674
Inflammation	AXIN1	10	0.829065	10	1.70389	1.26648
Oncology	DCTN2	10	1.17519	10	1.35447	1.26483
Neurology_II	BLOC1S2	10	1.1455	10	1.38183	1.26367
Inflammation	DBNL	10	1.23235	10	1.29296	1.26265
Inflammation_II	DCTD	10	1.267	10	1.25501	1.26101
Oncology_II	BCL7A	10	1.25373	10	1.26704	1.26038
Cardiometabolic	SNAP23	10	0.947348	10	1.57096	1.25915
Oncology_II	ARF6	10	1.0984	10	1.41528	1.25684
Neurology	APRT	10	1.34201	10	1.17072	1.25637
Oncology	FCGR2B	10	1.31805	10	1.1895	1.25377
Oncology_II	C9orf40	10	1.5098	10	0.994265	1.25203
Neurology	PRTFDC1	10	1.07797	10	1.42593	1.25195
Cardiometabolic_II	NIT1	10	1.35822	10	1.14548	1.25185
Oncology_II	DCDC2C	10	1.64159	10	0.859419	1.2505
Oncology_II	KIAA1549L	10	1.11043	10	1.38232	1.24637
Inflammation	CEP164	10	0.888855	10	1.58988	1.23937
Inflammation	IKBKG	10	0.927249	10	1.54644	1.23685
Oncology_II	SERPINH1	10	0.786824	10	1.68537	1.2361
Cardiometabolic_II	CNP	10	1.16374	10	1.30019	1.23196
Neurology	CA2	10	1.65203	10	0.810163	1.2311
Neurology_II	SMTN	10	1.14404	10	1.31488	1.22946
Neurology_II	ARHGEF5	10	0.986547	10	1.47122	1.22888
Neurology_II	TRIM40	10	1.0171	10	1.43769	1.2274
Inflammation	TIMP3	10	0.95042	10	1.50333	1.22688
Oncology	DNAJB1	10	1.29195	10	1.15671	1.22433
Inflammation_II	OLFM4	10	0.896304	10	1.55048	1.22339
Inflammation_II	VAMP8	10	1.52703	10	0.918302	1.22267
Oncology	CRACR2A	10	1.09386	10	1.34993	1.2219
Oncology_II	GIPC3	10	1.03318	10	1.40493	1.21906
Neurology_II	TOM1L2	10	1.25194	10	1.18501	1.21847
Neurology	PAEP	10	1.2957	10	1.14012	1.21791
Neurology_II	LMOD2	10	1.26645	10	1.16658	1.21651
Cardiometabolic_II	RAB27B	10	1.26667	10	1.16315	1.21491
Oncology	AIFM1	10	0.86915	10	1.5593	1.21423
Cardiometabolic	HSPB1	10	0.834303	10	1.59088	1.21259
Inflammation_II	DAPK2	10	1.48388	10	0.936377	1.21013
Neurology_II	CABP2	10	1.15703	10	1.25545	1.20624
