panel	gene_symbol	n_pt1_pr1	sd_pt1_pr1	n_pt2_pr2	sd_pt2_pr2	mean_sd_acute
Neurology_II	SCIN	10	0.680926	10	1.12925	0.905088
Inflammation	IL33	10	0.827548	10	0.982527	0.905038
Cardiometabolic	ITGB1BP2	10	0.794059	10	1.01535	0.904704
Neurology_II	TFAP2A	10	0.585636	10	1.22341	0.904523
Neurology_II	LDLRAP1	10	0.521662	10	1.28654	0.904102
Inflammation	IL12RB1	10	1.0893	10	0.718767	0.904035
Oncology_II	PTTG1	10	0.747762	10	1.05724	0.902503
Oncology_II	DNAJC9	10	1.16473	10	0.639702	0.902216
Neurology	MMP9	10	0.437642	10	1.36457	0.901105
Neurology_II	AMPD3	10	0.931507	10	0.863975	0.897741
Cardiometabolic	PLPBP	10	1.00523	10	0.788026	0.896628
Neurology_II	ATXN3	10	1.02359	10	0.76639	0.89499
Neurology	CLPP	10	0.708443	10	1.08132	0.894881
Oncology_II	ESPL1	10	1.14193	10	0.647128	0.89453
Oncology	DCTN1	10	0.857566	10	0.930671	0.894118
Neurology	SESTD1	10	0.824824	10	0.963395	0.894109
Neurology	BAX	10	0.746548	10	1.04152	0.894035
Cardiometabolic_II	EIF2S2	10	0.995676	10	0.791668	0.893672
Cardiometabolic	CXCL5	10	0.76686	10	1.02031	0.893587
Inflammation	CXCL3	10	0.822804	10	0.962128	0.892466
Oncology_II	CYTH3	10	0.936085	10	0.847219	0.891652
Oncology_II	MLLT1	10	0.779916	10	1.00044	0.890179
Inflammation	NRTN	10	0.980745	10	0.799508	0.890127
Cardiometabolic_II	RANBP1	10	0.894175	10	0.885852	0.890014
Neurology	STAMBP	10	0.998185	10	0.779724	0.888954
Neurology	ATXN10	10	0.757037	10	1.02065	0.888844
Oncology_II	MYH7B	10	1.19841	10	0.577445	0.887927
Neurology_II	CCDC28A	10	0.90189	10	0.873918	0.887904
Oncology_II	COL9A2	10	0.970007	10	0.805174	0.88759
Oncology_II	ATG16L1	10	0.722981	10	1.05108	0.887031
Oncology	METAP2	10	0.9149	10	0.859033	0.886967
Neurology_II	TAX1BP1	10	0.82446	10	0.948954	0.886707
Inflammation	PAPPA	10	0.73537	10	1.0341	0.884736
Inflammation_II	TLR4	10	0.401727	10	1.36684	0.884283
Inflammation_II	TPD52L2	10	0.748833	10	1.01964	0.884236
Oncology_II	CDC123	10	0.853473	10	0.91288	0.883176
Inflammation_II	FGA	10	0.482418	10	1.2835	0.882959
Inflammation	DNPH1	10	1.14493	10	0.619035	0.881982
Inflammation	PRDX5	10	0.848728	10	0.91518	0.881954
Cardiometabolic_II	IGHMBP2	10	0.685313	10	1.07774	0.881525
Neurology	RWDD1	10	0.890804	10	0.870749	0.880776
Neurology_II	CHP1	10	0.989018	10	0.770777	0.879898
Cardiometabolic_II	DMD	10	0.8239	10	0.935184	0.879542
Inflammation	BACH1	10	0.810169	10	0.948704	0.879437
Neurology_II	ELAVL4	10	0.994819	10	0.762584	0.878702
Cardiometabolic	GRAP2	10	0.776346	10	0.981053	0.878699
Cardiometabolic	WASF1	10	0.857114	10	0.896053	0.876583
Oncology_II	VPS4B	10	0.752802	10	0.9988	0.875801
Neurology	AKT1S1	10	0.848056	10	0.900853	0.874454
Cardiometabolic_II	GASK1A	10	0.750593	10	0.997573	0.874083
Neurology_II	OPHN1	10	0.688975	10	1.05776	0.873366
Oncology	VPS53	10	0.684381	10	1.06185	0.873115
Inflammation_II	NEDD9	10	1.01219	10	0.733981	0.873085
Oncology	RNF41	10	0.684477	10	1.06089	0.872686
Neurology_II	UROS	10	0.928001	10	0.815832	0.871917
Neurology	MAPT	10	0.829152	10	0.914425	0.871789
Neurology_II	TSPAN7	10	0.947548	10	0.795658	0.871603
Cardiometabolic	MPHOSPH8	10	0.846578	10	0.895079	0.870829
Neurology_II	ASPSCR1	10	1.044	10	0.694764	0.86938
Oncology	ACAA1	10	1.07258	10	0.665134	0.868859
Inflammation	PSPN	10	1.12444	10	0.612136	0.868289
Oncology_II	TPPP2	10	1.09778	10	0.638656	0.86822
Neurology_II	ZPR1	10	0.919545	10	0.816662	0.868104
Inflammation	HCLS1	10	0.899192	10	0.836672	0.867932
Oncology_II	RNF4	10	0.742747	10	0.992601	0.867674
Oncology_II	CLASP1	10	1.16869	10	0.564986	0.86684
Inflammation_II	ACYP1	10	1.08144	10	0.652092	0.866768
Oncology	CHAC2	10	0.985245	10	0.746288	0.865767
Oncology	HDGF	10	1.0773	10	0.652821	0.865062
Inflammation_II	YWHAQ	10	0.854864	10	0.87438	0.864622
Cardiometabolic_II	ATP6V1G1	10	0.98285	10	0.744529	0.86369
Inflammation_II	ADD1	10	1.02133	10	0.70411	0.862719
Cardiometabolic_II	PDZD2	10	0.743747	10	0.981678	0.862712
Oncology_II	ZFYVE19	10	0.937526	10	0.787762	0.862644
Neurology_II	SCRIB	10	0.841781	10	0.883455	0.862618
Inflammation	IL17RB	10	0.850066	10	0.871035	0.86055
Oncology_II	NMI	10	0.979379	10	0.73948	0.85943
Inflammation	LAT	10	0.918588	10	0.799056	0.858822
Oncology_II	TMEM106A	10	0.60623	10	1.10638	0.856303
Inflammation	PKLR	10	1.10723	10	0.605226	0.85623
Inflammation_II	RALB	10	0.761095	10	0.946574	0.853835
Neurology_II	CSPG5	10	0.848187	10	0.858859	0.853523
Cardiometabolic	CCL5	10	0.763405	10	0.941829	0.852617
Cardiometabolic_II	TRPV3	10	0.842246	10	0.862798	0.852522
Oncology_II	GUCY2C	10	0.932668	10	0.772274	0.852471
Oncology_II	CEACAM20	10	0.858742	10	0.845974	0.852358
Inflammation	IL7	10	0.61083	10	1.0938	0.852315
Neurology	TNFSF14	10	0.612426	10	1.09159	0.852008
Inflammation_II	BLNK	10	1.09769	10	0.605996	0.851845
Oncology_II	GPIHBP1	10	0.713239	10	0.989879	0.851559
Oncology_II	OGT	10	0.860938	10	0.839319	0.850129
Neurology_II	SH3BGRL2	10	0.904848	10	0.79534	0.850094
Cardiometabolic	COMT	10	0.90153	10	0.793554	0.847542
Neurology	CARHSP1	10	1.2547	10	0.440133	0.847415
Oncology_II	NUBP1	10	0.617773	10	1.07672	0.847249
Neurology_II	PIBF1	10	0.842371	10	0.851213	0.846792
Oncology_II	GJA8	10	0.766208	10	0.926717	0.846463
Neurology_II	GLP1R	10	0.774932	10	0.917803	0.846368
Oncology	CDC37	10	0.776033	10	0.915291	0.845662
Neurology_II	GNGT1	10	0.597973	10	1.09304	0.845504
Inflammation	IL20RA	10	0.660426	10	1.03039	0.845409
Neurology	EPHA10	10	0.859302	10	0.831367	0.845334
Oncology_II	DNM1	10	0.675704	10	1.01332	0.84451
Inflammation	SHMT1	10	0.826925	10	0.861455	0.84419
Neurology	DUSP3	10	0.970566	10	0.716996	0.843781
Oncology	BTC	10	0.838971	10	0.847268	0.843119
Neurology_II	DOCK9	10	0.618569	10	1.06737	0.842972
Cardiometabolic	AKR1C4	10	0.882996	10	0.80119	0.842093
Oncology_II	PITHD1	10	0.420685	10	1.26282	0.841752
Inflammation_II	RBPMS	10	0.452433	10	1.22968	0.841058
Cardiometabolic	AK1	10	1.13336	10	0.548535	0.840947
Neurology_II	BRSK2	10	0.963502	10	0.716531	0.840016
Neurology	CLEC1B	10	0.763443	10	0.91555	0.839496
Oncology_II	SMAD3	10	1.13535	10	0.542411	0.838878
Neurology_II	AIDA	10	0.960028	10	0.713232	0.83663
Neurology	TBCC	10	0.787914	10	0.883804	0.835859
Inflammation	NUDC	10	0.642742	10	1.02859	0.835667
Oncology	ABL1	10	0.716494	10	0.954585	0.835539
Cardiometabolic_II	TWF2	10	0.710243	10	0.960698	0.835471
Neurology	CRIP2	10	0.850577	10	0.816213	0.833395
Cardiometabolic_II	LRCH4	10	0.799211	10	0.867566	0.833389
Neurology_II	SCN2A	10	0.826345	10	0.840368	0.833357
Cardiometabolic_II	ECHS1	10	0.708313	10	0.955832	0.832073
Inflammation_II	AFAP1	10	0.700817	10	0.962761	0.831789
Cardiometabolic_II	ERVV-1	10	0.81101	10	0.850984	0.830997
Oncology	SMAD1	10	0.716803	10	0.943306	0.830055
Neurology_II	PFDN6	10	0.619222	10	1.03977	0.829496
Neurology_II	PRKAG3	10	0.959959	10	0.697764	0.828861
Oncology_II	TADA3	10	0.495266	10	1.16144	0.828352
Cardiometabolic_II	CSDE1	10	0.804115	10	0.85216	0.828137
Inflammation_II	WASL	10	0.68833	10	0.967483	0.827907
Inflammation_II	PRR5	10	0.497548	10	1.15555	0.826547
Neurology_II	EFNB2	10	0.513054	10	1.13824	0.825647
Oncology	CEACAM3	10	0.831801	10	0.819172	0.825486
Oncology_II	TDP1	10	0.653699	10	0.997076	0.825388
Oncology_II	TAGLN3	10	0.990271	10	0.659703	0.824987
Oncology_II	DDX1	10	0.891854	10	0.757418	0.824636
Neurology	TST	10	0.705241	10	0.936462	0.820851
Oncology_II	JMJD1C	10	0.997859	10	0.642308	0.820084
Oncology_II	THTPA	10	0.974568	10	0.665027	0.819798
Inflammation_II	ADAMTS1	10	1.05723	10	0.582096	0.819664
Neurology	SLC27A4	10	0.731391	10	0.904442	0.817917
Neurology_II	IGDCC3	10	0.901106	10	0.734582	0.817844
Oncology_II	AHSA1	10	0.560123	10	1.07458	0.817352
Inflammation_II	SLC9A3R1	10	0.911773	10	0.721563	0.816668
Oncology_II	PDIA5	10	0.772658	10	0.858323	0.815491
Oncology_II	DNAJA1	10	0.879633	10	0.750355	0.814994
Cardiometabolic_II	ENTR1	10	0.819984	10	0.807906	0.813945
Neurology	MESD	10	0.702599	10	0.921809	0.812204
Cardiometabolic_II	TMEM132A	10	0.581295	10	1.0413	0.811298
Neurology_II	GOLGA3	10	0.780044	10	0.839546	0.809795
Neurology_II	RTN4IP1	10	0.736498	10	0.882265	0.809381
Inflammation_II	IL36G	10	0.732243	10	0.886418	0.80933
Neurology_II	HHEX	10	0.691387	10	0.926556	0.808971
Cardiometabolic	CD2AP	10	0.778988	10	0.838554	0.808771
Oncology	PPP1R12A	10	0.735727	10	0.88165	0.808688
Neurology_II	DLG4	10	0.697635	10	0.918567	0.808101
Neurology	IPCEF1	10	0.506035	10	1.10948	0.807757
Oncology_II	USP25	10	0.839057	10	0.776115	0.807586
Neurology	MUC13	10	0.62625	10	0.987972	0.807111
Neurology_II	DNAJA4	10	1.0298	10	0.583532	0.806666
Oncology	BAIAP2	10	0.787351	10	0.825564	0.806457
Cardiometabolic	IL6	10	0.933784	10	0.678979	0.806382
Neurology	PSG1	10	0.796316	10	0.816396	0.806356
Oncology	CIAPIN1	10	0.852327	10	0.758236	0.805282
Cardiometabolic_II	CYP24A1	10	0.962061	10	0.646906	0.804483
Neurology_II	BOLA1	10	0.826013	10	0.782187	0.8041
Inflammation_II	XIAP	10	0.927366	10	0.678864	0.803115
Oncology	CEACAM5	10	0.725452	10	0.880621	0.803036
Oncology	S100A4	10	0.930334	10	0.674442	0.802388
Inflammation	IL3RA	10	0.350768	10	1.25236	0.801566
Cardiometabolic_II	NT5C	10	0.861511	10	0.741023	0.801267
Inflammation	PADI2	10	0.937973	10	0.663692	0.800832
Inflammation	SULT2A1	10	0.779798	10	0.820615	0.800206
Inflammation	F2R	10	0.486822	10	1.11281	0.799815
Oncology_II	PCYT2	10	0.691465	10	0.907665	0.799565
Inflammation	CXCL1	10	0.554478	10	1.0433	0.798891
Neurology	NOS1	10	0.835259	10	0.762302	0.798781
Cardiometabolic_II	MED21	10	0.707502	10	0.889583	0.798542
Neurology_II	KCNC4	10	0.674827	10	0.921504	0.798166
Neurology_II	SCT	10	0.747938	10	0.847644	0.797791
Neurology	ABHD14B	10	0.670449	10	0.923966	0.797208
Inflammation_II	MKI67	10	0.775205	10	0.818533	0.796869
Neurology_II	WASHC3	10	0.739891	10	0.8524	0.796146
Inflammation	PNPT1	10	0.534713	10	1.05709	0.795901
Oncology_II	RAPGEF2	10	0.896815	10	0.692238	0.794526
Neurology	MAP4K5	10	0.716845	10	0.870469	0.793657
Oncology_II	MAP2K1	10	0.847092	10	0.740223	0.793657
Oncology	IKZF2	10	0.452225	10	1.13501	0.793616
Cardiometabolic_II	CTLA4	10	0.734456	10	0.852775	0.793615
Neurology	DCTN6	10	0.530005	10	1.05718	0.79359
Oncology_II	TMED1	10	0.803441	10	0.781157	0.792299
Cardiometabolic	TGM2	10	0.945965	10	0.634937	0.790451
Cardiometabolic	GLRX	10	1.141	10	0.43709	0.789046
Oncology	MED18	10	0.774202	10	0.80292	0.788561
Oncology_II	MAPKAPK2	10	0.669574	10	0.907278	0.788426
Cardiometabolic_II	FABP3	10	0.919904	10	0.653745	0.786825
Neurology_II	SLA2	10	0.70392	10	0.869078	0.786499
Inflammation_II	PTGES2	10	0.60766	10	0.965321	0.78649
Oncology	ITGB1BP1	10	0.810657	10	0.7615	0.786078
Inflammation_II	ANXA1	10	1.19271	10	0.377948	0.785327
Oncology_II	CREB3	10	0.870741	10	0.699756	0.785248
Cardiometabolic_II	BHMT2	10	0.837556	10	0.732455	0.785005
Inflammation_II	DNAJB6	10	0.861068	10	0.708459	0.784763
Oncology	CRH	10	0.604656	10	0.963135	0.783896
Oncology_II	CYB5A	10	0.638092	10	0.929514	0.783803
Neurology	LIF	10	0.976663	10	0.590254	0.783459
Neurology	TCL1A	10	0.742826	10	0.821846	0.782336
Cardiometabolic_II	ENPEP	10	0.749634	10	0.813675	0.781655
Oncology_II	DUT	10	0.639655	10	0.923085	0.78137
Oncology	ATG4A	10	0.988928	10	0.57321	0.781069
Neurology	SERPINB1	10	0.718952	10	0.842729	0.780841
Cardiometabolic_II	FDX1	10	0.795587	10	0.765009	0.780298
Cardiometabolic_II	LRRC59	10	0.7347	10	0.824397	0.779548
Neurology_II	BCAT2	10	0.738562	10	0.818005	0.778283
Oncology	S100A12	10	0.320675	10	1.23556	0.778116
Oncology	GSTA3	10	0.659576	10	0.892924	0.77625
Inflammation_II	APOL1	10	0.42831	10	1.12406	0.776186
Inflammation	IRAK1	10	0.706689	10	0.845605	0.776147
Cardiometabolic	DEFA1_DEFA1B	10	0.615385	10	0.936262	0.775824
Oncology	PFKFB2	10	0.695597	10	0.855912	0.775754
Inflammation_II	PSMG4	10	0.771738	10	0.779105	0.775422
Oncology	OMG	10	0.814326	10	0.73368	0.774003
Neurology_II	DDX53	10	0.77691	10	0.770178	0.773544
Cardiometabolic_II	CBX2	10	0.885323	10	0.66061	0.772966
Inflammation_II	PIKFYVE	10	0.863214	10	0.682654	0.772934
Inflammation	IL10	10	0.685077	10	0.860708	0.772892
Cardiometabolic_II	DLL4	10	0.701273	10	0.840646	0.77096
Neurology	PARK7	10	0.806939	10	0.733984	0.770461
Cardiometabolic_II	PDAP1	10	0.827115	10	0.713561	0.770338
Inflammation_II	FCN1	10	0.670025	10	0.868727	0.769376
Cardiometabolic_II	MYDGF	10	0.960491	10	0.577882	0.769186
Cardiometabolic	NTproBNP	10	0.919199	10	0.616257	0.767728
Oncology_II	OTUD6B	10	0.549625	10	0.983644	0.766634
Oncology	STX6	10	0.750295	10	0.78149	0.765893
Oncology_II	MANEAL	10	0.566977	10	0.964763	0.76587
Oncology	ANKRD54	10	1.05157	10	0.480142	0.765854
Inflammation_II	YY1	10	0.907285	10	0.623306	0.765296
Inflammation_II	RNF168	10	0.778405	10	0.751413	0.764909
Cardiometabolic_II	KRT6C	10	0.749399	10	0.77984	0.764619
Oncology_II	IGLON5	10	0.903569	10	0.625206	0.764388
Cardiometabolic_II	RTKN2	10	0.758249	10	0.770295	0.764272
Oncology_II	LMNB1	10	0.559424	10	0.968218	0.763821
Oncology	SRP14	10	0.595185	10	0.932352	0.763769
Oncology	NAMPT	10	0.873353	10	0.653868	0.763611
Cardiometabolic_II	GP1BB	10	0.566404	10	0.960323	0.763363
Neurology_II	CRYGD	10	0.821307	10	0.705322	0.763315
Cardiometabolic_II	PGD	10	0.843499	10	0.681544	0.762521
Cardiometabolic_II	ARL13B	10	0.628898	10	0.895778	0.762338
Oncology_II	TET2	10	0.783454	10	0.739828	0.761641
Inflammation_II	TREML1	10	0.606656	10	0.914187	0.760422
Inflammation_II	C3	10	0.853896	10	0.665091	0.759493
Oncology_II	CEP152	10	0.5245	10	0.994224	0.759362
Neurology	CCS	10	0.865173	10	0.652463	0.758818
Cardiometabolic_II	GRHPR	10	0.870254	10	0.646585	0.758419
Neurology_II	HNF1A	10	0.594933	10	0.921344	0.758139
Neurology	MAX	10	0.652491	10	0.863495	0.757993
Cardiometabolic_II	TTN	10	0.514545	10	0.998588	0.756566
Oncology	CES3	10	0.508451	10	1.00371	0.756081
Oncology_II	SMC3	10	0.654954	10	0.856657	0.755806
Neurology_II	CAMLG	10	0.690964	10	0.819033	0.754999
Neurology	PTK7	10	1.00565	10	0.503543	0.754595
Neurology	IFNL1	10	0.788437	10	0.719694	0.754065
Neurology_II	RGCC	10	0.824169	10	0.68362	0.753895
Neurology	TIGAR	10	0.854773	10	0.652905	0.753839
Neurology_II	ADGRV1	10	0.709182	10	0.796275	0.752728
Neurology_II	TUBB3	10	0.754328	10	0.75081	0.752569
Cardiometabolic	EIF4EBP1	10	1.04162	10	0.463471	0.752544
Neurology	LBR	10	0.644712	10	0.860363	0.752537
Neurology	ILKAP	10	0.820417	10	0.683699	0.752058
Oncology	STX16	10	0.85896	10	0.643425	0.751192
Oncology_II	YJU2	10	0.740235	10	0.762075	0.751155
Neurology	SIRT5	10	0.735074	10	0.765287	0.750181
Inflammation	EDAR	10	0.68207	10	0.817807	0.749938
Inflammation	ICA1	10	0.699201	10	0.799514	0.749358
Cardiometabolic	TFF3	10	0.64983	10	0.848606	0.749218
Oncology	LYN	10	0.56676	10	0.931395	0.749078
Oncology	ARSB	10	0.418001	10	1.07985	0.748923
Oncology_II	TPRKB	10	0.896422	10	0.601339	0.74888
Neurology_II	REEP4	10	0.706603	10	0.79055	0.748577
Inflammation	SCRN1	10	0.651401	10	0.843394	0.747398
Inflammation	CASP2	10	0.657516	10	0.836991	0.747253
Cardiometabolic	CTF1	10	0.448161	10	1.04506	0.74661
Inflammation_II	SIRT1	10	0.763434	10	0.72955	0.746492
Oncology_II	PSMC3	10	0.709202	10	0.783253	0.746227
Cardiometabolic	STK4	10	0.579842	10	0.910544	0.745193
Inflammation	EPO	10	0.783963	10	0.706291	0.745127
Neurology_II	FKBP14	10	0.594563	10	0.895597	0.74508
Neurology_II	RPGR	10	0.770601	10	0.716735	0.743668
Oncology	COX5B	10	0.434617	10	1.05035	0.742484
Neurology	DNMBP	10	0.782068	10	0.702717	0.742393
Oncology_II	IL9	10	0.842121	10	0.640519	0.74132
Inflammation_II	UBXN1	10	0.822738	10	0.659681	0.741209
Oncology_II	PKN3	10	0.503179	10	0.977342	0.740261
Cardiometabolic	TSHB	10	0.398868	10	1.08103	0.73995
Oncology	MAGED1	10	0.805783	10	0.671343	0.738563
Cardiometabolic_II	BECN1	10	0.810033	10	0.666911	0.738472
Inflammation	KRT19	10	0.547159	10	0.929746	0.738453
Neurology_II	TMCO5A	10	1.01071	10	0.465672	0.738191
Cardiometabolic_II	SNED1	10	0.986617	10	0.488552	0.737584
Neurology_II	FZD8	10	0.638304	10	0.836279	0.737291
Neurology_II	KCNH2	10	0.708329	10	0.76515	0.736739
Inflammation	ENAH	10	0.81099	10	0.661057	0.736023
Inflammation	PRDX3	10	0.52018	10	0.951507	0.735844
Neurology_II	LRP2	10	0.778763	10	0.691822	0.735292
Cardiometabolic_II	LONP1	10	0.894474	10	0.575702	0.735088
Inflammation	ARTN	10	0.579983	10	0.890079	0.735031
Neurology	SSB	10	0.761634	10	0.708277	0.734955
Oncology	CPXM1	10	0.350416	10	1.1185	0.73446
Inflammation_II	PINLYP	10	1.01573	10	0.452692	0.734211
Oncology	SLAMF6	10	0.6769	10	0.790639	0.733769
Cardiometabolic_II	GBP6	10	0.417418	10	1.04658	0.731998
Neurology	PSME2	10	0.92427	10	0.538264	0.731267
Inflammation	CCL3	10	0.760803	10	0.70124	0.731022
Inflammation	LAP3	10	0.677612	10	0.784333	0.730972
Inflammation	CLEC4D	10	0.428287	10	1.03307	0.73068
Inflammation_II	FGL1	10	0.459825	10	0.9994	0.729612
Cardiometabolic_II	SAT1	10	0.816862	10	0.64072	0.728791
Inflammation	TGFA	10	0.385402	10	1.07135	0.728376
Inflammation	MMP1	10	0.529852	10	0.926677	0.728265
Neurology	CXCL8	10	0.495024	10	0.960947	0.727986
Oncology_II	ATF4	10	0.637307	10	0.816624	0.726965
Cardiometabolic_II	POMC	10	0.685312	10	0.76845	0.726881
Cardiometabolic_II	NOS2	10	0.633698	10	0.819928	0.726813
Neurology	TDRKH	10	0.630343	10	0.82123	0.725786
Neurology_II	STXBP1	10	0.505907	10	0.944944	0.725426
Cardiometabolic_II	HSD17B3	10	0.733709	10	0.716569	0.725139
Oncology_II	RAB2B	10	0.628554	10	0.821226	0.72489
Oncology_II	CTAG1A_CTAG1B	10	0.872256	10	0.575371	0.723813
Neurology_II	ARHGEF1	10	0.713805	10	0.732008	0.722907
Neurology_II	MSLNL	10	0.84225	10	0.601572	0.721911
Inflammation	LSP1	10	0.567085	10	0.875797	0.721441
Cardiometabolic_II	PKD2	10	0.631939	10	0.810416	0.721177
Neurology_II	INPP5J	10	0.845379	10	0.596005	0.720692
Cardiometabolic_II	L3HYPDH	10	0.764409	10	0.676322	0.720366
Oncology_II	ALMS1	10	0.753237	10	0.687317	0.720277
Neurology	APP	10	0.435503	10	1.00486	0.720183
Oncology_II	EPN1	10	0.662472	10	0.777002	0.719737
Oncology	ARHGAP25	10	0.620224	10	0.818498	0.719361
Oncology_II	SLC34A3	10	0.672779	10	0.765601	0.71919
Oncology	PSMD9	10	0.980128	10	0.455794	0.717961
Neurology	CETN2	10	0.756701	10	0.678163	0.717432
Neurology	TXLNA	10	0.671204	10	0.762627	0.716916
Cardiometabolic_II	HBZ	10	0.933895	10	0.498626	0.71626
Oncology_II	HMMR	10	0.639077	10	0.793053	0.716065
Neurology	PDCD5	10	0.884851	10	0.547038	0.715945
Cardiometabolic_II	COL2A1	10	0.407096	10	1.02462	0.715856
Oncology	APBB1IP	10	0.494108	10	0.937263	0.715686
Neurology_II	CSNK2A1	10	0.725163	10	0.705796	0.715479
Cardiometabolic	CLC	10	0.331535	10	1.09913	0.715335
Inflammation	HPCAL1	10	0.664889	10	0.764856	0.714872
Neurology_II	KLRC1	10	0.666874	10	0.762834	0.714854
Neurology_II	BATF	10	0.652946	10	0.775188	0.714067
Oncology_II	ID4	10	0.808927	10	0.617962	0.713445
Cardiometabolic_II	UBE2L6	10	0.829803	10	0.596204	0.713003
Oncology_II	SMNDC1	10	0.534055	10	0.889107	0.711581
Oncology	ATP6AP2	10	0.876886	10	0.545772	0.711329
Cardiometabolic_II	PDIA4	10	0.792136	10	0.629869	0.711003
Oncology_II	CEACAM19	10	0.642687	10	0.779264	0.710975
Oncology_II	CCDC134	10	0.778288	10	0.643175	0.710731
Neurology_II	CRYM	10	0.7231	10	0.698274	0.710687
Neurology_II	KIRREL1	10	0.697691	10	0.722786	0.710238
Oncology	BIRC2	10	0.759012	10	0.660588	0.7098
Neurology	PEBP1	10	0.890642	10	0.528847	0.709745
Cardiometabolic_II	OXCT1	10	0.684332	10	0.735066	0.709699
Cardiometabolic_II	C1GALT1C1	10	0.957273	10	0.46133	0.709302
Inflammation_II	CASP9	10	0.772896	10	0.645457	0.709177
Neurology	ATP6V1F	10	0.824299	10	0.59388	0.70909
Inflammation_II	RNF31	10	0.939744	10	0.477674	0.708709
Cardiometabolic_II	INPP5D	10	0.627611	10	0.789778	0.708694
Cardiometabolic_II	PYY	10	0.639907	10	0.776756	0.708331
Cardiometabolic	TCL1B	10	0.697463	10	0.718383	0.707923
Inflammation_II	TPSG1	10	0.783201	10	0.63217	0.707686
Cardiometabolic_II	PNMA1	10	0.813207	10	0.60172	0.707464
Cardiometabolic	CDH17	10	0.906023	10	0.507775	0.706899
Cardiometabolic	PPIB	10	0.664087	10	0.749239	0.706663
Oncology	RUVBL1	10	0.511463	10	0.901493	0.706478
Neurology_II	DUSP29	10	0.629644	10	0.782286	0.705965
Cardiometabolic_II	ATP1B1	10	0.650028	10	0.76168	0.705854
Neurology	ENO2	10	0.667701	10	0.743948	0.705825
Neurology_II	CBLN1	10	0.728684	10	0.682848	0.705766
Inflammation_II	C9	10	0.564226	10	0.847163	0.705695
Cardiometabolic_II	CMC1	10	0.589374	10	0.820482	0.704928
Cardiometabolic_II	CALCOCO2	10	0.711441	10	0.698341	0.704891
Oncology	AKR1B1	10	0.737933	10	0.671491	0.704712
Neurology_II	TPBGL	10	0.792525	10	0.614891	0.703708
Oncology_II	BCL7B	10	0.734393	10	0.672913	0.703653
Neurology	GGA1	10	0.711718	10	0.695101	0.70341
Inflammation_II	IL12RB2	10	0.668113	10	0.738633	0.703373
Oncology_II	GPR15L	10	0.663819	10	0.742313	0.703066
Inflammation	IL2RB	10	0.832419	10	0.57352	0.70297
Neurology	IVD	10	0.8149	10	0.590972	0.702936
Oncology	GFAP	10	0.643923	10	0.760926	0.702424
Neurology_II	LYPLA2	10	0.850288	10	0.55346	0.701874
Inflammation_II	STX7	10	0.867681	10	0.533611	0.700646
Neurology_II	RANBP2	10	0.663313	10	0.736697	0.700005
Oncology_II	CEP290	10	0.55075	10	0.849083	0.699916
Cardiometabolic_II	SCRIB	10	0.603367	10	0.792372	0.69787
Oncology_II	PRAME	10	0.716508	10	0.67923	0.697869
Cardiometabolic_II	RAB33A	10	0.695704	10	0.699744	0.697724
Oncology_II	TLR2	10	0.517264	10	0.877325	0.697295
Neurology_II	FRMD7	10	0.75325	10	0.640725	0.696987
Neurology_II	LRTM1	10	0.807186	10	0.585477	0.696331
Neurology	GSTP1	10	0.887147	10	0.503683	0.695415
Cardiometabolic_II	ABCA2	10	0.487546	10	0.903096	0.695321
Oncology_II	AP1G2	10	0.745168	10	0.643753	0.694461
Oncology	HBEGF	10	0.418658	10	0.970041	0.69435
Inflammation	IL2	10	0.563923	10	0.824733	0.694328
Neurology_II	OTUD7B	10	0.501002	10	0.887562	0.694282
Oncology_II	KIR2DL2	10	0.571956	10	0.81658	0.694268
Neurology_II	CASC3	10	0.621642	10	0.766501	0.694072
Cardiometabolic	GLO1	10	0.828387	10	0.559332	0.693859
Cardiometabolic_II	MANSC4	10	0.796829	10	0.588402	0.692616
Oncology_II	GATA3	10	0.745794	10	0.638732	0.692263
Neurology	ATP5PO	10	0.602412	10	0.781813	0.692112
Neurology_II	SCN2B	10	0.794519	10	0.589297	0.691908
Cardiometabolic_II	RIPK4	10	0.425737	10	0.957623	0.69168
Oncology_II	SPRR1B	10	0.658848	10	0.724087	0.691467
Neurology	S100A16	10	0.733462	10	0.649116	0.691289
Cardiometabolic_II	SHD	10	0.75775	10	0.624404	0.691077
Cardiometabolic_II	CRYBB1	10	0.780168	10	0.601632	0.6909
Cardiometabolic_II	TPR	10	0.641296	10	0.7381	0.689698
Inflammation	HSPA1A	10	0.734965	10	0.644302	0.689634
Cardiometabolic_II	SLC4A1	10	0.909356	10	0.468403	0.688879
Cardiometabolic_II	RBM19	10	0.644882	10	0.732463	0.688673
Neurology	PADI4	10	0.882618	10	0.491606	0.687112
Oncology_II	CDC25A	10	0.805921	10	0.568038	0.686979
Neurology	GP6	10	0.615756	10	0.757511	0.686633
Inflammation	TRIM21	10	0.6545	10	0.718115	0.686307
Oncology_II	ERCC1	10	0.792545	10	0.579703	0.686124
Inflammation_II	TP53BP1	10	0.897523	10	0.47444	0.685981
Cardiometabolic_II	ASS1	10	0.471915	10	0.898582	0.685249
Oncology	FOLR3	10	0.18136	10	1.18887	0.685116
Cardiometabolic_II	KRT17	10	0.74523	10	0.624847	0.685039
