panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.928150454545456	12.810564545454543	-1.8824140909090907	-8.165560323823957	21	0.00000005920797585545756	0.000016592636447487763	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.027045	5.8385395454545455	-0.8114945454545454	-7.696510466730848	21	0.00000015222602245401617	0.000016592636447487763	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6617877272727273	4.387602272727272	-0.7258145454545454	-7.764844406464287	21	0.0000001324177194561571	0.000016592636447487763	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.010469090909091	4.4538186363636365	0.5566504545454545	7.704486577614044	21	0.00000014976425122270598	0.000016592636447487763	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.661731818181819	4.177715	1.484016818181818	7.265547116756745	21	0.00000037204163705339965	0.000028759761513746135	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.7744681818181816	6.368167272727273	-0.593699090909091	-7.163149078414595	21	0.0000004617392903583095	0.000028759761513746135	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.360216818181819	3.968147727272728	0.392069090909091	7.1888349481300375	21	0.0000004373298942983439	0.000028759761513746135	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.48989090909091	10.964253181818183	-1.474362272727273	-6.822380639203926	21	0.000000957051752958904	0.00005215932053626027	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.281516818181819	4.966885909090909	-1.6853690909090913	-6.3683178287574345	21	0.000002587928350727964	0.00011389965873650117	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.227553636363635	6.088123636363637	1.13943	6.363055380468798	21	0.000002618340164461941	0.00011389965873650117	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5698250000000002	4.244146363636363	-0.6743213636363637	-6.282152742606869	21	0.0000031348529927477387	0.00011389965873650117	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.460894090909091	5.086434545454545	-0.6255404545454545	-6.284143308044738	21	0.0000031209664763665046	0.00011389965873650117	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.5848613636363638	2.452560454545455	-0.8676990909090907	-5.8164626546533755	21	0.00000897325424586981	0.00030094914239994135	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.1504018181818183	4.170591818181818	-1.0201899999999997	-5.75050559520146	21	0.00001043550133594806	0.00032499132731952533	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.906593636363637	4.53336	0.3732336363636364	5.3079754612899315	21	0.00002907144841479692	0.0008450101005900971	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.457500454545455	9.890238636363636	0.5672618181818181	5.205171887452546	21	0.000036981587530959814	0.001007748260218655	
CM	OID_gisby_00046	ST6GAL1	P15907	late-early	22	3.76601	4.277446818181819	-0.5114368181818182	-5.1329393201765905	21	0.000043818186991506636	0.001123807619311582	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	6.997753181818182	7.831871818181818	-0.8341186363636364	-5.104610943472698	21	0.00004683771489477628	0.001134513538562359	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.1635240909090907	2.771719545454546	-0.6081954545454544	-5.0488214693330855	21	0.000053415926071442854	0.0011894868942368575	
CM	OID_gisby_00060	NRP1	O14786	late-early	22	1.4146850000000002	1.2254622727272728	0.1892227272727273	5.039806331539504	21	0.00005456361900169071	0.0011894868942368575	
CM	OID_gisby_00027	VCAM1	P19320	late-early	22	5.9358654545454534	6.332463636363636	-0.3965981818181818	-5.008915840993729	21	0.000058689131079647794	0.0012184981500345923	
IR	OID_gisby_00377	LILRB4	Q8NHJ6	late-early	22	6.58407681818182	7.080638636363636	-0.4965618181818183	-4.9854447715410855	21	0.00006203390400805198	0.001229399188523212	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.371207272727273	7.101580909090909	0.26962636363636344	4.946940942822616	21	0.00006794443199709121	0.001287990102205729	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.172205909090909	3.5173022727272722	0.6549036363636364	4.908516636021448	21	0.0000744115184325711	0.0013414026564185378	
CM	OID_gisby_00083	GAS6	Q14393	late-early	22	5.542850454545455	5.7515563636363645	-0.20870590909090916	-4.894540748076315	21	0.0000769152899322556	0.0013414026564185378	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.264789545454546	3.841198636363636	-0.576409090909091	-4.843745652885018	21	0.00008675490763399019	0.0014009311010525823	
