Participant,Exposure,SampleID,AARSD1,ABL1,ACAA1,ACP6,ADAMTS15,ADAMTS8,ADCYAP1R1,ADGRG1,ADM,AGR3,AIF1,AIFM1,AKR1B1,AKT3,ALPP,AMBP,AMIGO2,ANGPT2,ANGPTL7,ANKRD54,APBB1IP,APEX1,AREG,ARG1,ARHGAP1,ARHGAP25,ARSB,ATG4A,ATOX1,ATP6AP2,ATP6V1D,BAIAP2,BAMBI,BGN,BIRC2,BTC,C4BPB,CA11,CA12,CA14,CA9,CALB1,CALCOCO1,CAMKK1,CAPG,CASP8,CBLN4,CCL8,CCN1,CCN4,CCT5,CD1C,CD207,CD27,CD28,CD300E,CD300LF,CD302,CD33,CD38,CD5,CDC27,CDC37,CDHR2,CDKN1A,CDKN2D,CDNF,CEACAM1,CEACAM3,CEACAM5,CEP20,CEP85,CES2,CES3,CFC1,CHAC2,CIAPIN1,CLEC6A,CLMP,CNPY4,CNTN2,COX5B,CPE,CPVL,CPXM1,CRACR2A,CREG1,CRH,CRISP2,CRNN,CTSF,CTSV,CXCL8,DAB2,DCBLD2,DCTN1,DCTN2,DCXR,DDAH1,DDX58,DEFB4A_DEFB4B,DKKL1,DLL1,DNAJB1,DPEP2,DPP6,DPY30,DRG2,DSG3,DSG4,DTX3,EBI3_IL27,EDA2R,EGFL7,ELOA,ENTPD2,EPHA2,EPS8L2,ERBB2,ERBB4,ERBIN,ERP44,F3,FAM3B,FCGR2B,FCRLB,FEN1,FES,FGF21,FGF23,FGFBP1,FGFR2,FLI1,FLT1,FLT3,FLT4,FMR1,FOLR1,FOLR3,FOXO3,FURIN,FUS,FXN,GALNT10,GALNT2,GALNT7,GCG,GCNT1,GFAP,GFER,GFOD2,GFRA1,GFRA2,GH2,GNE,GPA33,GPC1,GRPEL1,GSAP,GSTA3,HAGH,HAO1,HAVCR1,HBEGF,HBQ1,HDGF,HGS,HMBS,HPGDS,HS3ST3B1,HS6ST1,HSPB6,HTRA2,ICOSLG,IDUA,IGF1R,IGSF3,IKZF2,IL12A_IL12B,IL13RA1,IL6,INPP1,INPPL1,IQGAP2,ITGAV,ITGB1BP1,ITGB5,ITGB7,KAZALD1,KDR,KIFBP,KIR2DL3,KIR3DL1,KLK1,KLK10,KLK11,KLK12,KLK13,KLK14,KLK4,KLK6,KLK8,KRT18,L1CAM,LAG3,LAT2,LEFTY2,LGALS7_LGALS7B,LHB,LPCAT2,LRIG1,LRP1,LRRC25,LSM1,LTA4H,LTBP3,LYAR,LYN,LYPD3,LYPD8,MAEA,MAGED1,MANSC1,MAP3K5,MAVS,MDK,MED18,METAP2,MIA,MME,MMP12,MOG,MPI,MSLN,MSRA,MUC16,MZT1,NAMPT,NBL1,NCS1,NDUFS6,NECTIN4,NELL1,NFKBIE,NINJ1,NPTN,NPY,NT5E,NTF4,NUCB2,NUDT2,OGFR,OMG,OPTC,P4HB,PDCD1,PDCD1LG2,PDGFC,PDP1,PFKFB2,PLA2G15,PLXDC1,PODXL,PODXL2,POLR2F,PPM1A,PPME1,PPP1R12A,PPY,PQBP1,PRDX6,PRKRA,PRTG,PSMA1,PSMD9,PSRC1,PVALB,RABEPK,RAD23B,RANGAP1,RARRES1,RASSF2,RBP2,RBP5,RET,RILP,RNF41,RP2,RRM2,RRM2B,RSPO3,RTBDN,RTN4R,RUVBL1,S100A12,S100A4,SCAMP3,SCG2,SCLY,SCP2,SEMA4C,SEPTIN9,SERPINA9,SEZ6L,SEZ6L2,SF3B4,SFTPA1,SFTPA2,SH2B3,SIAE,SIGLEC6,SIGLEC9,SIRT2,SLAMF6,SLAMF8,SLITRK2,SMAD1,SMAD5,SMOC1,SNAP29,SORCS2,SORD,SPARC,SPINK6,SRC,SRP14,ST3GAL1,STAT5B,STX16,STX4,STX6,STXBP3,SUGT1,TACC3,TACSTD2,TAFA5,TBC1D23,TBL1X,TEK,TFPI2,TGFBR2,TJAP1,TMPRSS15,TNF,TNFRSF12A,TNFRSF19,TP53,TPMT,TRIAP1,TXNDC15,UBAC1,USO1,UXS1,VAT1,VEGFC,VMO1,VNN2,VPS37A,VPS53,VTCN1,VWA1,WFDC12,WFDC2,WIF1,XCL1,XPNPEP2,YES1,ZBTB16
001B,PR1,SSNA-001B-PR1,1.4267,1.578,0.3697,0.1455,2.5689,0.36,-0.1441,-0.225,0.4459,0.1576,0.2358,1.4947,0.7532,-0.1766,0.0965,-0.086,-0.0214,0.8464,0.0973,0.4667,-0.7659,-2.0691,-0.1421,-2.126,0.564,0.3961,0.3749,0.789,0.7714,-1.4189,-0.1305,0.0487,0.009,-0.0203,-0.6879,-1.1206,0.0079,-0.3267,0.694,0.6053,-0.5494,0.7608,4.4715,0.0594,-1.7422,-1.0808,-0.4494,-0.0068,0.6398,-0.0956,-0.0017,0.2107,-0.1243,0.5668,-0.4388,-0.527,0.6744,-0.3436,0.2015,0.5683,-0.0398,0.7929,1.2621,-1.914,2.5541,1.7584,0.7088,0.2185,0.1618,-0.5951,0.0279,2.0149,-1.0656,-2.4538,1.6097,1.7046,1.8271,-0.3107,-0.324,0.748,-0.6816,-0.2608,-0.0732,-0.3615,-0.0718,2.2366,-0.3918,0.7507,0.4691,-0.9361,0.2565,0.416,0.412,3.0816,0.1952,2.7721,3.1112,0.3058,-0.8877,-0.4261,-2.4252,-0.0457,0.2289,1.3193,-3.2267,0.3279,0.2844,0.5257,0.7545,0.0464,0.0703,0.3992,0.0705,1.6827,-1.4775,-0.0167,-0.0689,-0.065,-0.1522,0.3217,3.0226,-0.1167,-0.0746,0.6579,0.8438,1.0004,-0.5209,0.1659,-3.6842,-0.6953,-0.1094,0.0789,0.661,-0.0204,-0.1867,-0.0117,-0.2909,0.1407,-4.1906,3.3201,-0.3581,-1.2628,1.6272,0.5389,0.2384,0.337,-0.2146,0.0878,-0.8016,1.328,-1.2673,0.0326,0.0443,-1.5579,-0.0412,-2.0128,0.5842,0.7187,-0.9569,-1.1781,-3.6217,-2.1446,-1.0415,-0.3584,0.0364,2.1176,0.6158,0.5031,-0.3547,0.1445,-0.2671,-0.3025,1.1229,-0.1365,-0.4417,0.1402,-0.0575,2.7421,-0.1742,-0.5746,1.0191,-1.575,1.3215,0.511,-0.0945,-1.3959,-0.3813,-0.9939,0.4382,-0.0807,1.7515,0.372,-0.3159,2.2491,0.8616,0.3443,0.6158,1.8743,0.4711,-0.495,0.6074,0.2349,-0.5091,0.2938,0.2429,2.4911,-0.6353,0.2004,1.3161,0.0154,-0.2159,0.964,-0.8953,-0.3621,-4.592,-0.2388,-0.206,1.3211,0.9042,-0.0105,0.7118,-0.966,0.3665,4.3041,3.1053,-0.308,1.3306,1.3816,-0.1308,-0.4322,1.2381,0.391,-0.764,-0.1527,0.2307,0.1357,0.5459,-1.8065,0.0522,0.1549,1.5592,0.1559,0.4062,0.0813,0.6921,0.0285,0.5835,0.2562,0.6472,0.6903,-0.5458,0.411,0.379,0.1153,0.3292,0.6236,-0.2061,0.1025,0.4394,0.7235,0.0853,0.9979,0.2568,0.4884,-0.4554,-0.3951,1.8409,2.2467,-0.9759,0.0135,0.3975,0.7488,0.5346,0.5256,0.2639,0.3765,,-0.3533,-1.3074,-0.5389,0.5596,-1.5863,-1.4327,-0.4557,1.2764,2.3708,2.2384,0.2679,0.7114,0.6523,-0.0151,-0.0827,-0.3019,1.865,0.5054,1.4435,3.3035,0.2293,-0.012,-0.6211,-0.0142,0.4045,1.6309,0.3119,-0.3199,-0.8774,-1.96,-0.2199,0.2501,0.445,0.3957,0.5248,1.672,-0.4617,-0.7612,0.9167,1.4065,-0.0515,1.5724,2.5807,0.3648,-3.8634,-0.1811,-1.5146,3.7135,-0.7853,0.5105,0.2974,0.4554,2.104,1.9336,0.0271,2.5927,3.1907,,0.2971,3.1897,1.7751,-0.052,-0.3248,-0.3717,2.8856,1.4562,-0.7462,-0.4874,0.3203,-1.9858,0.9089,0.3894,-0.1529,0.5737,2.8833,0.4701,-0.6532,0.0071,-0.2848,-0.4411,2.0449,0.7127,0.1321,-0.6258,0.5467,-0.2482,0.2616,0.3886,-0.7405,4.0282,1.3048
001B,PR2,SSNA-001B-PR2,0.9612,1.0147,,0.3639,3.1561,0.4749,,0.0702,0.416,,,1.9384,,,0.1278,-0.125,-0.0004,1.0702,0.0366,,-1.3036,-2.3676,0.1023,-1.8698,,,0.3586,,-0.0551,,-0.1336,,,,,,0.1783,,1.1487,0.8649,-0.6307,1.7829,3.4204,,-2.2021,-1.8898,-0.489,-0.4789,0.9855,0.1369,,0.4283,0.3381,0.4888,,-0.9734,0.5315,0.0659,-0.1976,0.6214,-0.3058,,-0.1679,-1.8806,1.7651,0.6625,1.0418,0.287,,,,,-0.7128,-2.1353,,,1.2141,,-0.2433,0.7399,-0.5425,-0.4906,-1.0719,-0.1317,-0.1778,,-0.0117,,0.7505,-1.0245,0.4998,0.6811,0.1489,1.6955,0.4403,2.0344,1.5814,1.1234,-0.4602,,-1.8649,0.2117,0.5553,1.0053,-3.1035,0.4055,-0.2933,0.1795,0.9078,0.5445,0.2053,0.2886,0.2209,,-0.8919,,0.1748,0.1679,-0.1367,0.2731,2.1714,0.3135,-0.0237,0.8136,,,,,-3.4917,-0.9031,0.1868,0.0702,,0.4534,,-0.1376,,0.3841,-4.2232,,-0.2842,,0.8285,0.5571,0.2999,0.3834,,0.6739,,,,0.1258,0.4228,,,-2.1798,0.4729,0.7754,,,-4.1922,-0.7706,-0.7415,-0.6431,0.2348,1.697,,0.6989,,0.439,-0.194,-0.3227,0.8065,0.299,-0.5207,0.4068,0.1579,,-0.1106,-0.5654,-1.2568,-2.4857,0.5956,0.103,-0.2355,,-0.6427,-1.0338,0.971,0.0688,1.2147,,,2.7607,1.0299,0.7296,,2.1484,0.9615,-0.577,0.9441,0.5457,0.5275,0.4981,0.3884,1.9526,-0.3911,0.1429,,-0.2463,-0.2641,1.1004,-0.5218,,-5.1199,,,1.1375,1.5156,,,,0.4221,,,-0.5935,,0.8376,0.35,0.1198,0.9985,0.2862,-1.3736,0.5404,-0.1922,5.4975,,,0.2385,0.3739,,0.3455,0.7325,,,,1.3974,0.3314,,0.1334,0.2298,0.4058,0.6306,0.6471,0.3351,0.5532,-0.1429,,,-0.045,0.0527,,0.4092,0.6236,-0.4004,,1.1962,1.3345,-1.5261,,-0.3749,,0.6178,,0.3967,,,,,,,,-0.8419,0.2822,1.4802,1.5597,,0.9192,,,-0.0644,0.6008,-0.3935,,0.1788,0.7509,2.2655,0.1242,0.4001,,0.4221,-0.2222,1.6853,0.6708,0.337,-0.5636,,,,-0.0785,0.2801,0.3993,0.6565,,,1.3011,,0.4916,1.5152,1.677,,-3.5848,-1.5469,-0.8467,2.7049,-0.7526,0.3844,-1.0383,,1.4948,,,,1.9729,,0.9311,2.6165,,0.0172,-0.1271,-0.2792,2.2207,1.2813,,-0.4502,0.254,,,-0.1021,-0.0312,0.8307,1.9108,,-0.7442,-0.0492,0.1224,-0.2165,1.1205,0.2326,,-0.1348,0.3895,-0.1223,0.1945,0.2743,-0.7064,2.9633,
001B,PT1,SSNA-001B-PT1,1.7789,1.8813,-0.7579,0.2025,2.6094,0.5425,-0.1669,-0.2193,0.1788,-0.343,-0.3949,2.5725,1.2435,0.4793,0.1444,-0.003,-0.0192,0.9263,-0.2109,1.0819,-1.2378,-1.4377,-0.1776,-1.899,0.2739,-0.0237,0.6421,1.3668,0.8927,-1.354,-0.3422,0.078,0.2446,-0.2575,-0.3416,-1.7271,0.1982,0.1075,0.3507,0.5011,-0.8176,0.7585,4.8304,0.4213,-1.9059,-1.091,-0.3589,0.06,0.6332,-0.0238,0.1618,0.3515,-0.3819,0.8806,0.25,-0.6206,0.7151,-0.5123,0.1358,0.3711,-0.1684,0.9178,1.8104,-2.0685,2.7313,2.4985,0.583,0.4737,-0.0365,0.6654,-0.2855,2.4105,-1.0508,-2.2286,0.9565,1.3227,2.3428,-0.0289,-0.3515,1.2114,-0.7897,0.5765,-0.0317,-0.0993,0.227,2.8331,-0.2197,0.42,0.5518,-1.0378,0.1725,0.6234,0.4602,3.3976,0.2194,2.8647,1.9146,0.4946,-0.1987,-0.0047,-4.4035,-0.1587,0.6118,1.8137,-3.2031,0.2083,0.5534,0.5928,0.7146,0.2869,0.1606,0.4766,-0.0459,1.3308,-0.9534,0.04,-0.0343,-0.0563,0.018,0.3609,3.6482,0.1941,-0.352,0.5929,1.5583,0.8515,-0.2833,0.479,-3.9896,-0.6662,0.2747,0.2878,0.6959,0.232,0.0103,0.138,0.0863,0.4468,-3.8327,3.6167,0.0932,-1.0403,2.0023,0.7139,0.2662,0.064,-1.5153,0.2237,-0.6678,1.5651,-1.0029,0.1155,0.1435,-2.4369,-0.3952,-2.0763,0.5976,0.6703,-0.4723,-0.8786,-3.4063,-1.8602,-0.7651,-0.069,-0.0351,2.4191,0.7395,0.2623,-0.1544,-0.1692,0.2171,-0.6403,1.4699,0.1217,-0.5791,0.1558,-0.0429,2.899,-0.1468,-0.536,2.5099,-1.6938,1.6365,1.5908,-0.1752,-1.0004,0.2284,-1.0375,0.7332,0.0635,1.9195,0.7951,-0.6202,2.4072,1.2895,0.4994,1.1537,1.8818,0.5127,-0.3841,1.0635,0.4141,-0.3888,0.4756,-0.0041,3.0704,-0.8355,0.6417,1.76,0.228,-0.206,1.0405,-0.5323,0.3955,-4.6882,-0.2608,0.3948,1.9238,1.1752,0.1541,0.3694,-0.854,0.5047,4.8617,3.7859,0.2966,1.459,1.7672,0.1669,-0.6385,1.2244,0.3456,-0.5556,-0.2326,0.8558,0.2545,1.0315,-1.9616,0.2174,0.2396,1.9351,0.2254,0.8529,0.8318,0.9716,-0.9402,-0.5793,0.5481,0.2745,1.0194,-0.9228,0.7315,0.1406,0.3227,0.5725,0.5421,-0.4543,-0.3128,0.5884,0.8904,0.1726,1.168,-0.1354,0.4914,-0.4372,-0.2881,2.1142,2.8127,-1.3037,-0.1499,-0.1804,1.1181,0.4191,0.7787,0.4001,0.3986,,0.3314,-0.495,-0.2584,0.1979,-1.1001,-1.8289,-0.1155,1.2402,2.7428,2.7532,0.6954,0.7716,-0.4211,-0.167,0.1153,-0.3631,1.9881,0.6311,1.7782,3.749,0.2661,0.0362,-0.0421,0.4638,0.177,1.6135,0.7157,-0.122,-0.6663,-0.1426,-0.6029,0.6141,0.7582,0.2888,0.3516,1.6643,0.6919,-0.4906,1.0818,1.1485,0.1439,1.8384,3.3634,0.6469,-3.637,0.463,-1.6466,4.7088,-0.5068,0.541,0.6951,0.3938,2.3804,2.2544,-0.1788,2.9105,3.2095,,-0.0271,3.6693,2.2994,0.0706,-0.0388,-0.2544,3.3753,2.0004,-0.9817,-0.8651,0.3462,-0.3866,0.6557,0.7762,0.155,0.5977,3.4193,0.5828,-0.3354,0.5922,0.071,-0.303,1.496,1.0867,0.3056,-0.6719,0.5091,0.0257,0.4092,0.3593,-0.5489,4.4137,1.5167
001B,PT2,SSNA-001B-PT2,1.6053,1.7946,0.3793,0.4965,3.1348,0.5325,0.1506,0.3152,0.7053,0.4926,0.095,2.0375,1.3646,0.2495,0.3186,0.0012,0.2743,1.5343,0.1925,0.796,-0.8914,-0.7529,0.225,-1.3951,1.0474,1.0685,0.9267,1.0072,0.9445,-0.9063,0.1575,0.3312,0.3968,-0.2954,-0.1301,-1.2627,0.2945,0.3141,1.3792,0.9717,-0.6784,1.649,4.3623,-0.1305,-1.8863,-1.0786,-0.0991,0.093,1.3812,0.3819,-0.0824,0.5348,0.1542,0.9035,0.1691,-0.7287,0.9261,0.0134,0.3856,0.9093,-0.0933,0.7747,1.2698,-1.6268,2.7728,2.0464,1.1967,0.3116,0.141,1.8969,1.3927,2.4541,-0.7835,-2.4286,1.1676,1.2203,2.196,0.0287,0.0217,1.2277,-0.9286,-0.2499,0.2369,0.3511,0.247,2.3342,-0.0121,0.8544,1.0231,-0.9205,-0.0765,0.9948,0.4758,3.1031,0.7948,2.6812,3.3102,1.4033,-0.1367,-0.2917,-2.3006,0.2892,0.7567,1.8647,-2.8936,0.0498,0.349,0.538,1.0965,0.6097,0.6256,0.4163,0.3493,1.8038,-0.0699,-0.6818,0.0526,0.3174,0.1408,0.4657,3.4464,0.1808,0.2785,0.7257,1.1904,0.8661,-0.3924,0.1823,-2.8402,-0.7314,0.5262,0.2514,0.6485,0.5595,0.4069,0.1891,-0.1202,0.5472,-3.7938,3.7422,-0.2664,-0.1592,1.9471,0.8063,0.4706,0.5105,-2.7149,0.5294,-0.149,1.815,-0.7431,0.299,0.685,-2.7069,-0.3816,-2.1222,0.7138,0.7573,-0.7572,0.6539,-3.2687,-0.4376,-0.494,-0.161,0.0825,2.5667,0.7169,0.5701,0.0055,0.8503,1.2087,-0.4662,1.4197,0.4205,-0.5082,0.4867,0.1161,2.796,0.4986,-0.452,-0.3802,-1.5824,1.7048,1.4778,-0.0772,-0.8725,0.1131,-0.8574,1.3515,0.1909,1.5877,0.7613,0.0011,3.0095,1.3233,0.8963,1.7804,2.4253,1.4082,-0.394,0.8786,0.6953,1.3367,0.7158,0.4414,2.2811,-0.243,0.6045,1.832,0.1724,-0.0936,1.2069,-0.2855,0.0909,-4.3956,-0.2291,0.3276,1.6505,1.7911,0.5179,0.6362,-0.3638,0.6881,4.4645,3.5504,0.3706,1.5778,1.4425,0.7386,-0.0324,1.2399,-0.2707,-0.4858,0.4865,0.6735,0.2366,1.1104,-0.8772,0.4274,0.6065,2.0053,0.5302,1.021,-0.1805,0.952,-0.0741,0.7331,0.7368,0.6706,1.0822,-0.0557,0.7637,-1.3981,0.4142,0.6843,0.8203,0.0828,0.8472,0.2853,0.8795,0.3762,1.5671,0.4003,0.8022,-0.1581,0.2983,2.3172,2.3365,-1.8913,-1.0834,-0.0097,1.1042,0.745,1.0858,0.7529,0.4608,,0.0978,-0.6291,-0.2527,0.2967,-0.1636,0.4879,0.9638,1.5744,2.414,2.5559,1.1045,1.141,1.3187,0.2861,-0.4898,-0.3018,2.03,0.8343,1.5218,3.5439,0.1135,0.7031,-0.1827,0.4344,0.3974,1.9813,0.7149,0.1544,-0.5117,-0.5812,-0.3068,0.5936,0.5746,0.4559,0.5265,1.6846,-0.2824,-0.8397,1.4562,0.7888,0.6669,2.1578,2.8859,0.4864,-2.7805,0.1296,-1.251,4.2156,0.1977,0.9263,0.4924,0.1036,2.3221,2.2134,-0.2014,2.5399,3.2093,,0.6202,3.4757,2.0299,0.1297,0.0757,-0.0042,3.0535,1.4005,-0.0333,-0.4961,0.4849,-0.9752,0.1612,0.7964,0.2254,0.5293,2.9548,0.6801,-0.5755,0.6166,0.0903,0.1139,1.6581,0.6365,0.359,-0.3614,0.8199,0.378,0.7574,0.4949,-0.5399,4.154,1.2383
007,PR1,SSNA-007-PR1,1.0876,0.9943,0.5032,-1.1066,2.6917,0.4867,-0.3805,0.3537,0.3744,-0.0703,-0.6734,1.9674,0.3302,-0.0652,-2.2871,-0.2012,0.8145,-0.0289,0.3549,0.4493,-1.409,-2.884,0.0028,-1.8583,-0.613,-0.0264,-0.1271,0.4213,1.0234,-1.6413,1.5142,-0.7497,-0.329,0.4786,0.3603,-1.5103,0.3648,0.1177,0.536,1.1779,-0.1071,1.1375,3.8175,-0.6936,-2.8915,-1.5496,0.5386,0.5957,1.1197,0.1382,-0.1286,0.4536,-0.0405,0.1702,-0.0376,-0.882,0.042,0.0984,0.4279,0.8509,-0.2907,0.2906,0.7336,-1.9229,1.0835,1.9299,1.0548,0.5997,0.1146,0.4293,0.4764,1.8187,-0.7155,-2.9164,0.3683,1.0463,2.0092,0.2705,-0.1542,1.0517,0.1793,-0.9406,0.4044,0.4886,0.4179,2.3975,0.1341,2.0793,-1.0571,-0.1028,-0.459,-0.1059,0.6094,1.5154,0.3465,1.8245,1.1166,0.9319,-0.3455,-0.4279,-3.83,0.9329,0.3876,1.2641,-3.3005,0.7763,-0.3118,0.5417,0.7869,0.8724,0.1037,0.0382,-0.1424,1.3093,-1.0358,-0.2771,0.0484,0.6305,0.1612,0.2875,2.4566,-0.2324,0.086,0.1351,-1.3342,0.0164,-1.0037,-0.4528,-4.199,-0.6406,0.591,0.5647,-0.5899,0.4756,-0.238,0.4882,-0.4827,0.1521,-4.0195,2.1275,-0.4212,-0.524,1.6935,0.3597,0.0986,0.3006,-3.0403,-0.0001,-0.4321,0.9998,0.2525,0.1831,0.2222,-2.3123,0.5019,0.6457,0.7163,0.0181,-1.1036,-0.1975,-3.7102,-0.3818,0.4191,-0.3573,-0.1052,-0.6668,-0.1425,0.3503,-0.2765,0.1477,-0.653,-0.5578,0.7414,0.2752,-1.669,0.2783,-0.1568,0.0658,0.8134,0.0207,-1.0433,-1.3234,0.4042,0.5809,-0.362,-0.4029,-0.2199,0.2958,0.3777,0.1841,1.0106,0.0606,-0.92,2.9251,-0.0241,0.1484,-1.5428,1.6865,-0.1225,-1.8782,0.7178,-0.0475,-0.5371,0.3678,0.1472,3.2503,-1.0001,0.4014,-0.5972,-0.1739,-0.0951,1.3222,-0.413,0.958,-4.8989,-0.5623,0.2548,1.1959,1.0145,-0.4231,0.2243,-0.0264,1.1252,3.3613,2.3097,0.1425,0.8274,1.1154,0.258,0.1551,1.2369,0.2106,-1.2792,-0.4856,0.0991,0.1308,0.622,-0.8854,0.399,0.6289,-0.4781,0.0957,0.104,-0.3875,-0.3968,-0.8711,-1.0769,0.8059,-0.2167,-0.3889,-0.1825,0.7665,1.008,0.3149,0.3514,-0.0038,0.1682,0.5629,-0.1103,0.4059,0.2566,1.0169,0.4213,0.7773,-0.3275,0.1327,2.0366,1.6741,-1.6267,-0.3663,-0.0855,1.1785,0.3384,0.9513,0.4824,0.5384,,0.8962,-1.0877,-1.1184,-0.2989,-0.8601,1.8959,-0.4254,1.8323,1.6836,1.8378,0.034,0.4828,1.1847,-0.1964,0.4363,-0.5285,0.0477,-0.5001,1.4076,2.5614,0.3625,0.4081,1.0899,0.2617,0.1673,-0.8521,0.8903,0.444,-0.688,0.194,0.5089,0.2113,0.0013,0.7846,0.5429,0.7286,-0.2552,0.0566,0.0741,0.6902,0.3852,1.2146,2.4239,0.5632,-3.0357,0.1776,-1.495,3.8386,-0.8251,0.6445,-0.9479,-0.3709,2.2201,0.9029,-0.2719,1.436,2.8026,,0.4378,2.7744,1.8162,0.1887,-0.1273,-0.1361,2.6237,-0.2026,-0.1007,-0.3407,-0.0024,-1.4222,1.0305,0.0556,0.1027,0.2717,1.6989,0.0342,-0.6897,0.0894,-0.1737,0.6242,1.1938,1.1455,0.2239,-0.5812,-0.0909,-0.3084,0.3912,0.5836,-2.0851,3.2099,1.2933
007,PR2,SSNA-007-PR2,1.1275,1.1918,0.1349,-0.8848,2.2904,0.2879,-0.2793,-0.0882,0.6911,0.1473,0.2134,1.4151,1.0638,-1.2673,-2.2439,-0.2762,0.509,0.2479,0.4965,0.3687,-2.1842,-2.8565,0.0754,-1.8794,0.0376,0.8611,-0.289,0.3815,0.8901,-1.3666,1.2207,0.7725,0.2126,1.0525,0.2684,-1.0478,0.0429,0.5131,0.6584,1.3294,-0.0102,0.8928,4.2816,-0.1816,-2.7676,-1.632,0.3832,0.6089,0.9397,0.1939,0.1772,0.2595,0.0858,0.0303,0.3313,-0.8086,-0.0088,0.1155,0.1422,0.5054,-0.0891,0.0391,0.8051,-2.2603,1.6133,1.7262,1.2512,0.4047,-0.0406,1.8364,0.7308,2.2177,-1.3046,-2.8941,0.7237,1.017,2.0036,-0.136,-0.0259,0.7031,0.1405,-0.384,0.4312,0.4198,0.1188,2.9847,-0.1761,0.9,-0.4466,-0.324,-0.4789,-0.1192,0.7668,1.5882,0.3294,2.2936,1.849,0.1777,-0.4123,-0.1503,-4.3342,0.776,0.4035,1.2599,-2.9884,0.4963,0.201,1.0615,0.8285,0.8753,0.0807,0.0013,-0.014,1.2776,-0.9965,0.1314,-0.0602,0.7312,0.0038,0.2445,2.2923,-0.3418,0.0918,-0.1588,0.3152,-0.2525,-0.6651,0.4342,-4.5221,-0.5979,0.6585,0.6129,-0.38,0.2194,0.0856,0.4814,-0.8828,0.2827,-4.1009,1.0625,-0.5911,-0.4682,1.7891,-0.0789,0.1345,0.2728,-1.9251,-0.3786,-1.094,1.3623,0.2778,0.2023,0.0443,-2.3517,-0.8287,-0.1162,0.704,0.2218,-0.4518,-0.7358,-4.3217,-0.5807,0.1884,-0.633,-0.1284,-0.0751,0.1544,0.3207,-0.4247,0.012,-0.4723,-0.7871,0.8271,0.222,-1.596,0.0571,-0.186,-0.3981,0.6506,-0.092,-1.1203,-1.843,0.2427,1.2566,-0.4475,0.2587,-0.2742,0.408,0.4708,0.0106,1.2948,0.3797,-0.355,2.8805,-0.1195,0.4298,-1.82,1.6492,0.725,-2.0025,0.8029,0.2784,-0.2729,0.154,0.43,2.9602,-1.5154,0.377,-0.4716,-0.369,-0.1781,1.2113,-0.6473,0.2831,-5.4345,-0.2854,-0.2452,0.5447,1.2491,-0.6761,0.6932,-0.516,0.9384,3.8117,2.7134,0.1535,0.9562,1.312,0.6707,0.0655,1.3788,-0.0465,-1.4851,-0.7554,0.337,-0.1271,0.6833,-0.5039,0.2766,0.6123,-0.5302,0.2762,0.2011,0.0866,-0.0617,-0.1456,-1.6358,0.6019,-0.0573,-0.2589,0.0555,0.6962,0.7976,0.0214,0.2359,0.0229,0.1309,0.4928,-0.2086,0.4842,-0.1349,0.9819,0.2967,0.615,-0.6045,0.6562,1.737,1.7948,-0.6883,0.2972,0.176,0.2164,0.3194,0.3271,0.1893,0.4027,,1.1366,-0.9044,-0.6531,0.4524,-1.0787,1.6425,-0.4929,1.5646,1.9559,2.248,0.5773,0.4043,0.9837,-0.0222,-0.0813,-0.3818,0.4775,-1.1196,1.8252,2.6717,0.4414,-0.1282,0.9925,-0.0813,-0.1808,-1.2544,0.8435,0.1932,-0.1888,0.4615,0.1337,0.0017,0.0981,0.7072,0.5476,0.4706,-0.5007,0.0172,-0.0358,0.9014,0.1407,1.1083,2.7183,0.1367,-3.6219,-0.2164,-0.0751,3.9027,-1.0458,0.5016,-0.9331,0.199,2.3488,1.2276,-0.0496,1.2068,2.5333,,0.2596,2.858,2.2003,-0.0026,-0.3378,-0.0744,2.8448,-0.3765,-0.0991,-0.7347,0.0731,-0.2132,1.1403,0.0855,0.2065,0.1865,2.3333,0.6242,-0.5265,-0.9916,-0.7316,0.452,0.8921,1.367,0.3525,-0.6707,0.5305,-0.3443,0.4415,0.6565,-2.1844,3.4504,1.6181
