panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
CVD2	OID_gisby_00152	LPL	P06858	late-early	22	10.988834545454546	10.992714545454543	-0.0038800000000000653	-0.08236909953058526	21	0.9351332747306849	0.9638725952306822	
IR	OID_gisby_00349	PPP1R9B	Q96SB3	late-early	22	4.198268636363636	4.213256818181819	-0.014988181818181824	-0.06475045529998655	21	0.9489851218927141	0.974053120147816	
CVD3	OID_gisby_00247	IGFBP-7	Q16270	late-early	22	9.921513181818183	9.930276363636365	-0.008763181818181838	-0.06128412898030575	21	0.9517124522545175	0.974053120147816	
CVD2	OID_gisby_00138	PRELP	P51888	late-early	22	8.795454090909091	8.793730454545454	0.0017236363636363515	0.061544013849617524	21	0.9515079515085412	0.974053120147816	
IR	OID_gisby_00375	TRAF2	Q12933	late-early	22	2.688923636363637	2.6778804545454546	0.011043181818181858	0.05613104609342024	21	0.9557680462791955	0.9759130402288742	
IR	OID_gisby_00370	DCTN1	Q14203	late-early	22	4.924499090909091	4.933538636363635	-0.00903954545454545	-0.0477382374585283	21	0.9623759588139782	0.9803642944927441	
In	OID_gisby_00294	TGF-alpha	P01135	late-early	22	4.438871818181818	4.443157272727273	-0.004285454545454562	-0.04246611650625989	21	0.9665283087198091	0.9804044075645042	
CVD2	OID_gisby_00137	AMBP	P02760	late-early	22	8.341962727272726	8.34062318181818	0.0013395454545457723	0.04197825280239264	21	0.9669126037906808	0.9804044075645042	
CM	OID_gisby_00052	CES1	P23141	late-early	22	2.6115895454545455	2.607807727272727	0.003781818181818199	0.025056605986072587	21	0.9802463899636538	0.9916181578286614	
IR	OID_gisby_00374	FXYD5	Q96DB9	late-early	22	1.546756818181818	1.5493368181818183	-0.0025799999999999964	-0.020129215522158787	21	0.9841303275219486	0.9932426453693741	
CVD2	OID_gisby_00149	ITGB1BP2	Q9UKP3	late-early	22	5.328840454545455	5.326000909090909	0.0028395454545454657	0.008492882650970418	21	0.9933039067714158	0.9994328025474681	
CVD2	OID_gisby_00101	STK4	Q13043	late-early	22	4.970689545454546	4.971557727272728	-0.0008681818181818134	-0.004039339795946751	21	0.9968152086223498	0.9994328025474681	
CM	OID_gisby_00051	FETUB	Q9UGM5	late-early	22	1.6458918181818183	1.6454959090909091	0.000395909090909121	0.0033621482623449515	21	0.997349133593977	0.9994328025474681	
CM	OID_gisby_00011	FCGR3B	O75015	late-early	22	3.954389090909092	3.9543363636363638	0.00005272727272727499	0.000719386814198567	21	0.9994328025474681	0.9994328025474681	
