comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	4	11	0.024011743402324023	3.5940333333333334
PT1-PR1	Cardiometabolic_II	367	0	1	3	0.017731346651891928	1.3103777777777779
PT1-PR1	Inflammation	367	0	13	24	0.001681307660286624	1.5727888888888886
PT1-PR1	Inflammation_II	369	0	1	2	0.031644454780871877	1.1219571428571429
PT1-PR1	Neurology	367	0	10	14	0.0010287713263341658	2.2288333333333337
PT1-PR1	Neurology_II	367	0	3	4	0.0010287713263341658	1.5599888888888889
PT1-PR1	Oncology	366	0	5	11	0.017731346651891928	1.5681555555555553
PT1-PR1	Oncology_II	368	0	2	5	0.011333837481519218	1.9154555555555557
PR2-PR1	Cardiometabolic	367	0	0	0	0.1564456377515234	1.7408875000000001
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.4212264133000157	0.9121777777777778
PR2-PR1	Inflammation	367	0	1	1	0.044682591982338815	1.08595
PR2-PR1	Inflammation_II	369	0	0	0	0.4959656176919179	1.453275
PR2-PR1	Neurology	367	0	0	1	0.087917019147986	1.0312142857142856
PR2-PR1	Neurology_II	367	0	0	0	0.4924242954906624	1.173242857142857
PR2-PR1	Oncology	366	0	1	2	0.044682591982338815	1.2312444444444444
PR2-PR1	Oncology_II	368	0	0	0	0.24734831186248588	1.4549285714285713
PT2-PT1	Cardiometabolic	367	0	2	3	0.01803147453380009	1.321875
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.11077536715913706	0.9506749999999999
PT2-PT1	Inflammation	367	0	1	1	0.01803147453380009	1.3762444444444446
PT2-PT1	Inflammation_II	369	0	0	0	0.609079924394559	2.5808375
PT2-PT1	Neurology	367	0	0	2	0.0710967550677857	0.7668
PT2-PT1	Neurology_II	367	0	0	0	0.17248340624392755	1.8125666666666669
PT2-PT1	Oncology	366	0	0	1	0.0710967550677857	1.220075
PT2-PT1	Oncology_II	368	0	0	0	0.18526888807862946	1.9032777777777778
PT2-PR2	Cardiometabolic	367	0	19	57	0.03511931772599715	4.764175
PT2-PR2	Cardiometabolic_II	367	0	18	75	0.0036094241668438443	1.8910500000000001
PT2-PR2	Inflammation	367	0	26	88	0.03511931772599715	2.0499
PT2-PR2	Inflammation_II	369	0	14	59	0.03951530634666738	1.9382333333333333
PT2-PR2	Neurology	367	0	48	95	0.03511931772599715	2.612788888888889
PT2-PR2	Neurology_II	367	0	11	53	0.03448134292581373	2.156022222222222
PT2-PR2	Oncology	366	0	22	82	0.03448134292581373	2.4576499999999997
PT2-PR2	Oncology_II	368	0	10	54	0.03951530634666738	2.4003333333333337
