module	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	n_genes	contrast	n_boot
module_01	10	0.7205201858721461	0.7183569800910881	0.19750986873447798	0.32424152022089736	1.115051007519741	1.0	1.0	601	PT2-PR2	1000
module_02	10	0.06157129557454236	0.06218994247317801	0.043760559189703466	-0.020519036775901868	0.14622378200027633	0.931	0.931	378	PT2-PR2	1000
module_03	10	0.05189467108478672	0.0555587310813353	0.08562201109995714	-0.13217878460783675	0.1839215062608807	0.762	0.762	297	PT2-PR2	1000
module_04	10	0.035264712547279406	0.03619676718526945	0.06372524829034097	-0.08182353502740758	0.15808723168762515	0.709	0.709	184	PT2-PR2	1000
module_05	10	-0.012401661674593499	-0.010989968508797434	0.03540635947955435	-0.07809254335791249	0.05606010622940312	0.379	0.621	165	PT2-PR2	1000
module_06	10	0.19360623587059173	0.19615008064262937	0.04564130468753538	0.10183463931094955	0.28130384966633765	1.0	1.0	144	PT2-PR2	1000
module_07	10	-0.07862058124334939	-0.07970720417072218	0.04167853115033905	-0.15650449032008026	0.0067109511563084355	0.038	0.962	141	PT2-PR2	1000
module_08	10	-0.07438556780633274	-0.07551152392138749	0.05496426119090171	-0.1862169649799713	0.02468574056682535	0.087	0.913	121	PT2-PR2	1000
module_09	10	0.0010629143276768224	-0.0001320196491798792	0.04454439621831515	-0.08071079200913764	0.09718167316194502	0.481	0.519	117	PT2-PR2	1000
module_10	10	0.10715626312169761	0.11258612008767352	0.09296812796905135	-0.08607325234219088	0.2700027703826032	0.873	0.873	107	PT2-PR2	1000
module_11	10	0.07757483693720875	0.07832654181392128	0.06851093208346658	-0.061485933543699314	0.20189400014723677	0.877	0.877	104	PT2-PR2	1000
module_12	10	-0.07831650551961022	-0.07721176991844214	0.04941178652487963	-0.16772000579040813	0.024500920749374332	0.064	0.936	91	PT2-PR2	1000
module_13	10	0.05470750233678384	0.053013161754784405	0.05266006448409518	-0.04361004758944902	0.1607473365469128	0.831	0.831	82	PT2-PR2	1000
module_14	10	0.050148318287666485	0.05017172210058999	0.07400232071107146	-0.08809270019384849	0.21443893137722855	0.754	0.754	79	PT2-PR2	1000
module_15	10	0.029446149291722956	0.0322193114243931	0.07281492334358818	-0.11651186035920778	0.16350372898688106	0.679	0.679	72	PT2-PR2	1000
module_16	10	-0.046888325925508824	-0.04549453369608524	0.07140349463027108	-0.17383088623358428	0.10025531232536238	0.254	0.746	63	PT2-PR2	1000
module_17	10	0.2834566533078541	0.2844082332036366	0.06662461229988673	0.1611203022091214	0.42232212457332835	1.0	1.0	51	PT2-PR2	1000
module_18	10	-0.15117993089540158	-0.15121092525018606	0.04601307816288376	-0.24117371985412872	-0.062489899291683006	0.001	0.999	46	PT2-PR2	1000
module_19	10	-0.12690845666464784	-0.12734065673089684	0.08839525809776086	-0.3062952894617307	0.045773079773576024	0.078	0.922	42	PT2-PR2	1000
module_20	10	0.11695541253480865	0.11437398354264727	0.06847876230155647	-0.0026321519482573044	0.2661729932008654	0.968	0.968	35	PT2-PR2	1000
