gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
PRDX5	10	0.9802100000000001	0.9836569400000005	0.27230857186829294	0.42537474999999997	1.4919589999999998	1.0	1.0	PT2-PR2	1000
CETN3	10	0.7494799999999999	0.744365759999999	0.22345605385226322	0.319071	1.2212487499999998	1.0	1.0	PT2-PR2	1000
SMOC1	10	0.6239299999999999	0.6219276800000004	0.0920658016151743	0.45573649999999993	0.8170559999999999	1.0	1.0	PT2-PR2	1000
HMCN2	10	-0.19860000000000005	-0.19945461000000025	0.03414448586760482	-0.26750050000000003	-0.13439675000000006	0.0	1.0	PT2-PR2	1000
HPCAL1	10	0.86843	0.8641972100000009	0.22086481347318868	0.44373900000000005	1.3336299999999996	1.0	1.0	PT2-PR2	1000
HS6ST1	10	0.7113100000000001	0.7155242100000002	0.1594181462466825	0.41482824999999995	1.039987	1.0	1.0	PT2-PR2	1000
SLMAP	10	1.2593299999999998	1.246255769999998	0.46535539450983776	0.4364884999999999	2.2697682499999994	1.0	1.0	PT2-PR2	1000
HSPA1A	10	0.7138899999999999	0.7090583499999993	0.18736027113178524	0.3355035	1.0898157499999999	1.0	1.0	PT2-PR2	1000
SLITRK1	10	-0.28329	-0.28232000999999995	0.0857247750452368	-0.4518202499999999	-0.11772075000000001	0.0	1.0	PT2-PR2	1000
SKAP2	10	1.36551	1.369746840000001	0.32294254592881594	0.7435974999999996	1.9772742499999996	1.0	1.0	PT2-PR2	1000
IGFBP7	10	0.32847	0.33265913999999985	0.06767674174806317	0.20935924999999997	0.47193525000000003	1.0	1.0	PT2-PR2	1000
TOMM20	10	0.6715900000000001	0.6693306600000006	0.15544796666507002	0.33504575000000003	0.9458290000000001	1.0	1.0	PT2-PR2	1000
SIGLEC5	10	0.34359999999999996	0.3413897099999998	0.0808839204366424	0.18349924999999997	0.49720975	1.0	1.0	PT2-PR2	1000
CDC42BPB	10	1.33698	1.3317233800000008	0.3773636139382015	0.6207900000000001	2.1289757499999995	1.0	1.0	PT2-PR2	1000
SHMT1	10	0.89696	0.8943699400000006	0.2514951668023092	0.39856749999999996	1.3792105	1.0	1.0	PT2-PR2	1000
IL18	10	0.25458	0.25382776000000024	0.03785042329388044	0.17757075000000003	0.32384050000000003	1.0	1.0	PT2-PR2	1000
CD99	10	0.15118	0.15242084000000025	0.03697633975390204	0.07661775	0.22753400000000001	1.0	1.0	PT2-PR2	1000
CD8A	10	0.2988	0.3000972399999998	0.042139768296164754	0.22193224999999994	0.38908649999999995	1.0	1.0	PT2-PR2	1000
IL1RL1	10	0.17799	0.17976826999999967	0.03656447170818142	0.10725300000000003	0.25061349999999993	1.0	1.0	PT2-PR2	1000
CEP170	10	1.2586400000000002	1.25822379	0.3047257833764485	0.6666625000000002	1.8550415000000002	1.0	1.0	PT2-PR2	1000
HHEX	10	0.8875599999999999	0.8919821200000009	0.2751411022389182	0.34090899999999996	1.4260294999999998	1.0	1.0	PT2-PR2	1000
CMC1	10	0.9445499999999999	0.9392512600000001	0.23682098088133585	0.46500600000000003	1.4457000000000002	1.0	1.0	PT2-PR2	1000
HDGFL2	10	0.71515	0.7174092300000006	0.195954418681253	0.31790925	1.077803	1.0	1.0	PT2-PR2	1000
