gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
UNG	10	0.59625	0.5975653200000006	0.18878081698562332	0.23145200000000002	0.9725965	1.0	1.0	PT1-PR1	1000
SPINK5	10	-0.15252000000000002	-0.1513900899999998	0.030740275529531805	-0.21397625	-0.09475925000000002	0.0	1.0	PT1-PR1	1000
DYNLT3	10	0.4186900000000001	0.4175712900000004	0.13222784746293265	0.16801025	0.6792047499999999	1.0	1.0	PT1-PR1	1000
GZMH	10	0.37160000000000004	0.36790998999999974	0.10073795655556494	0.17231200000000002	0.562685	1.0	1.0	PT1-PR1	1000
ECI2	10	0.53128	0.5387650200000005	0.1310370246053268	0.30529625000000005	0.8164547499999999	1.0	1.0	PT1-PR1	1000
GZMA	10	0.19648	0.19717396999999984	0.045677454385925194	0.10811449999999999	0.28723375	1.0	1.0	PT1-PR1	1000
RGS10	10	0.49826999999999994	0.49514130000000023	0.11669253801223857	0.26868575	0.7178540000000001	1.0	1.0	PT1-PR1	1000
CDKN2D	10	1.0173100000000002	1.0188504799999991	0.3099343159506112	0.45027074999999994	1.6779599999999995	1.0	1.0	PT1-PR1	1000
DAB2	10	0.7625	0.7655994200000011	0.2554642593849219	0.27291574999999996	1.3070582499999996	1.0	1.0	PT1-PR1	1000
NRCAM	10	0.27888999999999997	0.27807038000000006	0.10964194988155505	0.08636775000000001	0.515867	1.0	1.0	PT1-PR1	1000
IRAG2	10	1.0242799999999999	1.029452570000001	0.3170549829267686	0.4500132500000001	1.6989197500000002	1.0	1.0	PT1-PR1	1000
CCL13	10	0.47925000000000006	0.47548021000000007	0.06834479046305823	0.331917	0.5972435	1.0	1.0	PT1-PR1	1000
DOK1	10	1.4334799999999999	1.4352857599999993	0.4100316117767978	0.6895115000000002	2.25409425	1.0	1.0	PT1-PR1	1000
CDHR5	10	0.28309	0.2860369300000001	0.08450933442810081	0.13156150000000003	0.44292874999999987	1.0	1.0	PT1-PR1	1000
DOK2	10	1.14409	1.1442891999999996	0.28235539634652984	0.58292225	1.71333975	1.0	1.0	PT1-PR1	1000
CDC42BPB	10	0.8727599999999999	0.8770755999999993	0.28869535521265577	0.33652224999999986	1.5124447499999998	1.0	1.0	PT1-PR1	1000
HSPB1	10	0.8876299999999999	0.8916243900000008	0.24834912371715534	0.43009525000000004	1.3870602499999996	1.0	1.0	PT1-PR1	1000
CCL4	10	0.19371	0.19590732000000002	0.056528332064050356	0.09065775000000002	0.30449750000000003	1.0	1.0	PT1-PR1	1000
KLK10	10	0.32477000000000006	0.3252563800000005	0.05369445183306425	0.21966999999999998	0.42646575000000003	1.0	1.0	PT1-PR1	1000
DBNL	10	1.1085800000000001	1.1164744199999987	0.36900861672117924	0.40073525000000004	1.9076945	1.0	1.0	PT1-PR1	1000
CDH2	10	0.30648	0.30636395	0.1070072615176887	0.132233	0.540312	1.0	1.0	PT1-PR1	1000
CDH23	10	0.14779000000000006	0.14555077000000002	0.052221511477245366	0.0681727500000001	0.26040975	1.0	1.0	PT1-PR1	1000
ISM2	10	0.21495000000000003	0.21186368000000003	0.06757160877150678	0.08398400000000002	0.346524	1.0	1.0	PT1-PR1	1000
DBH	10	0.19909	0.19742954999999995	0.11118105645482926	0.049305750000000044	0.4415775	1.0	1.0	PT1-PR1	1000
KLK13	10	0.17877999999999994	0.1783826599999998	0.05317264753771977	0.07926799999999992	0.2841505	1.0	1.0	PT1-PR1	1000
KLK15	10	0.36361999999999994	0.36263889000000016	0.10769715154784469	0.15501625	0.5725025	1.0	1.0	PT1-PR1	1000
CCL17	10	0.45187999999999995	0.4496256000000006	0.1258482480632154	0.22405425000000004	0.710813	1.0	1.0	PT1-PR1	1000
THBS4	10	-0.22618999999999997	-0.22466089000000009	0.051167880684288854	-0.32136049999999994	-0.11706250000000007	0.0	1.0	PT1-PR1	1000
IRAK1	10	0.71803	0.7197150499999996	0.21135352852843253	0.30893649999999995	1.14703325	1.0	1.0	PT1-PR1	1000
CTRB1	10	-0.17703999999999998	-0.17666641000000005	0.02987047056582343	-0.23505025	-0.117681	0.0	1.0	PT1-PR1	1000
SF3B4	10	0.53276	0.5345938000000005	0.13605240476670302	0.2884325	0.8102922499999999	1.0	1.0	PT1-PR1	1000
F11R	10	0.43974	0.43919300000000017	0.16116995992175823	0.15503625	0.7945519999999999	1.0	1.0	PT1-PR1	1000
FMR1	10	0.35629000000000005	0.3595350699999997	0.12134343117731992	0.16235575000000002	0.6327034999999998	1.0	1.0	PT1-PR1	1000
FLT1	10	0.22140999999999997	0.22223450999999989	0.06314308244154795	0.09977224999999998	0.35490825	1.0	1.0	PT1-PR1	1000
AIFM1	10	0.72529	0.71783291	0.2591709963564294	0.22703274999999998	1.241637	1.0	1.0	PT1-PR1	1000
RAB11FIP3	10	1.02515	1.0328642699999997	0.3710724092583279	0.3554612500000001	1.8506415	1.0	1.0	PT1-PR1	1000
AHSP	10	-0.95373	-0.9639349999999995	0.43606255457388354	-1.948323	-0.27580725	0.0	1.0	PT1-PR1	1000
MPIG6B	10	0.8502600000000001	0.8542036799999992	0.25054443065929866	0.3909855	1.3752057500000003	1.0	1.0	PT1-PR1	1000
NUCB2	10	0.36043000000000003	0.36313678999999977	0.0934173798157899	0.1912005	0.551774	1.0	1.0	PT1-PR1	1000
FLT3LG	10	-0.25764000000000004	-0.25645487000000033	0.04842064580034867	-0.35778875	-0.16798	0.0	1.0	PT1-PR1	1000
