comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	4	0.061760636222870445	3.452233333333334
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.08093975324951619	1.1214000000000002
PT1-PR1	Inflammation	367	0	4	10	0.011567049559376855	1.4424285714285714
PT1-PR1	Inflammation_II	369	0	0	1	0.09376230120124995	1.1108
PT1-PR1	Neurology	367	0	6	9	0.004607438878520886	1.9347444444444446
PT1-PR1	Neurology_II	367	0	2	3	0.004607438878520886	1.4824333333333333
PT1-PR1	Oncology	366	0	3	5	0.031392502592078965	1.4661222222222223
PT1-PR1	Oncology_II	368	0	0	2	0.06852834298760216	1.7652
PR2-PR1	Cardiometabolic	367	0	0	0	0.2811551804848378	1.6004375
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.2944049104432619	0.91005
PR2-PR1	Inflammation	367	0	0	0	0.22462164266048024	1.238625
PR2-PR1	Inflammation_II	369	0	0	0	0.9030654424471061	1.6902625
PR2-PR1	Neurology	367	0	0	0	0.22462164266048024	1.1485714285714284
PR2-PR1	Neurology_II	367	0	0	0	0.6263043029897455	2.0040285714285715
PR2-PR1	Oncology	366	0	1	1	0.039110824584982495	1.2155000000000002
PR2-PR1	Oncology_II	368	0	0	0	0.2944049104432619	1.7455428571428568
PT2-PT1	Cardiometabolic	367	0	0	0	0.11530002238066601	1.4968750000000002
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.12767340003468985	0.8669625
PT2-PT1	Inflammation	367	0	1	1	0.018959170580251872	0.7851999999999999
PT2-PT1	Inflammation_II	369	0	0	0	0.5360306774650345	3.3451125
PT2-PT1	Neurology	367	0	0	0	0.11530002238066601	1.0178222222222222
PT2-PT1	Neurology_II	367	0	0	0	0.4570097367055701	1.9447124999999998
PT2-PT1	Oncology	366	0	0	0	0.12767340003468985	1.0927444444444443
PT2-PT1	Oncology_II	368	0	0	0	0.39669090500741955	2.037111111111111
PT2-PR2	Cardiometabolic	367	0	2	10	0.04479836954911193	4.089
PT2-PR2	Cardiometabolic_II	367	0	1	5	0.015386431158876057	2.0041571428571427
PT2-PR2	Inflammation	367	0	2	9	0.041450047742345064	2.1998142857142855
PT2-PR2	Inflammation_II	369	0	0	2	0.07444595055896171	1.8992888888888888
PT2-PR2	Neurology	367	0	4	15	0.04479836954911193	2.421333333333333
PT2-PR2	Neurology_II	367	0	2	5	0.02958407661767537	2.0655222222222225
PT2-PR2	Oncology	366	0	4	7	0.041450047742345064	2.1611999999999996
PT2-PR2	Oncology_II	368	0	0	1	0.07444595055896171	2.226622222222222
