pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
HALLMARK_DNA_REPAIR	hallmark	1	33	150	7	2920	7.655343e-02	1.000000e+00	FEN1
HALLMARK_FATTY_ACID_METABOLISM	hallmark	1	47	158	7	2920	1.074794e-01	1.000000e+00	CA6
HALLMARK_UV_RESPONSE_UP	hallmark	1	54	158	7	2920	1.226065e-01	1.000000e+00	FEN1
HALLMARK_MYOGENESIS	hallmark	1	68	200	7	2920	1.522025e-01	1.000000e+00	MAPRE3
HALLMARK_COAGULATION	hallmark	1	82	138	7	2920	1.809387e-01	1.000000e+00	MMP7
HALLMARK_GLYCOLYSIS	hallmark	0	55	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	0	39	97	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_UV_RESPONSE_DN	hallmark	0	39	144	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	0	56	87	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_NOTCH_SIGNALING	hallmark	0	5	32	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	0	23	74	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_PEROXISOME	hallmark	0	23	104	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEME_METABOLISM	hallmark	0	51	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_XENOBIOTIC_METABOLISM	hallmark	0	71	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_IL2_STAT5_SIGNALING	hallmark	0	83	199	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_APICAL_JUNCTION	hallmark	0	79	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEDGEHOG_SIGNALING	hallmark	0	15	36	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_TGF_BETA_SIGNALING	hallmark	0	15	54	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_APOPTOSIS	hallmark	0	72	161	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_INTERFERON_GAMMA_RESPONSE	hallmark	0	80	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_KRAS_SIGNALING_UP	hallmark	0	80	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	0	74	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_KRAS_SIGNALING_DN	hallmark	0	57	200	7	2920	1.000000e+00	1.000000e+00	
HALLMARK_BILE_ACID_METABOLISM	hallmark	0	18	112	7	2920	1.000000e+00	1.000000e+00	
