panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	11.017504090909087	12.84302681818182	-1.825522727272727	-8.176275270381307	21	0.00000005796429713988971	0.00001789561952025842	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.051976818181817	5.874880454545454	-0.8229036363636362	-7.661330075919777	21	0.00000016359285548439573	0.00001789561952025842	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.6936077272727275	4.403613181818181	-0.7100054545454545	-7.659582021086436	21	0.0000001641799955987011	0.00001789561952025842	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.076787272727272	4.505339545454546	0.5714477272727272	7.792096380174554	21	0.00000012527868276102083	0.00001789561952025842	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.77460409090909	6.358976363636365	-0.5843722727272728	-7.269670220753197	21	0.00000036883081655503247	0.00003148745636138983	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.350729545454545	3.944258181818182	0.4064713636363637	7.193202343006269	21	0.00000043331361965215365	0.00003148745636138983	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.471114999999998	10.96274590909091	-1.491630909090909	-6.832868238681953	21	0.0000009356083439104879	0.00005827503399213896	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.691811818181819	4.135306818181817	1.5565050000000005	6.71244294690645	21	0.0000012147166379428143	0.00006620205676788338	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.235662727272728	4.979908181818181	-1.7442454545454544	-6.616594630853603	21	0.0000014972784192490707	0.0000725348211991772	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.6512600000000006	4.308402727272727	-0.6571427272727273	-6.291179861261105	21	0.0000030723815636068963	0.00012585321189801329	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.488283181818182	5.1131354545454535	-0.6248522727272726	-6.276420661733403	21	0.000003175195713023271	0.00012585321189801329	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.1613213636363637	4.2216795454545455	-1.0603581818181818	-6.055454140456285	21	0.000005213978214069215	0.0001894412084445148	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.453702727272727	9.833995909090907	0.619706818181818	6.011488730042997	21	0.000005758761585816785	0.00019314000395508603	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.290724090909092	6.0247281818181815	1.2659959090909092	5.748541324275591	21	0.000010482600451222623	0.00032645812833807596	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6060486363636366	2.4494113636363632	-0.8433627272727271	-5.585825769751352	21	0.000015243895246541683	0.00041539614546826087	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.004164090909091	3.2735345454545453	0.7306295454545455	5.59194281058183	21	0.000015030052620712553	0.00041539614546826087	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.197860909090909	2.8274286363636367	-0.6295677272727273	-5.37936055888007	21	0.000024611037225286125	0.0006168652476426068	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.926352272727272	4.5481595454545465	0.3781927272727273	5.347885584934167	21	0.000026484978446816854	0.0006168652476426068	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.378819090909093	7.089394545454545	0.2894245454545453	5.341512523847254	21	0.00002688174244314112	0.0006168652476426068	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	7.00206590909091	7.878548636363636	-0.8764827272727271	-5.107223114052456	21	0.00004655066281933351	0.0009778992448558014	
