comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	1	4	0.019513250921223	3.2195
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.07012742038004224	0.9419666666666667
PT1-PR1	Inflammation	367	0	5	10	0.01776347365505382	1.2405666666666668
PT1-PR1	Inflammation_II	369	0	0	1	0.07272325612634133	1.201871428571429
PT1-PR1	Neurology	367	0	8	11	0.0009551540331220743	2.0605999999999995
PT1-PR1	Neurology_II	367	0	3	4	0.0029225396528698155	1.2546222222222223
PT1-PR1	Oncology	366	0	1	5	0.04009916318280646	1.2407666666666666
PT1-PR1	Oncology_II	368	0	0	1	0.08230349716042157	1.8010333333333337
PR2-PR1	Cardiometabolic	367	0	0	0	0.1652961418416088	2.4116125
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.39274717383798247	1.0343624999999999
PR2-PR1	Inflammation	367	0	0	0	0.19572178873715904	1.1500000000000001
PR2-PR1	Inflammation_II	369	0	0	0	0.7672269760845853	1.5748875000000002
PR2-PR1	Neurology	367	0	0	1	0.0569404500202233	0.9626625000000001
PR2-PR1	Neurology_II	367	0	0	0	0.5135877958999517	1.8240500000000002
PR2-PR1	Oncology	366	0	0	2	0.0569404500202233	0.9261111111111112
PR2-PR1	Oncology_II	368	0	0	0	0.24186010117999604	1.1800125
PT2-PT1	Cardiometabolic	367	0	0	1	0.06329393417426524	1.2602875
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.12154779862901527	0.9100666666666667
PT2-PT1	Inflammation	367	0	1	1	0.042929129691541945	1.2427111111111115
PT2-PT1	Inflammation_II	369	0	0	0	0.7080333723112465	3.1329874999999996
PT2-PT1	Neurology	367	0	0	2	0.06329393417426524	0.9524444444444443
PT2-PT1	Neurology_II	367	0	0	0	0.12154779862901527	1.861125
PT2-PT1	Oncology	366	0	0	1	0.06329393417426524	1.184475
PT2-PT1	Oncology_II	368	0	0	0	0.26312781236152505	1.9543111111111113
PT2-PR2	Cardiometabolic	367	0	15	51	0.03179317281608931	4.84405
PT2-PR2	Cardiometabolic_II	367	0	12	72	0.010679376254339346	1.8910500000000001
PT2-PR2	Inflammation	367	0	22	81	0.035278883829353326	2.343557142857143
PT2-PR2	Inflammation_II	369	0	6	57	0.010679376254339346	2.910444444444445
PT2-PR2	Neurology	367	0	21	92	0.03179317281608931	2.6321222222222227
PT2-PR2	Neurology_II	367	0	7	63	0.03179317281608931	2.235611111111111
PT2-PR2	Oncology	366	0	10	72	0.03179317281608931	1.9542555555555556
PT2-PR2	Oncology_II	368	0	6	52	0.03179317281608931	2.490122222222222
