perm	module	n	mean_diff	p_value	bh_q
0	1	23	0.021384713958810045	0.737777501597249	0.9784718077408705
0	2	23	-0.06165785607196399	0.4082057983717995	0.9784718077408705
0	3	23	0.007815987318840503	0.9345815187980793	0.9995972771400194
0	4	23	-0.012246126482213503	0.856932073357848	0.9887677769513631
0	5	23	-0.01737192816635162	0.7827774461926964	0.9784718077408705
0	6	23	-7.16925465837517e-05	0.9995972771400194	0.9995972771400194
0	7	23	-0.04429548204158803	0.5390114219345219	0.9784718077408705
0	8	23	0.017590579710144955	0.7659901379836216	0.9784718077408705
0	9	23	-0.12323007383100908	0.4600160704451688	0.9784718077408705
0	10	23	-0.07047781055900612	0.5113875642534544	0.9784718077408705
0	11	23	0.03641987212276206	0.5565039326460954	0.9784718077408705
0	12	23	0.04553530434782608	0.6586494165535695	0.9784718077408705
0	13	23	-0.02548072463768109	0.6544238977439765	0.9784718077408705
0	14	23	0.1673797282608696	0.2775155946167971	0.9784718077408705
0	15	23	0.04174695652173904	0.46629146456593595	0.9784718077408705
1	1	23	0.02918260869565205	0.5973770344413549	0.7996723722633131
1	2	23	0.03430887163561091	0.6397378978106505	0.7996723722633131
1	3	23	0.04169320652173917	0.790053390331311	0.8933412191299344
1	4	23	0.10275853519668746	0.38462920140438106	0.7996723722633131
1	5	23	-0.06317596618357493	0.3299624917875521	0.7996723722633131
1	6	23	-0.03495351449275358	0.5394250977622237	0.7996723722633131
1	7	23	-0.00926040579710158	0.8890455081945272	0.8933412191299344
1	8	23	-0.11467189723320162	0.10129158067781541	0.7596868550836156
1	9	23	-0.05430494167550354	0.3256287993216065	0.7996723722633131
1	10	23	0.04206006211180144	0.6376608030783963	0.7996723722633131
1	11	23	-0.17694071146245055	0.06832635086896266	0.7596868550836156
1	12	23	-0.09871743083003955	0.4224563756998383	0.7996723722633131
1	13	23	-0.09133406832298128	0.21677061068380166	0.7996723722633131
1	14	23	0.004419683794466392	0.8933412191299344	0.8933412191299344
1	15	23	0.10970704347826082	0.4722686123286439	0.7996723722633131
2	1	23	0.060512833099579395	0.2780775870055856	0.9047080786290053
2	2	23	0.05466364548494993	0.5445934679339404	0.9076557798899008
2	3	23	-0.02911246376811605	0.7671417394532454	0.9589271743165567
2	4	23	0.05289260869565227	0.39711998642498925	0.9076557798899008
2	5	23	0.038946820652173766	0.6076210527528181	0.911431579129227
2	6	23	0.048640281329923325	0.3015693595430018	0.9047080786290053
2	7	23	0.20192500000000002	0.08890613117034252	0.6250029773924615
2	8	23	0.00580458498023706	0.9594189459842974	0.9594189459842976
2	9	23	0.13124163561076596	0.07878713204682741	0.6250029773924615
2	10	23	0.03570665217391306	0.5391554275298884	0.9076557798899008
2	11	23	-0.017852724637681106	0.838241691663363	0.9594189459842976
2	12	23	-0.004945115089513848	0.9466571777877089	0.9594189459842976
2	13	23	0.06925640664961646	0.47402232263352984	0.9076557798899008
2	14	23	0.0707101839464884	0.6938632849525896	0.9461772067535313
2	15	23	0.11095881006865005	0.1250005954784923	0.6250029773924615
3	1	23	-0.09826179710144917	0.19043667459367053	0.7750569447531538
3	2	23	0.03595720735785947	0.8111161431441674	0.8111161431441674
3	3	23	-0.05416680124223615	0.48210310461023154	0.7750569447531538
3	4	23	-0.06569196930946289	0.5014375150895574	0.7750569447531538
3	5	23	-0.09431462732919274	0.10565981010804815	0.7750569447531538
3	6	23	-0.04208324110671947	0.6200455558025231	0.7750569447531538
3	7	23	-0.06497204013377895	0.2165585391201259	0.7750569447531538
3	8	23	0.0521358060200669	0.5893881690744842	0.7750569447531538
3	9	23	-0.04935415458937207	0.5313150080723756	0.7750569447531538
3	10	23	0.03219400756143665	0.7984935963682793	0.8111161431441674
3	11	23	-0.03347624713958815	0.5558851862802059	0.7750569447531538
3	12	23	0.3079504037267079	0.059589319731897294	0.7750569447531538
3	13	23	0.022057391304347827	0.6945860370743735	0.8014454273935079
3	14	23	-0.023821449275362366	0.5539682030925319	0.7750569447531538
3	15	23	-0.04595500000000004	0.46215242942884394	0.7750569447531538
4	1	23	0.03285094007050544	0.5932834709049959	0.823101222432294
4	2	23	0.1611319806763285	0.2758928659646518	0.823101222432294
4	3	23	0.22917562499999997	0.14151175920021997	0.823101222432294
4	4	23	0.07586772946859907	0.3878694991255185	0.823101222432294
4	5	23	-0.05056835666912312	0.7682278076034743	0.823101222432294
4	6	23	0.011749866220735806	0.8492160181842059	0.8492160181842059
4	7	23	0.023663671497584676	0.7237578939381515	0.823101222432294
4	8	23	-0.020105141776937552	0.7284623023912165	0.823101222432294
4	9	23	-0.07991302675585303	0.318875253308895	0.823101222432294
4	10	23	-0.11820254658385086	0.2140617132246223	0.823101222432294
4	11	23	-0.15295994565217402	0.2753668677463892	0.823101222432294
4	12	23	0.03369971014492754	0.530832859431456	0.823101222432294
4	13	23	-0.021958793828891866	0.6523120781262097	0.823101222432294
4	14	23	-0.04714972624798715	0.5979758585535868	0.823101222432294
4	15	23	-0.03479769376181483	0.6328731490752642	0.823101222432294
5	1	23	0.08191773913043492	0.496415702820185	0.9171153146411797
5	2	23	0.062115238095238265	0.38644671362167626	0.9171153146411797
5	3	23	-0.056201061381074245	0.6604746071056886	0.9171153146411797
5	4	23	0.007262507876496602	0.9149136281370991	0.9171153146411797
5	5	23	0.015160496894409787	0.7621226054628605	0.9171153146411797
5	6	23	0.03578987577639755	0.5815288318929199	0.9171153146411797
5	7	23	0.05831376811594204	0.3812411776782365	0.9171153146411797
5	8	23	0.017585923913043443	0.7290260529855392	0.9171153146411797
5	9	23	-0.0156393030690538	0.9171153146411797	0.9171153146411797
5	10	23	0.04263643758765768	0.7302473055921739	0.9171153146411797
5	11	23	-0.008735206243032183	0.8801626380672212	0.9171153146411797
5	12	23	-0.27340988142292466	0.18500499926952552	0.9171153146411797
5	13	23	0.055891807065217354	0.4412661582937616	0.9171153146411797
5	14	23	0.11093776397515541	0.5565540723551998	0.9171153146411797
5	15	23	0.023269525691699548	0.49327207051102206	0.9171153146411797
6	1	23	0.023116731634182718	0.8384145225467323	0.9979309876223823
6	2	23	0.0434294117647058	0.7431084324396169	0.9979309876223823
6	3	23	-0.03911633941093978	0.7389517210279499	0.9979309876223823
6	4	23	-0.020512086956521798	0.8161635473912141	0.9979309876223823
6	5	23	0.05162930946291581	0.3745918665981951	0.9979309876223823
6	6	23	0.00032810741688003793	0.9927218296012872	0.9979309876223823
6	7	23	-0.04219674718196452	0.30507965620799293	0.9979309876223823
6	8	23	-0.02938284584980243	0.7296040517898179	0.9979309876223823
6	9	23	-0.05129114492753634	0.41818288200373477	0.9979309876223823
6	10	23	-0.11928826086956523	0.09197472939292561	0.9979309876223823
6	11	23	0.007944125379170794	0.9360088888785407	0.9979309876223823
6	12	23	0.10789173211781186	0.49719016012629735	0.9979309876223823
6	13	23	0.0001465217391305644	0.9979309876223823	0.9979309876223823
6	14	23	0.004864725897920554	0.9432033753771822	0.9979309876223823
6	15	23	0.03310535714285718	0.7045171818501812	0.9979309876223823
7	1	23	0.16188512585812367	0.3462466564551947	0.6556323641378923
7	2	23	0.03467778260869559	0.7817651675178414	0.9020367317513555
7	3	23	0.051268434782608646	0.34967059420687585	0.6556323641378923
7	4	23	0.09098726708074546	0.23076273686656923	0.6556323641378923
7	5	23	0.011430186335403787	0.9339544665497843	0.9339544665497843
7	6	23	0.03233996655518383	0.66573832977936	0.8954073806657759
7	7	23	0.022709710144927734	0.8841870320795857	0.9339544665497843
7	8	23	0.021479584541062836	0.7163259045326207	0.8954073806657759
7	9	23	0.048598376811594124	0.41830436443423613	0.6852240681028239
7	10	23	0.050143114256825064	0.33120451741846146	0.6556323641378923
7	11	23	0.09651926421404697	0.21226165662456764	0.6556323641378923
7	12	23	0.11478158102766818	0.14706495362465666	0.6556323641378923
7	13	23	0.10891213866039962	0.1968612093290969	0.6556323641378923
7	14	23	0.07572640579710152	0.4568160454018826	0.6852240681028239
7	15	23	0.0686328132992327	0.341519760279847	0.6556323641378923
8	1	23	0.023976505636070816	0.7247775357935793	0.9651331314625746
8	2	23	-0.044137889328063305	0.7748380339807881	0.9651331314625746
8	3	23	0.01898226086956524	0.8863364132395644	0.9651331314625746
8	4	23	-0.07782236024844727	0.32592546964862246	0.9651331314625746
8	5	23	-0.045224937888198716	0.21409531823399397	0.9651331314625746
8	6	23	-0.08463959866220735	0.3006858223944615	0.9651331314625746
8	7	23	-0.011372717391304608	0.8391610789280428	0.9651331314625746
8	8	23	0.0336421304347826	0.6883682555647566	0.9651331314625746
8	9	23	0.028584553775743447	0.783109997904234	0.9651331314625746
8	10	23	-0.05368316521739167	0.41582716639629647	0.9651331314625746
8	11	23	-0.06126904347826081	0.3052922993049072	0.9651331314625746
8	12	23	-0.008125041407867344	0.9651331314625746	0.9651331314625746
8	13	23	-0.0040197573306371345	0.9642801210663214	0.9651331314625746
8	14	23	-0.01976128544423435	0.7329522643511086	0.9651331314625746
8	15	23	-0.07788745652173912	0.2639866805258302	0.9651331314625746
9	1	23	0.09741122529644254	0.20705505842980698	0.6445807404004127
9	2	23	0.18141787439613546	0.10313887734486582	0.6445807404004127
