Assay,late-early
4E-BP1,-0.14865057926850625
ADA,-0.1524237312699751
ARTN,-0.21019671715169821
AXIN1,-0.06937367955222735
Beta-NGF,-0.05379400906102096
CASP-8,-0.7881016196187467
CCL19,-0.15181844707953684
CCL20,0.16533422759392563
CCL23,-0.008874125708516934
CCL25,-0.08860438321114793
CCL28,-0.5082766088285209
CCL4,0.19018851119775904
CD244,-0.04962221051951276
CD40,0.05143959945037544
CD5,0.23383611836600782
CD6,0.21364859808417422
CD8A,-0.023931756240845273
CDCP1,0.22513063874929817
CSF-1,-0.10511237448522673
CST5,0.09164234996849614
CX3CL1,-0.2245290946027669
CXCL10,-1.836301727426763
CXCL11,-0.4382682065848907
CXCL5,-0.4016928770790879
CXCL6,-0.21486648873315514
CXCL9,0.12998619838233808
DNER,0.019789665308229395
EN-RAGE,0.546021924861294
FGF-19,0.20974598752347903
FGF-21,-0.1672503009692806
FGF-5,0.12952277494485562
Flt3L,0.24584965954028498
GDNF,-0.15407459829641404
HGF,-0.5474354820935134
IFN-gamma,-3.3885344830048423
IL-1 alpha,0.06301477791062823
IL-10RA,0.05362164508640047
IL-10RB,0.053892900910460964
IL-12B,-0.3751949784772922
IL-15RA,0.20141444265912856
IL-17A,0.16314735178779846
IL-17C,-0.43338104901436053
IL-18R1,-0.2766400513748839
IL-20,-0.0646186984117727
IL-20RA,-0.0856370206290004
IL-22 RA1,-0.30383636092957034
IL-24,-0.009581351678849449
IL-2RB,0.026064785464677633
IL10,-1.4687886230643168
IL13,0.1596920962791395
IL18,-0.4441724781252119
IL2,-0.024851046194331455
IL33,-0.3715851114450767
IL4,0.039696025580156294
IL5,0.889844794478866
IL6,-0.0940254122143282
IL7,-0.27978523609357203
IL8,-0.2432449611495176
LAP TGF-beta-1,-0.004086794123482161
LIF,0.9030529660899114
LIF-R,-0.19596970240027367
MCP-1,-0.4424322534689835
MCP-2,-1.681670054093611
MCP-3,-0.48254535326717696
MCP-4,0.6881994021521274
MMP-1,0.21117341400303852
MMP-10,-0.0680786038389021
NRTN,-0.28729964661634616
OPG,-0.1318390844998257
OSM,0.029400545899522356
PD-L1,-0.17718937146988883
SIRT2,-0.4200830712434384
SLAMF1,0.15342897542053652
ST1A1,-0.10497891686865823
TGF-alpha,-0.01123031074947426
TNF,-0.3311332744555189
TNFB,-0.1111709232531621
TNFRSF9,0.5215499277412581
TNFSF14,-0.43520950752761756
TRAIL,-0.15743054644025814
TRANCE,0.5417936472010704
TSLP,-0.06679259452466853
TWEAK,-0.08549488985839954
VEGFA,-0.048722473317673674
uPA,-0.0824744598402065
