Assay,late-early
ACE2,0.19353581690060517
ADAM-TS13,-0.04684962159100469
ADM,-0.023257320879033556
AGRP,-0.3559216326659844
AMBP,0.009297940168958152
ANGPT1,-0.03443840335619652
BMP-6,-0.3087732460253355
BNP,0.12519334679954958
BOC,0.4133200703406031
CA5A,0.6004679256004043
CCL17,0.6401615651523763
CCL3,0.19487028461245318
CD4,-0.05244814472246914
CD40-L,-0.4942332366495495
CD84,0.040062438343751484
CEACAM8,0.2670618815066473
CTRC,0.25431804313748946
CTSL1,-0.11548297564960917
CXCL1,-0.47265812761818754
DCN,-0.09905971531273133
DECR1,-0.2645761028837757
Dkk-1,-0.11336590009678635
FABP2,-0.05873360957993358
FGF-23,0.49474797864741343
FS,-0.4795453388752192
GDF-2,-0.07875897842766266
GH,0.006387816113513443
GIF,-0.2622598829039872
GLO1,0.052299100803517996
GT,-0.5204875027213759
Gal-9,-0.06803972361047256
HAOX1,1.3047387474436067
HB-EGF,-0.3183772017844363
HO-1,-0.23944162079896858
HSP 27,0.09339727235724274
IDUA,-0.089454924548621
IL-17D,-0.12114004912426407
IL-1ra,-0.43555715796516836
IL-27,-0.28787551224811336
IL-4RA,-0.3356997052298597
IL16,-0.19771616371762193
IL1RL2,-0.09835849521559938
ITGB1BP2,-0.23986044981487062
IgG Fc receptor II-b,0.01097164349034937
KIM1,0.08452462278205879
LEP,0.1544173222895225
LOX-1,-0.2783346614099648
LPL,0.016132859223440016
MARCO,0.045757141806319276
MERTK,-0.26947628658239003
MMP12,0.3143999132042002
MMP7,0.34160955544996324
NEMO,-0.3267540346149916
PAPPA,-0.7121721924827493
PAR-1,-0.036971424345152236
PARP-1,-1.0379262795477224
PD-L2,-0.19564802117841057
PDGF subunit B,0.030514294320386912
PGF,-0.05267615496400501
PIgR,-0.0533807441980628
PRELP,0.008383340809405705
PRSS27,-0.02572870975464226
PRSS8,0.12058374645374235
PSGL-1,-0.03739926164571078
PTX3,-0.701297883197381
RAGE,-0.08863521880681507
REN,-0.04021702954789189
SCF,-0.024345434876646983
SERPINA12,0.24907371337732453
SOD2,0.03001841625351587
SORT1,-0.09149043039103126
SPON2,0.03969616322264473
SRC,0.11892653690663466
STK4,-0.07745794299835677
TF,-0.009814039602971268
TGM2,-0.0690123047749052
THBS2,-0.11707437918610905
THPO,-0.44486537564209794
TIE2,0.04020840093914202
TM,0.03788178418676559
TNFRSF10A,-0.049179944868010084
TNFRSF11A,0.22966200721545182
TNFRSF13B,0.2991717566265586
TRAIL-R2,0.5179875661004862
VEGFD,0.012447522434933132
VSIG2,0.14237992047602951
hOSCAR,-0.01528747518258012
