panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.0353972727272724	5.9261845454545465	-0.8907872727272729	-9.872868441820506	21	0.0000000024228301587214673	0.0000010563539492025598	
In	OID_gisby_00323	CXCL10	P02778	late-early	22	11.02152318181818	12.995038181818183	-1.9735149999999997	-9.44556533803352	21	0.000000005210003539701802	0.0000011357807716549928	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.7134422727272725	4.4613190909090905	-0.7478768181818182	-8.348555720060789	21	0.00000004128846375905937	0.0000060005900663166285	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.787661818181817	6.426205454545454	-0.6385436363636363	-8.129626083309862	21	0.0000000635840273766064	0.0000064224549856106705	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.362873181818181	3.9374554545454545	0.42541772727272736	8.055823138792531	21	0.0000000736520067157187	0.0000064224549856106705	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.004671363636363	4.434808636363635	0.5698627272727271	7.766160379316109	21	0.00000013206351234806846	0.000009596615230626307	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.488173181818182	11.058643181818184	-1.57047	-7.511572427623966	21	0.0000002226932731552722	0.000013870609585099811	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5960490909090908	4.318171818181818	-0.7221227272727272	-7.287196251814215	21	0.0000003554980099185201	0.000019374641540559345	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.748291818181818	4.121780454545454	1.6265113636363637	6.96835252068971	21	0.0000006990757548397397	0.000033866336567791836	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.515640909090909	5.1583595454545454	-0.6427186363636362	-6.591094754673891	21	0.0000015832647370928044	0.00006903034253724627	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.2985831818181826	4.929511363636363	-1.6309281818181818	-6.457580158734073	21	0.000002123828515054882	0.0000841808393239935	
CM	OID_gisby_00027	VCAM1	P19320	late-early	22	5.942362272727274	6.39391	-0.45154772727272724	-6.376707286860029	21	0.0000025401924126366993	0.0000922936576591334	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.342550909090911	6.065782727272728	1.276768181818182	5.810741269270339	21	0.000009091362319413321	0.00030491030548186217	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.148008636363636	4.147517272727272	-0.9995086363636361	-5.721936041342308	21	0.000011142337188463358	0.0003345199843026947	
CM	OID_gisby_00046	ST6GAL1	P15907	late-early	22	3.8110209090909093	4.347535909090909	-0.5365150000000001	-5.7078470098010445	21	0.000011508715056285368	0.0003345199843026947	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6125945454545454	2.402304545454545	-0.7897100000000002	-5.668924110279765	21	0.000012586101839628938	0.00034297127512988856	
IR	OID_gisby_00377	LILRB4	Q8NHJ6	late-early	22	6.595745	7.172162727272726	-0.5764177272727273	-5.626454355857345	21	0.0000138795826423177	0.00035597047247355984	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.435969545454547	9.837608181818181	0.5983613636363635	5.493792603356223	21	0.00001886272472195749	0.00045689710993185924	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	6.999603181818182	7.907798636363638	-0.9081954545454546	-5.33876560783951	21	0.000027054614356814	0.0006208322031353107	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.896024090909091	4.522826363636363	0.3731977272727272	5.307790892920712	21	0.00002908398811052315	0.0006340309408094047	
CM	OID_gisby_00083	GAS6	Q14393	late-early	22	5.557180909090909	5.802012727272727	-0.24483181818181823	-5.271441509828454	21	0.0000316639136102026	0.0006574031587642063	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.320938636363636	3.9316263636363646	-0.6106877272727271	-5.146469234893401	21	0.00004244646004947228	0.0008412116627986324	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.093140454545455	3.4614940909090905	0.6316463636363636	5.072804752901275	21	0.0000504803389933528	0.0009569316435261661	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.35288	7.088718181818181	0.264161818181818	4.96650002386814	21	0.00006487399791810233	0.0011785442955121923	
IR	OID_gisby_00435	BTN3A2	P78410	late-early	22	4.786457272727273	5.304312272727273	-0.5178550000000002	-4.941572492496094	21	0.00006881262831082147	0.0012000922377407265	
In	OID_gisby_00332	IFN-gamma	P01579	late-early	22	7.585943636363638	10.18101090909091	-2.595067272727272	-4.910787343630726	21	0.00007401257815531359	0.0012066780167737181	
IR	OID_gisby_00379	KRT19	P08727	late-early	22	4.080706363636363	5.194895000000001	-1.1141886363636366	-4.89138091077071	21	0.00007749308364601859	0.0012066780167737181	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.188815909090909	2.7766740909090917	-0.5878581818181818	-4.906118779445331	21	0.00007483515909956218	0.0012066780167737181	
CM	OID_gisby_00060	NRP1	O14786	late-early	22	1.444498181818182	1.2417045454545454	0.20279363636363634	4.816672656123148	21	0.00009250960812545728	0.0013908341083689439	
CM	OID_gisby_00043	PLXNB2	O15031	late-early	22	1.9829877272727274	2.246546818181818	-0.26355909090909097	-4.751049446567341	21	0.00010811154913081822	0.0015712211807012248	
In	OID_gisby_00338	CASP-8	Q14790	late-early	22	3.187254090909091	3.8418722727272723	-0.6546181818181819	-4.668241645559743	21	0.00013165000730119836	0.0018111081768536208	
CVD3	OID_gisby_00205	GDF-15	Q99988	late-early	22	7.7228972727272724	8.215764545454546	-0.49286727272727265	-4.6641923459704495	21	0.0001329253707782474	0.0018111081768536208	
CVD3	OID_gisby_00230	U-PAR	Q03405	late-early	22	8.223836818181816	7.677638181818181	0.5461986363636364	4.646751635399788	21	0.0001385623718261897	0.0018307028520066274	
CVD2	OID_gisby_00175	PARP-1	P09874	late-early	22	4.845519545454546	5.6729650000000005	-0.8274454545454545	-4.588260992060241	21	0.00015928625161798493	0.0020426119325129832	
In	OID_gisby_00306	IL-18R1	Q13478	late-early	22	9.115631363636362	9.432310454545455	-0.3166790909090908	-4.531492516310275	21	0.0001823828481692935	0.0022088589389392213	
CVD3	OID_gisby_00249	IL-18BP	O95998	late-early	22	7.46423909090909	7.692967272727273	-0.22872818181818183	-4.541228999512141	21	0.00017819461202339681	0.0022088589389392213	
CVD3	OID_gisby_00199	FABP4	P15090	late-early	22	9.485882272727274	8.928043181818182	0.5578390909090908	4.510312567355158	21	0.00019183878386885844	0.002260586750454656	
IR	OID_gisby_00396	CKAP4	Q07065	late-early	22	7.814842727272727	8.431035454545457	-0.6161927272727272	-4.486081743705753	21	0.00020326306743068123	0.0023321762473625532	
IR	OID_gisby_00350	GLB1	P16278	late-early	22	0.6738563636363636	1.1506040909090904	-0.4767477272727273	-4.471515923553472	21	0.00021045713798373278	0.002352802875920705	
