comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	5	0.061875732104968245	3.9186444444444444
PT1-PR1	Cardiometabolic_II	367	0	0	3	0.06867695063394094	1.2278666666666667
PT1-PR1	Inflammation	367	0	3	15	0.02650173086168983	1.4817777777777779
PT1-PR1	Inflammation_II	369	0	0	2	0.061875732104968245	1.2198428571428575
PT1-PR1	Neurology	367	0	6	12	0.005637988133718963	2.072122222222222
PT1-PR1	Neurology_II	367	0	3	8	0.005637988133718963	1.6597
PT1-PR1	Oncology	366	0	0	11	0.061875732104968245	1.539288888888889
PT1-PR1	Oncology_II	368	0	1	2	0.038183413764451404	1.5847666666666669
PR2-PR1	Cardiometabolic	367	0	0	0	0.23810179628957728	1.4933625
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.4806109754607329	0.9570000000000001
PR2-PR1	Inflammation	367	0	0	0	0.23810179628957728	1.0246875
PR2-PR1	Inflammation_II	369	0	0	0	0.9163797069816954	1.7585875
PR2-PR1	Neurology	367	0	0	0	0.19440217998045295	0.9828857142857144
PR2-PR1	Neurology_II	367	0	0	0	0.40580853184742	1.82405
PR2-PR1	Oncology	366	0	0	2	0.09645521745964758	1.1746444444444448
PR2-PR1	Oncology_II	368	0	0	0	0.23810179628957728	1.3479875
PT2-PT1	Cardiometabolic	367	0	0	0	0.11942636828040494	1.08785
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.11942636828040494	0.9063375
PT2-PT1	Inflammation	367	0	0	1	0.05979597954552762	1.142277777777778
PT2-PT1	Inflammation_II	369	0	0	0	0.4269850073102038	2.6710875
PT2-PT1	Neurology	367	0	0	0	0.11942636828040494	0.9640222222222223
PT2-PT1	Neurology_II	367	0	0	0	0.43673041456482864	1.0927333333333336
PT2-PT1	Oncology	366	0	0	0	0.11942636828040494	1.1371875
PT2-PT1	Oncology_II	368	0	0	0	0.43673041456482864	1.8073111111111109
PT2-PR2	Cardiometabolic	367	0	4	10	0.038125934624863876	4.5932125
PT2-PR2	Cardiometabolic_II	367	0	1	1	0.020311896453495848	2.0212142857142856
PT2-PR2	Inflammation	367	0	1	3	0.04728621837633851	1.9233285714285715
PT2-PR2	Inflammation_II	369	0	0	2	0.0794845603197334	1.9489666666666667
PT2-PR2	Neurology	367	0	1	9	0.038125934624863876	2.4487111111111113
PT2-PR2	Neurology_II	367	0	1	4	0.038125934624863876	1.9086666666666667
PT2-PR2	Oncology	366	0	2	4	0.038125934624863876	1.8917625
PT2-PR2	Oncology_II	368	0	1	1	0.04728621837633851	2.029622222222222
