panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.896960454545454	12.841966363636363	-1.9450059090909086	-8.82468725582962	21	0.000000016498056920610793	0.000007193152817386306	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.049454545454545	5.88424590909091	-0.8347913636363639	-7.727155134806013	21	0.0000001429896310245482	0.000012468695825340604	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.613981818181818	4.353231363636365	-0.7392495454545454	-8.051285785254374	21	0.00000007432235893389816	0.000012468695825340604	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.729327272727273	6.3604222727272735	-0.6310950000000001	-7.7737050705598465	21	0.0000001300515777291622	0.000012468695825340604	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.05156409090909	4.474485909090909	0.5770781818181819	7.9174333284173155	21	0.00000009721564886433498	0.000012468695825340604	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.366095454545455	3.966396818181818	0.3996986363636365	7.125116342067371	21	0.0000005004873120384445	0.00003636874467479364	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.493982727272726	10.98701181818182	-1.4930290909090906	-6.835785493695719	21	0.000000929731857501892	0.000057909012838689276	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.31225	5.069277727272727	-1.7570277272727273	-6.719527414586128	21	0.0000011961403989513286	0.00005940320144700214	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.708763181818182	4.143751818181819	1.565011363636364	6.708114144980291	21	0.0000012262128739060074	0.00005940320144700214	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5555009090909095	4.242450454545454	-0.6869495454545455	-6.389588793299563	21	0.000002468647386733025	0.00010763302606155988	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.489931818181819	5.119870454545455	-0.6299386363636362	-6.341406426293347	21	0.000002747355256405015	0.00010889517198114424	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.2018754545454544	4.262788636363635	-1.0609131818181814	-6.062179420804791	21	0.000005135418788437818	0.0001722340455199145	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.6166036363636365	2.501267272727273	-0.8846636363636367	-6.088827338139508	21	0.000004835858471441412	0.0001722340455199145	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.367699090909093	6.149057272727274	1.2186418181818182	5.653746246724024	21	0.000013033623761149471	0.0004059042828472264	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.2374663636363645	3.864134999999999	-0.6266686363636365	-5.462053052452089	21	0.000020304510074620197	0.0005901844261689604	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.9098999999999995	4.5341795454545455	0.37572045454545455	5.324420619341645	21	0.00002797592586034625	0.0007623439796944353	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	7.0158022727272735	7.912387727272727	-0.8965854545454545	-5.2305755103844	21	0.000034843465301026555	0.0007875451261839792	
